,loc,datetime,050570,050678,total_cnts
0,CA_FOUNTAIN VALLEY,2020-04-03,18.0,0.0,18.0
1,CA_FOUNTAIN VALLEY,2020-04-10,13.0,0.0,13.0
2,CA_FOUNTAIN VALLEY,2020-07-10,72.0,61.0,133.0
3,CA_FOUNTAIN VALLEY,2020-07-17,67.0,139.0,206.0
4,CA_FOUNTAIN VALLEY,2020-07-24,287.0,123.0,410.0
5,CA_FOUNTAIN VALLEY,2020-07-31,319.0,78.0,397.0
6,CA_FOUNTAIN VALLEY,2020-08-07,269.0,104.0,373.0
7,CA_FOUNTAIN VALLEY,2020-08-14,243.0,90.0,333.0
8,CA_FOUNTAIN VALLEY,2020-08-21,175.0,131.0,306.0
9,CA_FOUNTAIN VALLEY,2020-08-28,138.0,74.0,212.0
10,CA_FOUNTAIN VALLEY,2020-09-04,148.0,31.0,179.0
11,CA_FOUNTAIN VALLEY,2020-09-11,86.0,47.0,133.0
12,CA_FOUNTAIN VALLEY,2020-09-18,65.0,49.0,114.0
13,CA_FOUNTAIN VALLEY,2020-09-25,68.0,36.0,104.0
14,CA_FOUNTAIN VALLEY,2020-10-02,74.0,34.0,108.0
15,CA_FOUNTAIN VALLEY,2020-10-09,63.0,55.0,118.0
16,CA_FOUNTAIN VALLEY,2020-10-16,114.0,45.0,159.0
17,CA_FOUNTAIN VALLEY,2020-10-23,98.0,47.0,145.0
18,CA_FOUNTAIN VALLEY,2020-10-30,94.0,71.0,165.0
19,CA_FOUNTAIN VALLEY,2020-11-06,116.0,73.0,189.0
20,CA_FOUNTAIN VALLEY,2020-11-13,128.0,75.0,203.0
21,CA_FOUNTAIN VALLEY,2020-11-20,267.0,130.0,397.0
22,CA_FOUNTAIN VALLEY,2020-11-27,449.0,214.0,663.0
23,CA_FOUNTAIN VALLEY,2020-12-04,680.0,349.0,1029.0
24,CA_FOUNTAIN VALLEY,2020-12-11,949.0,482.0,1431.0
25,CA_FOUNTAIN VALLEY,2020-12-18,1142.0,631.0,1773.0
26,CA_FOUNTAIN VALLEY,2020-12-25,1200.0,635.0,1835.0
27,CA_FOUNTAIN VALLEY,2021-01-01,1266.0,644.0,1910.0
28,CA_FOUNTAIN VALLEY,2021-01-08,1211.0,709.0,1920.0
29,CA_FOUNTAIN VALLEY,2021-01-15,1107.0,686.0,1793.0
30,CA_FOUNTAIN VALLEY,2021-01-22,1013.0,584.0,1597.0
31,CA_FOUNTAIN VALLEY,2021-01-29,751.0,466.0,1217.0
32,CA_FOUNTAIN VALLEY,2021-02-05,600.0,361.0,961.0
33,CA_FOUNTAIN VALLEY,2021-02-12,427.0,281.0,708.0
34,CA_FOUNTAIN VALLEY,2021-02-19,333.0,219.0,552.0
35,CA_FOUNTAIN VALLEY,2021-02-26,234.0,173.0,407.0
36,CA_FOUNTAIN VALLEY,2021-03-05,175.0,124.0,299.0
37,CA_FOUNTAIN VALLEY,2021-03-12,98.0,72.0,170.0
38,CA_FOUNTAIN VALLEY,2021-03-19,100.0,54.0,154.0
39,CA_FOUNTAIN VALLEY,2021-03-26,74.0,35.0,109.0
40,CA_FOUNTAIN VALLEY,2021-04-02,57.0,10.0,67.0
41,CA_FOUNTAIN VALLEY,2021-04-09,75.0,13.0,88.0
42,CA_FOUNTAIN VALLEY,2021-04-16,82.0,9.0,91.0
43,CA_FOUNTAIN VALLEY,2021-04-23,82.0,5.0,87.0
44,CA_FOUNTAIN VALLEY,2021-04-30,51.0,10.0,61.0
45,CA_FOUNTAIN VALLEY,2021-05-07,40.0,17.0,57.0
46,CA_FOUNTAIN VALLEY,2021-05-14,33.0,5.0,38.0
47,CA_FOUNTAIN VALLEY,2021-05-21,35.0,8.0,43.0
48,CA_FOUNTAIN VALLEY,2021-05-28,33.0,0.0,33.0
49,CA_FOUNTAIN VALLEY,2021-06-04,45.0,0.0,45.0
50,CA_FOUNTAIN VALLEY,2021-06-11,50.0,7.0,57.0
51,CA_FOUNTAIN VALLEY,2021-06-18,49.0,9.0,58.0
52,CA_FOUNTAIN VALLEY,2021-06-25,37.0,12.0,49.0
53,CA_FOUNTAIN VALLEY,2021-07-02,46.0,17.0,63.0
54,CA_FOUNTAIN VALLEY,2021-07-09,41.0,38.0,79.0
55,CA_FOUNTAIN VALLEY,2021-07-16,64.0,45.0,109.0
56,CA_FOUNTAIN VALLEY,2021-07-23,84.0,57.0,141.0
57,CA_FOUNTAIN VALLEY,2021-07-30,159.0,92.0,251.0
58,CA_FOUNTAIN VALLEY,2021-08-06,192.0,155.0,347.0
59,CA_FOUNTAIN VALLEY,2021-08-13,245.0,161.0,406.0
60,CA_FOUNTAIN VALLEY,2021-08-20,273.0,171.0,444.0
61,CA_FOUNTAIN VALLEY,2021-08-27,272.0,142.0,414.0
62,CA_FOUNTAIN VALLEY,2021-09-03,230.0,146.0,376.0
63,CA_FOUNTAIN VALLEY,2021-09-10,190.0,138.0,328.0
64,CA_FOUNTAIN VALLEY,2021-09-17,154.0,87.0,241.0
65,CA_FOUNTAIN VALLEY,2021-09-24,112.0,69.0,181.0
66,CA_FOUNTAIN VALLEY,2021-10-01,74.0,59.0,133.0
67,CA_FOUNTAIN VALLEY,2021-10-08,84.0,66.0,150.0
68,CA_FOUNTAIN VALLEY,2021-10-15,77.0,55.0,132.0
69,CA_FOUNTAIN VALLEY,2021-10-22,93.0,67.0,160.0
70,CA_FOUNTAIN VALLEY,2021-10-29,59.0,102.0,161.0
71,CA_FOUNTAIN VALLEY,2021-11-05,73.0,115.0,188.0
72,CA_FOUNTAIN VALLEY,2021-11-12,77.0,94.0,171.0
73,CA_FOUNTAIN VALLEY,2021-11-19,60.0,76.0,136.0
