,loc,datetime,050324,050424,total_cnts
0,CA_LA JOLLA,2020-04-10,31.0,18.0,49.0
1,CA_LA JOLLA,2020-04-17,38.0,24.0,62.0
2,CA_LA JOLLA,2020-07-10,27.0,6.0,33.0
3,CA_LA JOLLA,2020-07-17,61.0,11.0,72.0
4,CA_LA JOLLA,2020-07-24,151.0,34.0,185.0
5,CA_LA JOLLA,2020-07-31,119.0,11.0,130.0
6,CA_LA JOLLA,2020-08-07,106.0,21.0,127.0
7,CA_LA JOLLA,2020-08-14,56.0,6.0,62.0
8,CA_LA JOLLA,2020-08-21,50.0,7.0,57.0
9,CA_LA JOLLA,2020-08-28,48.0,8.0,56.0
10,CA_LA JOLLA,2020-09-04,31.0,28.0,59.0
11,CA_LA JOLLA,2020-09-11,49.0,24.0,73.0
12,CA_LA JOLLA,2020-09-18,77.0,15.0,92.0
13,CA_LA JOLLA,2020-09-25,55.0,23.0,78.0
14,CA_LA JOLLA,2020-10-02,45.0,32.0,77.0
15,CA_LA JOLLA,2020-10-09,73.0,19.0,92.0
16,CA_LA JOLLA,2020-10-16,87.0,21.0,108.0
17,CA_LA JOLLA,2020-10-23,67.0,22.0,89.0
18,CA_LA JOLLA,2020-10-30,82.0,39.0,121.0
19,CA_LA JOLLA,2020-11-06,89.0,41.0,130.0
20,CA_LA JOLLA,2020-11-13,110.0,34.0,144.0
21,CA_LA JOLLA,2020-11-20,139.0,81.0,220.0
22,CA_LA JOLLA,2020-11-27,270.0,119.0,389.0
23,CA_LA JOLLA,2020-12-04,355.0,115.0,470.0
24,CA_LA JOLLA,2020-12-11,485.0,140.0,625.0
25,CA_LA JOLLA,2020-12-18,665.0,213.0,878.0
26,CA_LA JOLLA,2020-12-25,780.0,255.0,1035.0
27,CA_LA JOLLA,2021-01-01,945.0,337.0,1282.0
28,CA_LA JOLLA,2021-01-08,1018.0,395.0,1413.0
29,CA_LA JOLLA,2021-01-15,941.0,334.0,1275.0
30,CA_LA JOLLA,2021-01-22,804.0,309.0,1113.0
31,CA_LA JOLLA,2021-01-29,672.0,233.0,905.0
32,CA_LA JOLLA,2021-02-05,488.0,142.0,630.0
33,CA_LA JOLLA,2021-02-12,372.0,133.0,505.0
34,CA_LA JOLLA,2021-02-19,271.0,124.0,395.0
35,CA_LA JOLLA,2021-02-26,190.0,84.0,274.0
36,CA_LA JOLLA,2021-03-05,159.0,87.0,246.0
37,CA_LA JOLLA,2021-03-12,174.0,54.0,228.0
38,CA_LA JOLLA,2021-03-19,123.0,49.0,172.0
39,CA_LA JOLLA,2021-03-26,110.0,48.0,158.0
40,CA_LA JOLLA,2021-04-02,131.0,32.0,163.0
41,CA_LA JOLLA,2021-04-09,119.0,24.0,143.0
42,CA_LA JOLLA,2021-04-16,114.0,28.0,142.0
43,CA_LA JOLLA,2021-04-23,120.0,21.0,141.0
44,CA_LA JOLLA,2021-04-30,63.0,12.0,75.0
45,CA_LA JOLLA,2021-05-14,64.0,12.0,76.0
46,CA_LA JOLLA,2021-05-21,48.0,9.0,57.0
47,CA_LA JOLLA,2021-05-28,32.0,0.0,32.0
48,CA_LA JOLLA,2021-06-04,30.0,0.0,30.0
49,CA_LA JOLLA,2021-06-11,35.0,7.0,42.0
