,loc,datetime,050464,050557,total_cnts
0,CA_MODESTO,2020-04-03,21.0,0.0,21.0
1,CA_MODESTO,2020-04-10,18.0,0.0,18.0
141,CA_MODESTO,2020-04-17,0.0,0.0,0.0
139,CA_MODESTO,2020-07-10,0.0,148.0,148.0
2,CA_MODESTO,2020-07-17,62.0,470.0,532.0
3,CA_MODESTO,2020-07-24,417.0,408.0,834.0
4,CA_MODESTO,2020-07-31,530.0,379.0,936.0
5,CA_MODESTO,2020-08-07,509.0,349.0,858.0
6,CA_MODESTO,2020-08-14,459.0,390.0,867.0
7,CA_MODESTO,2020-08-21,379.0,371.0,768.0
8,CA_MODESTO,2020-08-28,319.0,272.0,609.0
9,CA_MODESTO,2020-09-04,345.0,212.0,567.0
10,CA_MODESTO,2020-09-11,227.0,189.0,416.0
11,CA_MODESTO,2020-09-18,131.0,175.0,311.0
12,CA_MODESTO,2020-09-25,93.0,126.0,229.0
13,CA_MODESTO,2020-10-02,66.0,116.0,190.0
14,CA_MODESTO,2020-10-09,101.0,125.0,241.0
15,CA_MODESTO,2020-10-16,134.0,82.0,261.0
16,CA_MODESTO,2020-10-23,135.0,96.0,276.0
17,CA_MODESTO,2020-10-30,186.0,104.0,308.0
18,CA_MODESTO,2020-11-06,207.0,110.0,317.0
19,CA_MODESTO,2020-11-13,291.0,173.0,464.0
20,CA_MODESTO,2020-11-20,415.0,290.0,711.0
21,CA_MODESTO,2020-11-27,551.0,363.0,940.0
22,CA_MODESTO,2020-12-04,600.0,483.0,1106.0
23,CA_MODESTO,2020-12-11,820.0,684.0,1527.0
24,CA_MODESTO,2020-12-18,849.0,706.0,1602.0
25,CA_MODESTO,2020-12-25,704.0,763.0,1498.0
26,CA_MODESTO,2021-01-01,667.0,829.0,1528.0
27,CA_MODESTO,2021-01-08,771.0,741.0,1512.0
28,CA_MODESTO,2021-01-15,793.0,657.0,1450.0
29,CA_MODESTO,2021-01-22,701.0,604.0,1305.0
30,CA_MODESTO,2021-01-29,626.0,428.0,1054.0
31,CA_MODESTO,2021-02-05,483.0,401.0,884.0
32,CA_MODESTO,2021-02-12,458.0,309.0,767.0
33,CA_MODESTO,2021-02-19,350.0,253.0,603.0
34,CA_MODESTO,2021-02-26,308.0,198.0,506.0
35,CA_MODESTO,2021-03-05,315.0,215.0,530.0
36,CA_MODESTO,2021-03-12,294.0,234.0,528.0
37,CA_MODESTO,2021-03-19,286.0,261.0,547.0
38,CA_MODESTO,2021-03-26,298.0,291.0,589.0
39,CA_MODESTO,2021-04-02,293.0,234.0,527.0
40,CA_MODESTO,2021-04-09,296.0,180.0,476.0
41,CA_MODESTO,2021-04-16,279.0,165.0,444.0
42,CA_MODESTO,2021-04-23,408.0,191.0,599.0
43,CA_MODESTO,2021-04-30,420.0,148.0,568.0
44,CA_MODESTO,2021-05-07,295.0,163.0,458.0
45,CA_MODESTO,2021-05-14,290.0,112.0,402.0
46,CA_MODESTO,2021-05-21,251.0,78.0,329.0
47,CA_MODESTO,2021-05-28,231.0,103.0,334.0
48,CA_MODESTO,2021-06-04,207.0,97.0,304.0
49,CA_MODESTO,2021-06-11,146.0,101.0,247.0
50,CA_MODESTO,2021-06-18,141.0,121.0,262.0
51,CA_MODESTO,2021-06-25,136.0,119.0,255.0
52,CA_MODESTO,2021-07-02,125.0,91.0,216.0
53,CA_MODESTO,2021-07-09,147.0,102.0,249.0
54,CA_MODESTO,2021-07-16,183.0,125.0,308.0
55,CA_MODESTO,2021-07-23,184.0,194.0,378.0
56,CA_MODESTO,2021-07-30,262.0,236.0,498.0
57,CA_MODESTO,2021-08-06,364.0,335.0,699.0
58,CA_MODESTO,2021-08-13,470.0,471.0,941.0
59,CA_MODESTO,2021-08-20,546.0,633.0,1179.0
60,CA_MODESTO,2021-08-27,669.0,760.0,1429.0
61,CA_MODESTO,2021-09-03,723.0,791.0,1514.0
62,CA_MODESTO,2021-09-10,687.0,696.0,1383.0
63,CA_MODESTO,2021-09-17,527.0,644.0,1171.0
64,CA_MODESTO,2021-09-24,455.0,477.0,932.0
65,CA_MODESTO,2021-10-01,415.0,418.0,833.0
66,CA_MODESTO,2021-10-08,324.0,350.0,674.0
67,CA_MODESTO,2021-10-15,343.0,343.0,686.0
68,CA_MODESTO,2021-10-22,359.0,326.0,685.0
69,CA_MODESTO,2021-10-29,449.0,338.0,787.0
70,CA_MODESTO,2021-11-05,404.0,306.0,710.0
71,CA_MODESTO,2021-11-12,416.0,202.0,618.0
72,CA_MODESTO,2021-11-19,337.0,264.0,601.0
73,CA_MODESTO,2021-11-26,298.0,259.0,557.0
74,CA_MODESTO,2021-12-03,241.0,265.0,506.0
75,CA_MODESTO,2021-12-10,276.0,213.0,489.0
76,CA_MODESTO,2021-12-17,262.0,246.0,508.0
77,CA_MODESTO,2021-12-24,281.0,209.0,490.0
78,CA_MODESTO,2021-12-31,321.0,256.0,577.0
79,CA_MODESTO,2022-01-07,407.0,391.0,798.0
80,CA_MODESTO,2022-01-14,518.0,615.0,1133.0
81,CA_MODESTO,2022-01-21,735.0,759.0,1494.0
82,CA_MODESTO,2022-01-28,685.0,784.0,1469.0
83,CA_MODESTO,2022-02-04,633.0,673.0,1306.0
84,CA_MODESTO,2022-02-11,586.0,557.0,1143.0
85,CA_MODESTO,2022-02-18,508.0,468.0,976.0
86,CA_MODESTO,2022-02-25,371.0,313.0,684.0
87,CA_MODESTO,2022-03-04,300.0,208.0,508.0
88,CA_MODESTO,2022-03-11,330.0,161.0,491.0
89,CA_MODESTO,2022-03-18,195.0,121.0,316.0
90,CA_MODESTO,2022-03-25,98.0,72.0,170.0
91,CA_MODESTO,2022-04-01,70.0,40.0,110.0
92,CA_MODESTO,2022-04-08,48.0,39.0,87.0
93,CA_MODESTO,2022-04-15,44.0,45.0,89.0
94,CA_MODESTO,2022-04-22,45.0,49.0,94.0
95,CA_MODESTO,2022-04-29,52.0,50.0,102.0
96,CA_MODESTO,2022-05-06,75.0,58.0,133.0
97,CA_MODESTO,2022-05-13,99.0,72.0,171.0
98,CA_MODESTO,2022-05-20,106.0,92.0,198.0
99,CA_MODESTO,2022-05-27,118.0,141.0,259.0
100,CA_MODESTO,2022-06-03,161.0,115.0,276.0
101,CA_MODESTO,2022-06-10,164.0,152.0,316.0
102,CA_MODESTO,2022-06-17,211.0,168.0,379.0
103,CA_MODESTO,2022-06-24,281.0,202.0,483.0
104,CA_MODESTO,2022-07-01,280.0,247.0,527.0
105,CA_MODESTO,2022-07-08,298.0,268.0,566.0
106,CA_MODESTO,2022-07-15,328.0,209.0,537.0
107,CA_MODESTO,2022-07-22,361.0,196.0,557.0
108,CA_MODESTO,2022-07-29,358.0,179.0,537.0
109,CA_MODESTO,2022-08-05,294.0,191.0,485.0
110,CA_MODESTO,2022-08-12,253.0,253.0,506.0
111,CA_MODESTO,2022-08-19,262.0,221.0,483.0
112,CA_MODESTO,2022-08-26,215.0,150.0,365.0
113,CA_MODESTO,2022-09-02,216.0,147.0,363.0
114,CA_MODESTO,2022-09-09,209.0,102.0,311.0
115,CA_MODESTO,2022-09-16,199.0,108.0,307.0
116,CA_MODESTO,2022-09-23,161.0,57.0,218.0
117,CA_MODESTO,2022-09-30,200.0,65.0,265.0
118,CA_MODESTO,2022-10-07,183.0,103.0,286.0
119,CA_MODESTO,2022-10-14,145.0,121.0,266.0
120,CA_MODESTO,2022-10-21,150.0,96.0,246.0
121,CA_MODESTO,2022-10-28,162.0,96.0,258.0
122,CA_MODESTO,2022-11-04,157.0,113.0,270.0
123,CA_MODESTO,2022-11-11,168.0,89.0,257.0
124,CA_MODESTO,2022-11-18,182.0,173.0,355.0
125,CA_MODESTO,2022-11-25,198.0,212.0,410.0
126,CA_MODESTO,2022-12-02,201.0,224.0,425.0
127,CA_MODESTO,2022-12-09,239.0,290.0,529.0
128,CA_MODESTO,2022-12-16,278.0,321.0,599.0
129,CA_MODESTO,2022-12-23,283.0,274.0,557.0
130,CA_MODESTO,2022-12-30,253.0,210.0,463.0
131,CA_MODESTO,2023-01-06,253.0,198.0,451.0
132,CA_MODESTO,2023-01-13,184.0,176.0,360.0
133,CA_MODESTO,2023-01-20,151.0,114.0,265.0
134,CA_MODESTO,2023-01-27,150.0,98.0,248.0
135,CA_MODESTO,2023-02-03,138.0,94.0,232.0
136,CA_MODESTO,2023-02-10,165.0,118.0,283.0
137,CA_MODESTO,2023-02-17,145.0,146.0,291.0
138,CA_MODESTO,2023-02-24,140.0,163.0,303.0
140,CA_MODESTO,2023-03-03,0.0,29.0,29.0
