,loc,datetime,050043,050075,050320,total_cnts
139,CA_OAKLAND,2020-04-03,0.0,36.0,17.0,53.0
140,CA_OAKLAND,2020-04-10,0.0,89.0,82.0,171.0
141,CA_OAKLAND,2020-04-17,0.0,44.0,99.0,143.0
142,CA_OAKLAND,2020-04-24,0.0,0.0,133.0,133.0
143,CA_OAKLAND,2020-05-01,0.0,0.0,127.0,127.0
144,CA_OAKLAND,2020-05-08,0.0,0.0,91.0,91.0
145,CA_OAKLAND,2020-05-15,0.0,0.0,40.0,40.0
0,CA_OAKLAND,2020-07-10,21.0,40.0,79.0,140.0
1,CA_OAKLAND,2020-07-17,101.0,107.0,205.0,413.0
2,CA_OAKLAND,2020-07-24,126.0,323.0,208.0,657.0
3,CA_OAKLAND,2020-07-31,101.0,248.0,225.0,574.0
4,CA_OAKLAND,2020-08-07,79.0,292.0,213.0,584.0
5,CA_OAKLAND,2020-08-14,105.0,276.0,275.0,660.0
6,CA_OAKLAND,2020-08-21,115.0,238.0,244.0,597.0
7,CA_OAKLAND,2020-08-28,120.0,231.0,161.0,512.0
8,CA_OAKLAND,2020-09-04,107.0,195.0,155.0,457.0
9,CA_OAKLAND,2020-09-11,71.0,165.0,123.0,359.0
10,CA_OAKLAND,2020-09-18,28.0,144.0,145.0,317.0
11,CA_OAKLAND,2020-09-25,37.0,128.0,105.0,270.0
12,CA_OAKLAND,2020-10-02,26.0,110.0,46.0,182.0
13,CA_OAKLAND,2020-10-09,7.0,94.0,48.0,149.0
14,CA_OAKLAND,2020-10-16,7.0,85.0,33.0,125.0
15,CA_OAKLAND,2020-10-23,30.0,91.0,45.0,166.0
16,CA_OAKLAND,2020-10-30,25.0,89.0,50.0,164.0
17,CA_OAKLAND,2020-11-06,33.0,77.0,16.0,126.0
18,CA_OAKLAND,2020-11-13,27.0,109.0,46.0,182.0
19,CA_OAKLAND,2020-11-20,17.0,166.0,61.0,244.0
20,CA_OAKLAND,2020-11-27,84.0,233.0,96.0,413.0
21,CA_OAKLAND,2020-12-04,138.0,267.0,140.0,545.0
22,CA_OAKLAND,2020-12-11,129.0,351.0,260.0,740.0
23,CA_OAKLAND,2020-12-18,133.0,398.0,335.0,866.0
24,CA_OAKLAND,2020-12-25,159.0,482.0,308.0,949.0
25,CA_OAKLAND,2021-01-01,161.0,512.0,246.0,919.0
26,CA_OAKLAND,2021-01-08,217.0,543.0,266.0,1026.0
27,CA_OAKLAND,2021-01-15,290.0,559.0,334.0,1183.0
28,CA_OAKLAND,2021-01-22,215.0,494.0,248.0,957.0
29,CA_OAKLAND,2021-01-29,161.0,363.0,218.0,742.0
30,CA_OAKLAND,2021-02-05,94.0,322.0,201.0,617.0
31,CA_OAKLAND,2021-02-12,57.0,260.0,126.0,443.0
32,CA_OAKLAND,2021-02-19,49.0,239.0,91.0,379.0
33,CA_OAKLAND,2021-02-26,65.0,217.0,94.0,376.0
34,CA_OAKLAND,2021-03-05,66.0,187.0,56.0,309.0
35,CA_OAKLAND,2021-03-12,37.0,174.0,51.0,262.0
36,CA_OAKLAND,2021-03-19,37.0,130.0,65.0,232.0
37,CA_OAKLAND,2021-03-26,28.0,134.0,73.0,235.0
38,CA_OAKLAND,2021-04-02,29.0,147.0,35.0,211.0
39,CA_OAKLAND,2021-04-09,22.0,129.0,29.0,180.0
40,CA_OAKLAND,2021-04-16,26.0,90.0,44.0,160.0
41,CA_OAKLAND,2021-04-23,29.0,134.0,32.0,195.0
42,CA_OAKLAND,2021-04-30,26.0,145.0,22.0,193.0
43,CA_OAKLAND,2021-05-07,35.0,109.0,47.0,191.0
44,CA_OAKLAND,2021-05-14,28.0,122.0,48.0,198.0
45,CA_OAKLAND,2021-05-21,26.0,91.0,39.0,156.0
46,CA_OAKLAND,2021-05-28,12.0,62.0,31.0,105.0
47,CA_OAKLAND,2021-06-04,14.0,63.0,0.0,77.0
48,CA_OAKLAND,2021-06-11,34.0,98.0,23.0,155.0
49,CA_OAKLAND,2021-06-18,27.0,123.0,8.0,158.0
50,CA_OAKLAND,2021-06-25,37.0,88.0,8.0,133.0
51,CA_OAKLAND,2021-07-02,32.0,112.0,30.0,174.0
52,CA_OAKLAND,2021-07-09,57.0,119.0,49.0,225.0
53,CA_OAKLAND,2021-07-16,92.0,158.0,52.0,302.0
54,CA_OAKLAND,2021-07-23,92.0,137.0,110.0,339.0
55,CA_OAKLAND,2021-07-30,83.0,220.0,162.0,465.0
56,CA_OAKLAND,2021-08-06,91.0,273.0,166.0,530.0
57,CA_OAKLAND,2021-08-13,120.0,335.0,137.0,592.0
58,CA_OAKLAND,2021-08-20,86.0,300.0,135.0,521.0
59,CA_OAKLAND,2021-08-27,67.0,335.0,126.0,528.0
60,CA_OAKLAND,2021-09-03,56.0,313.0,100.0,469.0
61,CA_OAKLAND,2021-09-10,54.0,253.0,79.0,386.0
62,CA_OAKLAND,2021-09-17,46.0,227.0,58.0,331.0
63,CA_OAKLAND,2021-09-24,67.0,259.0,75.0,401.0
64,CA_OAKLAND,2021-10-01,53.0,235.0,53.0,341.0
65,CA_OAKLAND,2021-10-08,48.0,194.0,28.0,270.0
66,CA_OAKLAND,2021-10-15,51.0,168.0,36.0,255.0
67,CA_OAKLAND,2021-10-22,40.0,160.0,39.0,239.0
68,CA_OAKLAND,2021-10-29,52.0,110.0,31.0,193.0
69,CA_OAKLAND,2021-11-05,32.0,98.0,13.0,143.0
70,CA_OAKLAND,2021-11-12,41.0,89.0,0.0,130.0
71,CA_OAKLAND,2021-11-19,27.0,90.0,9.0,126.0
72,CA_OAKLAND,2021-11-26,22.0,92.0,21.0,135.0
73,CA_OAKLAND,2021-12-03,18.0,87.0,28.0,133.0
74,CA_OAKLAND,2021-12-10,17.0,110.0,52.0,179.0
75,CA_OAKLAND,2021-12-17,29.0,91.0,43.0,163.0
76,CA_OAKLAND,2021-12-24,69.0,111.0,90.0,270.0
77,CA_OAKLAND,2021-12-31,60.0,246.0,140.0,446.0
78,CA_OAKLAND,2022-01-07,134.0,387.0,265.0,786.0
79,CA_OAKLAND,2022-01-14,228.0,480.0,337.0,1045.0
80,CA_OAKLAND,2022-01-21,299.0,449.0,372.0,1120.0
81,CA_OAKLAND,2022-01-28,264.0,482.0,335.0,1081.0
