,loc,datetime,050137,050704,total_cnts
0,CA_PANORAMA CITY,2020-04-03,55.0,12.0,67.0
1,CA_PANORAMA CITY,2020-04-10,142.0,67.0,209.0
2,CA_PANORAMA CITY,2020-04-17,114.0,25.0,139.0
3,CA_PANORAMA CITY,2020-07-10,31.0,27.0,58.0
4,CA_PANORAMA CITY,2020-07-17,68.0,123.0,191.0
5,CA_PANORAMA CITY,2020-07-24,227.0,120.0,347.0
6,CA_PANORAMA CITY,2020-07-31,159.0,83.0,242.0
7,CA_PANORAMA CITY,2020-08-07,178.0,52.0,230.0
8,CA_PANORAMA CITY,2020-08-14,135.0,91.0,226.0
9,CA_PANORAMA CITY,2020-08-21,122.0,88.0,210.0
10,CA_PANORAMA CITY,2020-08-28,129.0,54.0,183.0
11,CA_PANORAMA CITY,2020-09-04,94.0,59.0,153.0
12,CA_PANORAMA CITY,2020-09-11,55.0,60.0,115.0
13,CA_PANORAMA CITY,2020-09-18,64.0,67.0,131.0
14,CA_PANORAMA CITY,2020-09-25,80.0,58.0,138.0
15,CA_PANORAMA CITY,2020-10-02,67.0,54.0,121.0
16,CA_PANORAMA CITY,2020-10-09,69.0,36.0,105.0
17,CA_PANORAMA CITY,2020-10-16,88.0,62.0,150.0
18,CA_PANORAMA CITY,2020-10-23,95.0,85.0,180.0
19,CA_PANORAMA CITY,2020-10-30,94.0,91.0,185.0
20,CA_PANORAMA CITY,2020-11-06,121.0,71.0,192.0
21,CA_PANORAMA CITY,2020-11-13,169.0,101.0,270.0
22,CA_PANORAMA CITY,2020-11-20,266.0,146.0,412.0
23,CA_PANORAMA CITY,2020-11-27,330.0,166.0,496.0
24,CA_PANORAMA CITY,2020-12-04,383.0,197.0,580.0
25,CA_PANORAMA CITY,2020-12-11,607.0,235.0,842.0
26,CA_PANORAMA CITY,2020-12-18,811.0,360.0,1171.0
27,CA_PANORAMA CITY,2020-12-25,910.0,465.0,1375.0
28,CA_PANORAMA CITY,2021-01-01,1056.0,537.0,1593.0
29,CA_PANORAMA CITY,2021-01-08,1039.0,558.0,1597.0
30,CA_PANORAMA CITY,2021-01-15,931.0,520.0,1451.0
31,CA_PANORAMA CITY,2021-01-22,784.0,479.0,1263.0
32,CA_PANORAMA CITY,2021-01-29,532.0,394.0,926.0
33,CA_PANORAMA CITY,2021-02-05,467.0,281.0,748.0
34,CA_PANORAMA CITY,2021-02-12,397.0,147.0,544.0
35,CA_PANORAMA CITY,2021-02-19,251.0,137.0,388.0
