,loc,datetime,050089,050129,total_cnts
140,CA_SAN BERNARDINO,2020-04-10,0.0,12.0,12.0
0,CA_SAN BERNARDINO,2020-04-17,11.0,0.0,11.0
1,CA_SAN BERNARDINO,2020-07-10,60.0,117.0,177.0
2,CA_SAN BERNARDINO,2020-07-17,220.0,445.0,665.0
3,CA_SAN BERNARDINO,2020-07-24,231.0,413.0,644.0
4,CA_SAN BERNARDINO,2020-07-31,181.0,451.0,632.0
5,CA_SAN BERNARDINO,2020-08-07,151.0,485.0,636.0
6,CA_SAN BERNARDINO,2020-08-14,135.0,414.0,549.0
7,CA_SAN BERNARDINO,2020-08-21,82.0,279.0,361.0
8,CA_SAN BERNARDINO,2020-08-28,80.0,218.0,298.0
9,CA_SAN BERNARDINO,2020-09-04,73.0,168.0,241.0
10,CA_SAN BERNARDINO,2020-09-11,42.0,104.0,146.0
11,CA_SAN BERNARDINO,2020-09-18,32.0,102.0,134.0
12,CA_SAN BERNARDINO,2020-09-25,58.0,118.0,176.0
13,CA_SAN BERNARDINO,2020-10-02,72.0,171.0,243.0
14,CA_SAN BERNARDINO,2020-10-09,45.0,168.0,213.0
15,CA_SAN BERNARDINO,2020-10-16,38.0,128.0,166.0
16,CA_SAN BERNARDINO,2020-10-23,36.0,146.0,182.0
17,CA_SAN BERNARDINO,2020-10-30,34.0,146.0,180.0
18,CA_SAN BERNARDINO,2020-11-06,49.0,147.0,196.0
19,CA_SAN BERNARDINO,2020-11-13,70.0,220.0,290.0
20,CA_SAN BERNARDINO,2020-11-20,159.0,292.0,451.0
21,CA_SAN BERNARDINO,2020-11-27,246.0,478.0,724.0
22,CA_SAN BERNARDINO,2020-12-04,361.0,731.0,1092.0
23,CA_SAN BERNARDINO,2020-12-11,412.0,984.0,1396.0
24,CA_SAN BERNARDINO,2020-12-18,471.0,1138.0,1609.0
25,CA_SAN BERNARDINO,2020-12-25,505.0,1206.0,1711.0
26,CA_SAN BERNARDINO,2021-01-01,453.0,1269.0,1722.0
27,CA_SAN BERNARDINO,2021-01-08,426.0,1259.0,1685.0
28,CA_SAN BERNARDINO,2021-01-15,423.0,1139.0,1562.0
29,CA_SAN BERNARDINO,2021-01-22,372.0,852.0,1224.0
30,CA_SAN BERNARDINO,2021-01-29,344.0,670.0,1014.0
31,CA_SAN BERNARDINO,2021-02-05,280.0,588.0,868.0
32,CA_SAN BERNARDINO,2021-02-12,178.0,419.0,597.0
33,CA_SAN BERNARDINO,2021-02-19,151.0,300.0,451.0
34,CA_SAN BERNARDINO,2021-02-26,125.0,230.0,355.0
35,CA_SAN BERNARDINO,2021-03-05,70.0,158.0,228.0
36,CA_SAN BERNARDINO,2021-03-12,42.0,82.0,124.0
37,CA_SAN BERNARDINO,2021-03-19,27.0,82.0,109.0
38,CA_SAN BERNARDINO,2021-03-26,32.0,73.0,105.0
39,CA_SAN BERNARDINO,2021-04-02,13.0,73.0,86.0
40,CA_SAN BERNARDINO,2021-04-09,16.0,61.0,77.0
41,CA_SAN BERNARDINO,2021-04-16,56.0,34.0,90.0
42,CA_SAN BERNARDINO,2021-04-23,17.0,51.0,68.0
43,CA_SAN BERNARDINO,2021-04-30,10.0,61.0,71.0
44,CA_SAN BERNARDINO,2021-05-07,30.0,39.0,69.0
45,CA_SAN BERNARDINO,2021-05-14,37.0,26.0,63.0
46,CA_SAN BERNARDINO,2021-05-21,20.0,48.0,68.0
47,CA_SAN BERNARDINO,2021-05-28,32.0,65.0,97.0
48,CA_SAN BERNARDINO,2021-06-04,15.0,48.0,63.0
49,CA_SAN BERNARDINO,2021-06-11,5.0,50.0,55.0
50,CA_SAN BERNARDINO,2021-06-18,19.0,42.0,61.0
51,CA_SAN BERNARDINO,2021-06-25,22.0,51.0,73.0
52,CA_SAN BERNARDINO,2021-07-02,23.0,31.0,54.0
53,CA_SAN BERNARDINO,2021-07-09,38.0,37.0,75.0
54,CA_SAN BERNARDINO,2021-07-16,51.0,50.0,101.0
55,CA_SAN BERNARDINO,2021-07-23,46.0,97.0,143.0
56,CA_SAN BERNARDINO,2021-07-30,67.0,93.0,160.0
57,CA_SAN BERNARDINO,2021-08-06,126.0,190.0,316.0
58,CA_SAN BERNARDINO,2021-08-13,119.0,271.0,390.0
59,CA_SAN BERNARDINO,2021-08-20,167.0,278.0,445.0
