,loc,datetime,050025,050077,050100,050515,050757,total_cnts
0,CA_SAN DIEGO,2020-04-03,56.0,0.0,212.0,30.0,0.0,298.0
1,CA_SAN DIEGO,2020-04-10,154.0,48.0,569.0,134.0,0.0,905.0
2,CA_SAN DIEGO,2020-04-17,96.0,51.0,330.0,77.0,0.0,554.0
3,CA_SAN DIEGO,2020-07-10,42.0,28.0,96.0,19.0,13.0,220.0
4,CA_SAN DIEGO,2020-07-17,44.0,90.0,259.0,26.0,0.0,465.0
5,CA_SAN DIEGO,2020-07-24,221.0,356.0,224.0,127.0,25.0,990.0
6,CA_SAN DIEGO,2020-07-31,220.0,348.0,213.0,138.0,39.0,958.0
7,CA_SAN DIEGO,2020-08-07,154.0,312.0,183.0,157.0,45.0,851.0
8,CA_SAN DIEGO,2020-08-14,98.0,226.0,172.0,116.0,27.0,639.0
9,CA_SAN DIEGO,2020-08-21,86.0,223.0,104.0,103.0,26.0,542.0
10,CA_SAN DIEGO,2020-08-28,92.0,214.0,96.0,114.0,56.0,572.0
11,CA_SAN DIEGO,2020-09-04,88.0,179.0,68.0,75.0,15.0,425.0
12,CA_SAN DIEGO,2020-09-11,88.0,178.0,105.0,56.0,34.0,461.0
13,CA_SAN DIEGO,2020-09-18,76.0,218.0,87.0,69.0,23.0,473.0
14,CA_SAN DIEGO,2020-09-25,75.0,247.0,92.0,91.0,28.0,533.0
15,CA_SAN DIEGO,2020-10-02,73.0,297.0,96.0,101.0,40.0,607.0
16,CA_SAN DIEGO,2020-10-09,73.0,259.0,82.0,134.0,20.0,568.0
17,CA_SAN DIEGO,2020-10-16,100.0,191.0,146.0,125.0,16.0,578.0
18,CA_SAN DIEGO,2020-10-23,112.0,179.0,113.0,76.0,12.0,517.0
19,CA_SAN DIEGO,2020-10-30,135.0,249.0,159.0,70.0,21.0,699.0
20,CA_SAN DIEGO,2020-11-06,225.0,264.0,164.0,86.0,37.0,818.0
21,CA_SAN DIEGO,2020-11-13,244.0,312.0,228.0,129.0,90.0,1039.0
22,CA_SAN DIEGO,2020-11-20,348.0,397.0,310.0,206.0,143.0,1439.0
23,CA_SAN DIEGO,2020-11-27,359.0,581.0,440.0,294.0,112.0,1815.0
24,CA_SAN DIEGO,2020-12-04,386.0,795.0,478.0,330.0,139.0,2150.0
25,CA_SAN DIEGO,2020-12-11,511.0,920.0,667.0,395.0,152.0,2654.0
26,CA_SAN DIEGO,2020-12-18,666.0,1027.0,901.0,499.0,186.0,3293.0
27,CA_SAN DIEGO,2020-12-25,825.0,1158.0,1079.0,615.0,157.0,3838.0
28,CA_SAN DIEGO,2021-01-01,903.0,1191.0,1128.0,680.0,202.0,4108.0
29,CA_SAN DIEGO,2021-01-08,1051.0,1294.0,1232.0,765.0,241.0,4629.0
30,CA_SAN DIEGO,2021-01-15,939.0,1256.0,1164.0,688.0,204.0,4317.0
31,CA_SAN DIEGO,2021-01-22,738.0,1226.0,997.0,554.0,166.0,3745.0
32,CA_SAN DIEGO,2021-01-29,681.0,1015.0,817.0,575.0,156.0,3312.0
33,CA_SAN DIEGO,2021-02-05,594.0,893.0,590.0,476.0,150.0,2757.0
34,CA_SAN DIEGO,2021-02-12,489.0,755.0,518.0,359.0,102.0,2271.0
35,CA_SAN DIEGO,2021-02-19,432.0,556.0,434.0,261.0,57.0,1792.0
36,CA_SAN DIEGO,2021-02-26,358.0,430.0,282.0,207.0,40.0,1362.0
37,CA_SAN DIEGO,2021-03-05,285.0,288.0,221.0,148.0,15.0,992.0
38,CA_SAN DIEGO,2021-03-12,220.0,177.0,180.0,126.0,18.0,749.0
39,CA_SAN DIEGO,2021-03-19,185.0,168.0,169.0,114.0,7.0,666.0
40,CA_SAN DIEGO,2021-03-26,174.0,114.0,149.0,78.0,10.0,542.0
