,loc,datetime,050112,050290,total_cnts
0,CA_SANTA MONICA,2020-04-03,62.0,26.0,88.0
1,CA_SANTA MONICA,2020-04-10,146.0,82.0,228.0
2,CA_SANTA MONICA,2020-04-17,89.0,0.0,89.0
142,CA_SANTA MONICA,2020-05-15,0.0,15.0,15.0
3,CA_SANTA MONICA,2020-07-10,20.0,55.0,75.0
4,CA_SANTA MONICA,2020-07-17,127.0,75.0,202.0
5,CA_SANTA MONICA,2020-07-24,81.0,72.0,153.0
6,CA_SANTA MONICA,2020-07-31,52.0,70.0,122.0
7,CA_SANTA MONICA,2020-08-07,56.0,33.0,89.0
8,CA_SANTA MONICA,2020-08-14,71.0,39.0,110.0
9,CA_SANTA MONICA,2020-08-21,72.0,42.0,114.0
10,CA_SANTA MONICA,2020-08-28,35.0,21.0,56.0
11,CA_SANTA MONICA,2020-09-04,31.0,32.0,63.0
12,CA_SANTA MONICA,2020-09-11,28.0,67.0,95.0
13,CA_SANTA MONICA,2020-09-18,25.0,64.0,89.0
14,CA_SANTA MONICA,2020-09-25,26.0,64.0,90.0
15,CA_SANTA MONICA,2020-10-02,27.0,45.0,72.0
16,CA_SANTA MONICA,2020-10-09,23.0,58.0,81.0
17,CA_SANTA MONICA,2020-10-16,12.0,60.0,72.0
18,CA_SANTA MONICA,2020-10-23,24.0,55.0,79.0
19,CA_SANTA MONICA,2020-10-30,48.0,56.0,104.0
20,CA_SANTA MONICA,2020-11-06,37.0,58.0,95.0
21,CA_SANTA MONICA,2020-11-13,57.0,59.0,116.0
22,CA_SANTA MONICA,2020-11-20,107.0,125.0,232.0
23,CA_SANTA MONICA,2020-11-27,149.0,152.0,301.0
24,CA_SANTA MONICA,2020-12-04,223.0,173.0,396.0
25,CA_SANTA MONICA,2020-12-11,371.0,312.0,683.0
26,CA_SANTA MONICA,2020-12-18,520.0,392.0,912.0
27,CA_SANTA MONICA,2020-12-25,576.0,501.0,1077.0
28,CA_SANTA MONICA,2021-01-01,618.0,451.0,1069.0
29,CA_SANTA MONICA,2021-01-08,585.0,427.0,1012.0
30,CA_SANTA MONICA,2021-01-15,394.0,389.0,783.0
31,CA_SANTA MONICA,2021-01-22,323.0,417.0,740.0
32,CA_SANTA MONICA,2021-01-29,295.0,328.0,623.0
33,CA_SANTA MONICA,2021-02-05,199.0,272.0,471.0
34,CA_SANTA MONICA,2021-02-12,120.0,187.0,307.0
35,CA_SANTA MONICA,2021-02-19,107.0,165.0,272.0
36,CA_SANTA MONICA,2021-02-26,95.0,128.0,223.0
37,CA_SANTA MONICA,2021-03-05,68.0,105.0,173.0
38,CA_SANTA MONICA,2021-03-12,39.0,82.0,121.0
39,CA_SANTA MONICA,2021-03-19,35.0,63.0,98.0
40,CA_SANTA MONICA,2021-03-26,26.0,47.0,73.0
41,CA_SANTA MONICA,2021-04-02,17.0,27.0,44.0
42,CA_SANTA MONICA,2021-04-09,32.0,37.0,69.0
43,CA_SANTA MONICA,2021-04-16,27.0,48.0,75.0
44,CA_SANTA MONICA,2021-04-23,11.0,44.0,55.0
45,CA_SANTA MONICA,2021-04-30,19.0,49.0,68.0
46,CA_SANTA MONICA,2021-05-07,20.0,26.0,46.0
47,CA_SANTA MONICA,2021-05-14,14.0,33.0,47.0
48,CA_SANTA MONICA,2021-05-21,15.0,57.0,72.0
49,CA_SANTA MONICA,2021-05-28,16.0,47.0,63.0
50,CA_SANTA MONICA,2021-06-04,7.0,27.0,34.0
51,CA_SANTA MONICA,2021-06-11,5.0,23.0,28.0
52,CA_SANTA MONICA,2021-06-18,12.0,12.0,24.0
53,CA_SANTA MONICA,2021-06-25,9.0,21.0,30.0
54,CA_SANTA MONICA,2021-07-02,11.0,33.0,44.0
55,CA_SANTA MONICA,2021-07-09,33.0,71.0,104.0
56,CA_SANTA MONICA,2021-07-16,20.0,64.0,84.0
57,CA_SANTA MONICA,2021-07-23,59.0,73.0,132.0
58,CA_SANTA MONICA,2021-07-30,65.0,75.0,140.0
59,CA_SANTA MONICA,2021-08-06,104.0,129.0,233.0
60,CA_SANTA MONICA,2021-08-13,79.0,160.0,239.0
61,CA_SANTA MONICA,2021-08-20,90.0,132.0,222.0
62,CA_SANTA MONICA,2021-08-27,107.0,87.0,194.0
63,CA_SANTA MONICA,2021-09-03,70.0,80.0,150.0
64,CA_SANTA MONICA,2021-09-10,63.0,75.0,138.0
65,CA_SANTA MONICA,2021-09-17,41.0,70.0,111.0
66,CA_SANTA MONICA,2021-09-24,37.0,80.0,117.0
67,CA_SANTA MONICA,2021-10-01,23.0,58.0,81.0
68,CA_SANTA MONICA,2021-10-08,36.0,60.0,96.0
69,CA_SANTA MONICA,2021-10-15,40.0,51.0,91.0
70,CA_SANTA MONICA,2021-10-22,19.0,67.0,86.0
71,CA_SANTA MONICA,2021-10-29,11.0,60.0,71.0
72,CA_SANTA MONICA,2021-11-05,12.0,80.0,92.0
73,CA_SANTA MONICA,2021-11-12,38.0,88.0,126.0
74,CA_SANTA MONICA,2021-11-19,39.0,102.0,141.0
75,CA_SANTA MONICA,2021-11-26,22.0,80.0,102.0
76,CA_SANTA MONICA,2021-12-03,26.0,89.0,115.0
77,CA_SANTA MONICA,2021-12-10,49.0,85.0,134.0
78,CA_SANTA MONICA,2021-12-17,38.0,56.0,94.0
79,CA_SANTA MONICA,2021-12-24,80.0,47.0,127.0
80,CA_SANTA MONICA,2021-12-31,159.0,94.0,253.0
81,CA_SANTA MONICA,2022-01-07,302.0,215.0,517.0
82,CA_SANTA MONICA,2022-01-14,390.0,281.0,671.0
83,CA_SANTA MONICA,2022-01-21,355.0,240.0,595.0
84,CA_SANTA MONICA,2022-01-28,246.0,232.0,478.0
85,CA_SANTA MONICA,2022-02-04,165.0,149.0,314.0
86,CA_SANTA MONICA,2022-02-11,124.0,141.0,265.0
87,CA_SANTA MONICA,2022-02-18,61.0,71.0,132.0
88,CA_SANTA MONICA,2022-02-25,61.0,60.0,121.0
89,CA_SANTA MONICA,2022-03-04,42.0,32.0,74.0
90,CA_SANTA MONICA,2022-03-11,26.0,34.0,60.0
91,CA_SANTA MONICA,2022-03-18,12.0,36.0,48.0
92,CA_SANTA MONICA,2022-03-25,20.0,53.0,73.0
93,CA_SANTA MONICA,2022-04-01,29.0,26.0,55.0
94,CA_SANTA MONICA,2022-04-08,24.0,32.0,56.0
95,CA_SANTA MONICA,2022-04-15,29.0,31.0,60.0
96,CA_SANTA MONICA,2022-04-22,11.0,29.0,40.0
97,CA_SANTA MONICA,2022-04-29,12.0,33.0,45.0
98,CA_SANTA MONICA,2022-05-06,15.0,48.0,63.0
99,CA_SANTA MONICA,2022-05-13,45.0,51.0,96.0
100,CA_SANTA MONICA,2022-05-20,56.0,76.0,132.0
101,CA_SANTA MONICA,2022-05-27,55.0,64.0,119.0
102,CA_SANTA MONICA,2022-06-03,34.0,50.0,84.0
103,CA_SANTA MONICA,2022-06-10,49.0,71.0,120.0
104,CA_SANTA MONICA,2022-06-17,94.0,63.0,157.0
105,CA_SANTA MONICA,2022-06-24,68.0,72.0,140.0
106,CA_SANTA MONICA,2022-07-01,82.0,91.0,173.0
107,CA_SANTA MONICA,2022-07-08,110.0,92.0,202.0
108,CA_SANTA MONICA,2022-07-15,154.0,142.0,296.0
109,CA_SANTA MONICA,2022-07-22,172.0,92.0,264.0
110,CA_SANTA MONICA,2022-07-29,85.0,78.0,163.0
111,CA_SANTA MONICA,2022-08-05,63.0,105.0,168.0
112,CA_SANTA MONICA,2022-08-12,66.0,85.0,151.0
113,CA_SANTA MONICA,2022-08-19,91.0,121.0,212.0
114,CA_SANTA MONICA,2022-08-26,86.0,79.0,165.0
115,CA_SANTA MONICA,2022-09-02,61.0,84.0,145.0
116,CA_SANTA MONICA,2022-09-09,39.0,58.0,97.0
117,CA_SANTA MONICA,2022-09-16,53.0,61.0,114.0
118,CA_SANTA MONICA,2022-09-23,36.0,68.0,104.0
119,CA_SANTA MONICA,2022-09-30,55.0,47.0,102.0
120,CA_SANTA MONICA,2022-10-07,34.0,54.0,88.0
121,CA_SANTA MONICA,2022-10-14,25.0,53.0,78.0
122,CA_SANTA MONICA,2022-10-21,32.0,52.0,84.0
123,CA_SANTA MONICA,2022-10-28,33.0,30.0,63.0
124,CA_SANTA MONICA,2022-11-04,28.0,48.0,76.0
125,CA_SANTA MONICA,2022-11-11,49.0,63.0,112.0
126,CA_SANTA MONICA,2022-11-18,73.0,80.0,153.0
127,CA_SANTA MONICA,2022-11-25,96.0,110.0,206.0
128,CA_SANTA MONICA,2022-12-02,100.0,98.0,198.0
129,CA_SANTA MONICA,2022-12-09,119.0,97.0,216.0
130,CA_SANTA MONICA,2022-12-16,114.0,79.0,193.0
131,CA_SANTA MONICA,2022-12-23,25.0,72.0,97.0
132,CA_SANTA MONICA,2022-12-30,71.0,76.0,147.0
133,CA_SANTA MONICA,2023-01-06,62.0,92.0,154.0
134,CA_SANTA MONICA,2023-01-13,96.0,64.0,160.0
