,loc,datetime,050351,050353,050376,total_cnts
0,CA_TORRANCE,2020-04-03,87.0,53.0,0.0,140.0
140,CA_TORRANCE,2020-04-10,0.0,183.0,0.0,183.0
141,CA_TORRANCE,2020-05-15,0.0,22.0,0.0,22.0
1,CA_TORRANCE,2020-07-10,85.0,122.0,92.0,299.0
2,CA_TORRANCE,2020-07-17,298.0,259.0,276.0,833.0
3,CA_TORRANCE,2020-07-24,202.0,193.0,235.0,630.0
4,CA_TORRANCE,2020-07-31,243.0,177.0,230.0,650.0
5,CA_TORRANCE,2020-08-07,158.0,215.0,232.0,605.0
6,CA_TORRANCE,2020-08-14,157.0,194.0,215.0,566.0
7,CA_TORRANCE,2020-08-21,143.0,129.0,193.0,465.0
8,CA_TORRANCE,2020-08-28,99.0,76.0,148.0,323.0
9,CA_TORRANCE,2020-09-04,67.0,86.0,154.0,307.0
10,CA_TORRANCE,2020-09-11,76.0,73.0,97.0,246.0
11,CA_TORRANCE,2020-09-18,81.0,81.0,56.0,218.0
12,CA_TORRANCE,2020-09-25,63.0,62.0,67.0,192.0
13,CA_TORRANCE,2020-10-02,54.0,35.0,64.0,153.0
14,CA_TORRANCE,2020-10-09,68.0,69.0,74.0,211.0
15,CA_TORRANCE,2020-10-16,62.0,59.0,55.0,176.0
16,CA_TORRANCE,2020-10-23,50.0,97.0,77.0,224.0
17,CA_TORRANCE,2020-10-30,66.0,113.0,79.0,258.0
18,CA_TORRANCE,2020-11-06,119.0,121.0,89.0,329.0
19,CA_TORRANCE,2020-11-13,128.0,124.0,119.0,371.0
20,CA_TORRANCE,2020-11-20,209.0,197.0,183.0,589.0
21,CA_TORRANCE,2020-11-27,288.0,319.0,266.0,873.0
22,CA_TORRANCE,2020-12-04,354.0,450.0,345.0,1149.0
23,CA_TORRANCE,2020-12-11,612.0,662.0,540.0,1814.0
24,CA_TORRANCE,2020-12-18,932.0,915.0,708.0,2555.0
25,CA_TORRANCE,2020-12-25,1131.0,1097.0,782.0,3010.0
26,CA_TORRANCE,2021-01-01,1374.0,1132.0,1023.0,3529.0
27,CA_TORRANCE,2021-01-08,1487.0,1046.0,1067.0,3600.0
28,CA_TORRANCE,2021-01-15,1326.0,930.0,963.0,3219.0
29,CA_TORRANCE,2021-01-22,1068.0,848.0,865.0,2781.0
30,CA_TORRANCE,2021-01-29,860.0,664.0,622.0,2146.0
31,CA_TORRANCE,2021-02-05,631.0,496.0,440.0,1567.0
32,CA_TORRANCE,2021-02-12,479.0,287.0,414.0,1180.0
33,CA_TORRANCE,2021-02-19,372.0,215.0,327.0,914.0
34,CA_TORRANCE,2021-02-26,245.0,150.0,226.0,621.0
35,CA_TORRANCE,2021-03-05,167.0,120.0,186.0,473.0
36,CA_TORRANCE,2021-03-12,138.0,123.0,165.0,426.0
37,CA_TORRANCE,2021-03-19,104.0,116.0,134.0,354.0
38,CA_TORRANCE,2021-03-26,114.0,118.0,136.0,368.0
39,CA_TORRANCE,2021-04-02,83.0,137.0,119.0,339.0
40,CA_TORRANCE,2021-04-09,63.0,111.0,104.0,278.0
