,loc,datetime,050159,050394,total_cnts
136,CA_VENTURA,2020-04-03,0.0,6.0,6.0
137,CA_VENTURA,2020-04-10,0.0,4.0,4.0
0,CA_VENTURA,2020-07-10,32.0,71.0,103.0
1,CA_VENTURA,2020-07-17,73.0,139.0,212.0
2,CA_VENTURA,2020-07-24,73.0,246.0,319.0
3,CA_VENTURA,2020-07-31,53.0,102.0,155.0
4,CA_VENTURA,2020-08-07,69.0,136.0,205.0
5,CA_VENTURA,2020-08-14,67.0,152.0,219.0
6,CA_VENTURA,2020-08-21,85.0,151.0,236.0
7,CA_VENTURA,2020-08-28,116.0,111.0,227.0
8,CA_VENTURA,2020-09-04,48.0,62.0,110.0
9,CA_VENTURA,2020-09-11,69.0,55.0,124.0
10,CA_VENTURA,2020-09-18,51.0,74.0,125.0
11,CA_VENTURA,2020-09-25,38.0,100.0,138.0
12,CA_VENTURA,2020-10-02,16.0,61.0,77.0
13,CA_VENTURA,2020-10-09,9.0,71.0,80.0
14,CA_VENTURA,2020-10-16,12.0,42.0,54.0
15,CA_VENTURA,2020-10-23,32.0,30.0,62.0
16,CA_VENTURA,2020-10-30,36.0,19.0,55.0
17,CA_VENTURA,2020-11-06,26.0,34.0,60.0
18,CA_VENTURA,2020-11-13,25.0,34.0,59.0
19,CA_VENTURA,2020-11-20,53.0,80.0,133.0
20,CA_VENTURA,2020-11-27,104.0,143.0,247.0
21,CA_VENTURA,2020-12-04,91.0,221.0,312.0
22,CA_VENTURA,2020-12-11,142.0,291.0,433.0
23,CA_VENTURA,2020-12-18,212.0,383.0,595.0
24,CA_VENTURA,2020-12-25,185.0,452.0,637.0
25,CA_VENTURA,2021-01-01,226.0,553.0,779.0
26,CA_VENTURA,2021-01-08,304.0,596.0,900.0
27,CA_VENTURA,2021-01-15,347.0,555.0,902.0
28,CA_VENTURA,2021-01-22,287.0,596.0,883.0
29,CA_VENTURA,2021-01-29,275.0,440.0,715.0
30,CA_VENTURA,2021-02-05,244.0,358.0,602.0
31,CA_VENTURA,2021-02-12,177.0,306.0,483.0
32,CA_VENTURA,2021-02-19,154.0,212.0,366.0
33,CA_VENTURA,2021-02-26,93.0,146.0,239.0
34,CA_VENTURA,2021-03-05,80.0,93.0,173.0
35,CA_VENTURA,2021-03-12,69.0,65.0,134.0
36,CA_VENTURA,2021-03-19,61.0,56.0,117.0
37,CA_VENTURA,2021-03-26,62.0,29.0,91.0
38,CA_VENTURA,2021-04-02,49.0,41.0,90.0
39,CA_VENTURA,2021-04-09,45.0,30.0,75.0
40,CA_VENTURA,2021-04-16,33.0,10.0,43.0
41,CA_VENTURA,2021-04-23,32.0,9.0,41.0
42,CA_VENTURA,2021-04-30,33.0,8.0,41.0
43,CA_VENTURA,2021-05-07,30.0,15.0,45.0
44,CA_VENTURA,2021-05-14,52.0,8.0,60.0
45,CA_VENTURA,2021-05-21,24.0,0.0,24.0
46,CA_VENTURA,2021-05-28,22.0,7.0,29.0
47,CA_VENTURA,2021-06-04,30.0,8.0,38.0
48,CA_VENTURA,2021-06-11,28.0,7.0,35.0
49,CA_VENTURA,2021-06-18,31.0,8.0,39.0
50,CA_VENTURA,2021-06-25,9.0,14.0,23.0
51,CA_VENTURA,2021-07-02,14.0,32.0,46.0
52,CA_VENTURA,2021-07-09,11.0,68.0,79.0
53,CA_VENTURA,2021-07-16,7.0,74.0,81.0
54,CA_VENTURA,2021-07-23,14.0,51.0,65.0
55,CA_VENTURA,2021-07-30,18.0,100.0,118.0
56,CA_VENTURA,2021-08-06,45.0,148.0,193.0
57,CA_VENTURA,2021-08-13,70.0,202.0,272.0
58,CA_VENTURA,2021-08-20,120.0,214.0,334.0
59,CA_VENTURA,2021-08-27,128.0,205.0,333.0
60,CA_VENTURA,2021-09-03,128.0,225.0,353.0
61,CA_VENTURA,2021-09-10,126.0,182.0,308.0
62,CA_VENTURA,2021-09-17,76.0,139.0,215.0
63,CA_VENTURA,2021-09-24,72.0,81.0,153.0
64,CA_VENTURA,2021-10-01,45.0,69.0,114.0
