,loc,datetime,090001,090003,090004,090005,090008,090011,total_cnts
0,DC_WASHINGTON,2020-07-10,17.0,9.0,0.0,8.0,0.0,0.0,34.0
1,DC_WASHINGTON,2020-07-17,99.0,31.0,27.0,12.0,0.0,94.0,274.0
2,DC_WASHINGTON,2020-07-24,131.0,4.0,47.0,15.0,5.0,215.0,423.0
3,DC_WASHINGTON,2020-07-31,165.0,5.0,48.0,22.0,36.0,363.0,656.0
4,DC_WASHINGTON,2020-08-07,115.0,31.0,28.0,36.0,46.0,280.0,693.0
5,DC_WASHINGTON,2020-08-14,92.0,28.0,31.0,21.0,45.0,299.0,575.0
6,DC_WASHINGTON,2020-08-21,98.0,29.0,60.0,27.0,35.0,307.0,615.0
7,DC_WASHINGTON,2020-08-28,94.0,22.0,39.0,27.0,36.0,279.0,543.0
8,DC_WASHINGTON,2020-09-04,94.0,37.0,39.0,29.0,30.0,346.0,598.0
9,DC_WASHINGTON,2020-09-11,81.0,33.0,62.0,28.0,30.0,382.0,624.0
10,DC_WASHINGTON,2020-09-18,101.0,30.0,41.0,16.0,32.0,384.0,612.0
11,DC_WASHINGTON,2020-09-25,109.0,41.0,69.0,8.0,27.0,387.0,641.0
12,DC_WASHINGTON,2020-10-02,111.0,38.0,77.0,8.0,32.0,381.0,662.0
13,DC_WASHINGTON,2020-10-09,76.0,28.0,46.0,25.0,12.0,397.0,598.0
14,DC_WASHINGTON,2020-10-16,118.0,31.0,48.0,27.0,4.0,369.0,616.0
15,DC_WASHINGTON,2020-10-23,142.0,49.0,86.0,45.0,16.0,337.0,716.0
16,DC_WASHINGTON,2020-10-30,136.0,36.0,106.0,37.0,29.0,281.0,671.0
17,DC_WASHINGTON,2020-11-06,142.0,33.0,128.0,58.0,19.0,284.0,769.0
18,DC_WASHINGTON,2020-11-13,119.0,68.0,148.0,62.0,15.0,358.0,892.0
19,DC_WASHINGTON,2020-11-20,170.0,128.0,130.0,73.0,20.0,393.0,997.0
20,DC_WASHINGTON,2020-11-27,209.0,127.0,121.0,119.0,61.0,477.0,1160.0
