,loc,datetime,100050,100053,100187,total_cnts
0,FL_HIALEAH,2020-07-10,148.0,0.0,0.0,148.0
1,FL_HIALEAH,2020-07-17,439.0,79.0,98.0,616.0
2,FL_HIALEAH,2020-07-24,442.0,604.0,627.0,1673.0
3,FL_HIALEAH,2020-07-31,415.0,601.0,563.0,1579.0
4,FL_HIALEAH,2020-08-07,392.0,502.0,459.0,1353.0
5,FL_HIALEAH,2020-08-14,384.0,393.0,300.0,1077.0
6,FL_HIALEAH,2020-08-21,269.0,324.0,228.0,821.0
7,FL_HIALEAH,2020-08-28,208.0,262.0,161.0,631.0
8,FL_HIALEAH,2020-09-04,165.0,152.0,134.0,451.0
9,FL_HIALEAH,2020-09-11,109.0,76.0,132.0,317.0
10,FL_HIALEAH,2020-09-18,67.0,67.0,86.0,220.0
11,FL_HIALEAH,2020-09-25,38.0,36.0,78.0,152.0
12,FL_HIALEAH,2020-10-02,50.0,22.0,94.0,166.0
13,FL_HIALEAH,2020-10-09,52.0,33.0,83.0,168.0
14,FL_HIALEAH,2020-10-16,32.0,38.0,45.0,115.0
15,FL_HIALEAH,2020-10-23,45.0,71.0,73.0,189.0
16,FL_HIALEAH,2020-10-30,19.0,85.0,101.0,205.0
17,FL_HIALEAH,2020-11-06,51.0,77.0,154.0,282.0
18,FL_HIALEAH,2020-11-13,70.0,169.0,182.0,421.0
19,FL_HIALEAH,2020-11-20,91.0,148.0,245.0,484.0
20,FL_HIALEAH,2020-11-27,106.0,249.0,300.0,655.0
21,FL_HIALEAH,2020-12-04,92.0,332.0,275.0,699.0
22,FL_HIALEAH,2020-12-11,122.0,341.0,319.0,782.0
23,FL_HIALEAH,2020-12-18,154.0,366.0,336.0,856.0
24,FL_HIALEAH,2020-12-25,134.0,361.0,364.0,859.0
25,FL_HIALEAH,2021-01-01,129.0,349.0,379.0,857.0
26,FL_HIALEAH,2021-01-08,126.0,383.0,356.0,865.0
27,FL_HIALEAH,2021-01-15,198.0,413.0,396.0,1007.0
28,FL_HIALEAH,2021-01-22,244.0,386.0,308.0,938.0
29,FL_HIALEAH,2021-01-29,308.0,366.0,319.0,993.0
30,FL_HIALEAH,2021-02-05,232.0,254.0,250.0,736.0
