,loc,datetime,100110,100320,total_cnts
0,FL_KISSIMMEE,2020-07-10,115.0,64.0,179.0
1,FL_KISSIMMEE,2020-07-17,449.0,232.0,681.0
2,FL_KISSIMMEE,2020-07-24,420.0,245.0,665.0
3,FL_KISSIMMEE,2020-07-31,375.0,219.0,594.0
4,FL_KISSIMMEE,2020-08-07,345.0,120.0,465.0
5,FL_KISSIMMEE,2020-08-14,209.0,89.0,298.0
6,FL_KISSIMMEE,2020-08-21,154.0,71.0,225.0
7,FL_KISSIMMEE,2020-08-28,138.0,67.0,205.0
8,FL_KISSIMMEE,2020-09-04,69.0,32.0,101.0
9,FL_KISSIMMEE,2020-09-11,27.0,24.0,51.0
10,FL_KISSIMMEE,2020-09-18,46.0,44.0,90.0
11,FL_KISSIMMEE,2020-09-25,110.0,68.0,178.0
12,FL_KISSIMMEE,2020-10-02,173.0,70.0,243.0
13,FL_KISSIMMEE,2020-10-09,163.0,47.0,210.0
14,FL_KISSIMMEE,2020-10-16,149.0,56.0,205.0
15,FL_KISSIMMEE,2020-10-23,126.0,44.0,170.0
16,FL_KISSIMMEE,2020-10-30,113.0,32.0,145.0
17,FL_KISSIMMEE,2020-11-06,130.0,38.0,168.0
18,FL_KISSIMMEE,2020-11-13,140.0,63.0,203.0
19,FL_KISSIMMEE,2020-11-20,190.0,72.0,262.0
20,FL_KISSIMMEE,2020-11-27,257.0,55.0,312.0
21,FL_KISSIMMEE,2020-12-04,216.0,58.0,274.0
22,FL_KISSIMMEE,2020-12-11,276.0,81.0,357.0
23,FL_KISSIMMEE,2020-12-18,325.0,63.0,388.0
24,FL_KISSIMMEE,2020-12-25,271.0,110.0,381.0
25,FL_KISSIMMEE,2021-01-01,301.0,167.0,468.0
26,FL_KISSIMMEE,2021-01-08,333.0,181.0,514.0
27,FL_KISSIMMEE,2021-01-15,332.0,165.0,497.0
28,FL_KISSIMMEE,2021-01-22,406.0,182.0,588.0
29,FL_KISSIMMEE,2021-01-29,349.0,138.0,487.0
30,FL_KISSIMMEE,2021-02-05,298.0,128.0,426.0
31,FL_KISSIMMEE,2021-02-12,234.0,158.0,392.0
32,FL_KISSIMMEE,2021-02-19,200.0,97.0,297.0
33,FL_KISSIMMEE,2021-02-26,199.0,54.0,253.0
34,FL_KISSIMMEE,2021-03-05,153.0,61.0,214.0
35,FL_KISSIMMEE,2021-03-12,151.0,54.0,205.0
36,FL_KISSIMMEE,2021-03-19,110.0,62.0,172.0
37,FL_KISSIMMEE,2021-03-26,152.0,60.0,212.0
38,FL_KISSIMMEE,2021-04-02,173.0,66.0,239.0
39,FL_KISSIMMEE,2021-04-09,169.0,82.0,251.0
40,FL_KISSIMMEE,2021-04-16,217.0,93.0,310.0
41,FL_KISSIMMEE,2021-04-23,181.0,94.0,275.0
42,FL_KISSIMMEE,2021-04-30,169.0,121.0,290.0
43,FL_KISSIMMEE,2021-05-07,133.0,100.0,233.0
44,FL_KISSIMMEE,2021-05-14,104.0,84.0,188.0
45,FL_KISSIMMEE,2021-05-21,94.0,61.0,155.0
46,FL_KISSIMMEE,2021-05-28,75.0,50.0,125.0
47,FL_KISSIMMEE,2021-06-04,94.0,66.0,160.0
48,FL_KISSIMMEE,2021-06-11,100.0,77.0,177.0
49,FL_KISSIMMEE,2021-06-18,95.0,85.0,180.0
50,FL_KISSIMMEE,2021-06-25,80.0,86.0,166.0
51,FL_KISSIMMEE,2021-07-02,81.0,90.0,171.0
52,FL_KISSIMMEE,2021-07-09,104.0,105.0,209.0
53,FL_KISSIMMEE,2021-07-16,204.0,153.0,357.0
54,FL_KISSIMMEE,2021-07-23,337.0,206.0,543.0
55,FL_KISSIMMEE,2021-07-30,494.0,267.0,761.0
56,FL_KISSIMMEE,2021-08-06,718.0,386.0,1104.0
57,FL_KISSIMMEE,2021-08-13,835.0,387.0,1222.0
58,FL_KISSIMMEE,2021-08-20,832.0,393.0,1225.0
59,FL_KISSIMMEE,2021-08-27,760.0,384.0,1144.0
60,FL_KISSIMMEE,2021-09-03,696.0,375.0,1071.0
61,FL_KISSIMMEE,2021-09-10,509.0,320.0,829.0
62,FL_KISSIMMEE,2021-09-17,446.0,273.0,719.0
63,FL_KISSIMMEE,2021-09-24,326.0,232.0,558.0
64,FL_KISSIMMEE,2021-10-01,173.0,199.0,372.0
65,FL_KISSIMMEE,2021-10-08,118.0,149.0,267.0
66,FL_KISSIMMEE,2021-10-15,125.0,112.0,237.0
67,FL_KISSIMMEE,2021-10-22,127.0,105.0,232.0
68,FL_KISSIMMEE,2021-10-29,49.0,85.0,134.0
69,FL_KISSIMMEE,2021-11-05,18.0,57.0,75.0
70,FL_KISSIMMEE,2021-11-12,42.0,46.0,88.0
71,FL_KISSIMMEE,2021-11-19,62.0,51.0,113.0
72,FL_KISSIMMEE,2021-11-26,54.0,56.0,110.0
73,FL_KISSIMMEE,2021-12-03,56.0,67.0,123.0
74,FL_KISSIMMEE,2021-12-10,52.0,67.0,119.0
75,FL_KISSIMMEE,2021-12-17,49.0,48.0,97.0
76,FL_KISSIMMEE,2021-12-24,93.0,49.0,142.0
77,FL_KISSIMMEE,2021-12-31,278.0,74.0,352.0
78,FL_KISSIMMEE,2022-01-07,559.0,126.0,685.0
79,FL_KISSIMMEE,2022-01-14,640.0,215.0,855.0
80,FL_KISSIMMEE,2022-01-21,534.0,196.0,730.0
81,FL_KISSIMMEE,2022-01-28,423.0,130.0,553.0
82,FL_KISSIMMEE,2022-02-04,332.0,106.0,438.0
83,FL_KISSIMMEE,2022-02-11,276.0,91.0,367.0
84,FL_KISSIMMEE,2022-02-18,203.0,64.0,267.0
85,FL_KISSIMMEE,2022-02-25,166.0,46.0,212.0
86,FL_KISSIMMEE,2022-03-04,80.0,15.0,95.0
87,FL_KISSIMMEE,2022-03-11,40.0,14.0,54.0
88,FL_KISSIMMEE,2022-03-18,46.0,19.0,65.0
89,FL_KISSIMMEE,2022-03-25,68.0,19.0,87.0
90,FL_KISSIMMEE,2022-04-01,45.0,0.0,45.0
91,FL_KISSIMMEE,2022-04-08,25.0,0.0,25.0
92,FL_KISSIMMEE,2022-04-15,22.0,8.0,30.0
93,FL_KISSIMMEE,2022-04-22,31.0,5.0,36.0
94,FL_KISSIMMEE,2022-04-29,43.0,6.0,49.0
95,FL_KISSIMMEE,2022-05-06,45.0,0.0,45.0
96,FL_KISSIMMEE,2022-05-13,69.0,14.0,83.0
97,FL_KISSIMMEE,2022-05-20,110.0,25.0,135.0
98,FL_KISSIMMEE,2022-05-27,138.0,15.0,153.0
99,FL_KISSIMMEE,2022-06-03,165.0,13.0,178.0
100,FL_KISSIMMEE,2022-06-10,170.0,31.0,201.0
101,FL_KISSIMMEE,2022-06-17,127.0,26.0,153.0
102,FL_KISSIMMEE,2022-06-24,151.0,13.0,164.0
103,FL_KISSIMMEE,2022-07-01,196.0,13.0,209.0
104,FL_KISSIMMEE,2022-07-08,177.0,19.0,196.0
105,FL_KISSIMMEE,2022-07-15,186.0,18.0,204.0
106,FL_KISSIMMEE,2022-07-22,191.0,42.0,233.0
107,FL_KISSIMMEE,2022-07-29,204.0,54.0,258.0
108,FL_KISSIMMEE,2022-08-05,168.0,42.0,210.0
109,FL_KISSIMMEE,2022-08-12,180.0,61.0,241.0
110,FL_KISSIMMEE,2022-08-19,150.0,44.0,194.0
111,FL_KISSIMMEE,2022-08-26,146.0,53.0,199.0
112,FL_KISSIMMEE,2022-09-02,109.0,24.0,133.0
113,FL_KISSIMMEE,2022-09-09,137.0,13.0,150.0
114,FL_KISSIMMEE,2022-09-16,97.0,15.0,112.0
115,FL_KISSIMMEE,2022-09-23,116.0,12.0,128.0
116,FL_KISSIMMEE,2022-09-30,136.0,0.0,136.0
117,FL_KISSIMMEE,2022-10-07,104.0,0.0,104.0
118,FL_KISSIMMEE,2022-10-14,72.0,5.0,77.0
119,FL_KISSIMMEE,2022-10-21,45.0,0.0,45.0
120,FL_KISSIMMEE,2022-10-28,70.0,6.0,76.0
121,FL_KISSIMMEE,2022-11-04,70.0,18.0,88.0
122,FL_KISSIMMEE,2022-11-11,48.0,13.0,61.0
123,FL_KISSIMMEE,2022-11-18,54.0,0.0,54.0
124,FL_KISSIMMEE,2022-11-25,72.0,7.0,79.0
125,FL_KISSIMMEE,2022-12-02,102.0,15.0,117.0
126,FL_KISSIMMEE,2022-12-09,77.0,17.0,94.0
127,FL_KISSIMMEE,2022-12-16,77.0,11.0,88.0
128,FL_KISSIMMEE,2022-12-23,106.0,18.0,124.0
129,FL_KISSIMMEE,2022-12-30,96.0,20.0,116.0
130,FL_KISSIMMEE,2023-01-06,101.0,34.0,135.0
131,FL_KISSIMMEE,2023-01-13,83.0,34.0,117.0
132,FL_KISSIMMEE,2023-01-20,82.0,24.0,106.0
133,FL_KISSIMMEE,2023-01-27,48.0,34.0,82.0
134,FL_KISSIMMEE,2023-02-03,53.0,32.0,85.0
135,FL_KISSIMMEE,2023-02-10,56.0,12.0,68.0
136,FL_KISSIMMEE,2023-02-17,56.0,7.0,63.0
137,FL_KISSIMMEE,2023-02-24,24.0,5.0,29.0
138,FL_KISSIMMEE,2023-03-03,15.0,10.0,25.0
