,loc,datetime,140018,140048,140088,140103,140114,140117,140119,140133,140150,140180,140182,140251,140281,total_cnts
0,IL_CHICAGO,2020-07-10,14.0,9.0,38.0,5.0,0.0,22.0,23.0,11.0,20.0,12.0,13.0,7.0,64.0,305.0
1,IL_CHICAGO,2020-07-17,52.0,102.0,150.0,22.0,0.0,68.0,165.0,24.0,29.0,13.0,86.0,36.0,156.0,1121.0
2,IL_CHICAGO,2020-07-24,48.0,91.0,156.0,17.0,0.0,76.0,145.0,37.0,91.0,0.0,47.0,30.0,229.0,1157.0
3,IL_CHICAGO,2020-07-31,49.0,111.0,179.0,10.0,0.0,67.0,166.0,33.0,93.0,0.0,68.0,26.0,237.0,1201.0
4,IL_CHICAGO,2020-08-07,35.0,112.0,158.0,20.0,0.0,82.0,160.0,31.0,83.0,6.0,34.0,16.0,268.0,1153.0
5,IL_CHICAGO,2020-08-14,30.0,96.0,130.0,29.0,0.0,70.0,161.0,54.0,81.0,5.0,57.0,7.0,209.0,1091.0
6,IL_CHICAGO,2020-08-21,24.0,94.0,111.0,21.0,0.0,49.0,206.0,49.0,61.0,4.0,65.0,14.0,157.0,1005.0
7,IL_CHICAGO,2020-08-28,32.0,82.0,100.0,17.0,0.0,46.0,179.0,46.0,50.0,15.0,70.0,21.0,264.0,1048.0
8,IL_CHICAGO,2020-09-04,13.0,94.0,96.0,16.0,0.0,47.0,182.0,33.0,58.0,7.0,61.0,20.0,214.0,948.0
9,IL_CHICAGO,2020-09-11,27.0,102.0,83.0,5.0,0.0,25.0,144.0,33.0,50.0,14.0,48.0,53.0,189.0,917.0
10,IL_CHICAGO,2020-09-18,47.0,94.0,98.0,9.0,0.0,27.0,124.0,46.0,60.0,0.0,52.0,44.0,220.0,969.0
11,IL_CHICAGO,2020-09-25,42.0,92.0,100.0,9.0,0.0,44.0,149.0,17.0,79.0,20.0,75.0,59.0,225.0,1051.0
12,IL_CHICAGO,2020-10-02,45.0,135.0,112.0,13.0,13.0,80.0,169.0,25.0,98.0,7.0,68.0,18.0,171.0,1107.0
13,IL_CHICAGO,2020-10-09,51.0,167.0,122.0,15.0,75.0,95.0,170.0,57.0,125.0,38.0,89.0,15.0,206.0,1437.0
14,IL_CHICAGO,2020-10-16,44.0,211.0,165.0,17.0,84.0,128.0,165.0,143.0,166.0,80.0,99.0,57.0,266.0,1954.0
15,IL_CHICAGO,2020-10-23,63.0,292.0,212.0,23.0,102.0,165.0,222.0,158.0,192.0,173.0,123.0,34.0,361.0,2679.0
16,IL_CHICAGO,2020-10-30,98.0,334.0,235.0,30.0,145.0,189.0,281.0,248.0,286.0,142.0,197.0,82.0,504.0,3679.0
17,IL_CHICAGO,2020-11-06,193.0,441.0,370.0,53.0,225.0,298.0,458.0,204.0,391.0,214.0,285.0,116.0,684.0,5180.0
18,IL_CHICAGO,2020-11-13,186.0,557.0,491.0,54.0,259.0,384.0,588.0,239.0,449.0,243.0,305.0,62.0,967.0,6231.0
19,IL_CHICAGO,2020-11-20,147.0,672.0,587.0,87.0,230.0,288.0,748.0,223.0,483.0,187.0,328.0,98.0,1056.0,6630.0
20,IL_CHICAGO,2020-11-27,246.0,588.0,661.0,77.0,275.0,389.0,803.0,246.0,490.0,294.0,363.0,0.0,935.0,7054.0
21,IL_CHICAGO,2020-12-04,213.0,504.0,490.0,78.0,422.0,444.0,715.0,253.0,466.0,346.0,295.0,98.0,857.0,6742.0
22,IL_CHICAGO,2020-12-11,165.0,476.0,511.0,113.0,456.0,422.0,637.0,260.0,420.0,400.0,237.0,145.0,846.0,6447.0
23,IL_CHICAGO,2020-12-18,190.0,427.0,459.0,73.0,452.0,467.0,584.0,212.0,327.0,336.0,250.0,168.0,842.0,6106.0
24,IL_CHICAGO,2020-12-25,134.0,423.0,503.0,74.0,437.0,385.0,454.0,199.0,348.0,246.0,318.0,129.0,710.0,5667.0
25,IL_CHICAGO,2021-01-01,120.0,376.0,438.0,108.0,404.0,333.0,417.0,192.0,301.0,200.0,247.0,133.0,700.0,5007.0
26,IL_CHICAGO,2021-01-08,86.0,342.0,303.0,90.0,320.0,310.0,469.0,127.0,346.0,212.0,187.0,250.0,648.0,4614.0
