,loc,datetime,140155,140186,total_cnts
0,IL_KANKAKEE,2020-07-10,6.0,13.0,19.0
1,IL_KANKAKEE,2020-07-17,14.0,57.0,71.0
2,IL_KANKAKEE,2020-07-24,9.0,51.0,60.0
3,IL_KANKAKEE,2020-07-31,10.0,35.0,45.0
4,IL_KANKAKEE,2020-08-07,13.0,46.0,59.0
5,IL_KANKAKEE,2020-08-14,11.0,29.0,40.0
6,IL_KANKAKEE,2020-08-21,23.0,33.0,56.0
7,IL_KANKAKEE,2020-08-28,21.0,38.0,59.0
8,IL_KANKAKEE,2020-09-04,17.0,62.0,79.0
9,IL_KANKAKEE,2020-09-11,26.0,44.0,70.0
10,IL_KANKAKEE,2020-09-18,20.0,40.0,60.0
11,IL_KANKAKEE,2020-09-25,25.0,33.0,58.0
12,IL_KANKAKEE,2020-10-02,23.0,39.0,62.0
13,IL_KANKAKEE,2020-10-09,21.0,103.0,124.0
14,IL_KANKAKEE,2020-10-16,42.0,135.0,177.0
15,IL_KANKAKEE,2020-10-23,68.0,124.0,192.0
16,IL_KANKAKEE,2020-10-30,65.0,159.0,224.0
17,IL_KANKAKEE,2020-11-06,97.0,242.0,339.0
18,IL_KANKAKEE,2020-11-13,183.0,376.0,559.0
19,IL_KANKAKEE,2020-11-20,167.0,433.0,600.0
20,IL_KANKAKEE,2020-11-27,168.0,346.0,514.0
21,IL_KANKAKEE,2020-12-04,179.0,262.0,441.0
22,IL_KANKAKEE,2020-12-11,113.0,225.0,338.0
23,IL_KANKAKEE,2020-12-18,117.0,121.0,238.0
24,IL_KANKAKEE,2020-12-25,70.0,87.0,157.0
25,IL_KANKAKEE,2021-01-01,49.0,104.0,153.0
26,IL_KANKAKEE,2021-01-08,47.0,130.0,177.0
27,IL_KANKAKEE,2021-01-15,49.0,92.0,141.0
28,IL_KANKAKEE,2021-01-22,14.0,58.0,72.0
29,IL_KANKAKEE,2021-01-29,13.0,47.0,60.0
30,IL_KANKAKEE,2021-02-05,13.0,80.0,93.0
31,IL_KANKAKEE,2021-02-12,11.0,84.0,95.0
32,IL_KANKAKEE,2021-02-19,15.0,50.0,65.0
33,IL_KANKAKEE,2021-02-26,15.0,30.0,45.0
133,IL_KANKAKEE,2021-03-05,0.0,14.0,14.0
34,IL_KANKAKEE,2021-03-12,4.0,43.0,47.0
134,IL_KANKAKEE,2021-03-19,0.0,27.0,27.0
35,IL_KANKAKEE,2021-03-26,22.0,84.0,106.0
36,IL_KANKAKEE,2021-04-02,36.0,122.0,158.0
37,IL_KANKAKEE,2021-04-09,22.0,96.0,118.0
38,IL_KANKAKEE,2021-04-16,32.0,116.0,148.0
39,IL_KANKAKEE,2021-04-23,48.0,88.0,136.0
40,IL_KANKAKEE,2021-04-30,46.0,77.0,123.0
41,IL_KANKAKEE,2021-05-07,35.0,101.0,136.0
42,IL_KANKAKEE,2021-05-14,34.0,80.0,114.0
43,IL_KANKAKEE,2021-05-21,27.0,109.0,136.0
44,IL_KANKAKEE,2021-05-28,20.0,90.0,110.0
45,IL_KANKAKEE,2021-06-04,31.0,48.0,79.0
46,IL_KANKAKEE,2021-06-11,24.0,34.0,58.0
47,IL_KANKAKEE,2021-06-18,4.0,43.0,47.0
48,IL_KANKAKEE,2021-06-25,15.0,29.0,44.0
49,IL_KANKAKEE,2021-07-02,5.0,19.0,24.0
50,IL_KANKAKEE,2021-07-09,5.0,20.0,25.0
51,IL_KANKAKEE,2021-07-16,8.0,41.0,49.0
135,IL_KANKAKEE,2021-07-23,0.0,33.0,33.0
52,IL_KANKAKEE,2021-07-30,21.0,70.0,91.0
53,IL_KANKAKEE,2021-08-06,11.0,78.0,89.0
