,loc,datetime,140049,140063,total_cnts
136,IL_OAK PARK,2020-07-10,0.0,10.0,10.0
0,IL_OAK PARK,2020-07-17,5.0,30.0,35.0
1,IL_OAK PARK,2020-07-24,14.0,30.0,44.0
2,IL_OAK PARK,2020-07-31,16.0,24.0,40.0
3,IL_OAK PARK,2020-08-07,18.0,23.0,41.0
4,IL_OAK PARK,2020-08-14,4.0,7.0,11.0
5,IL_OAK PARK,2020-08-21,7.0,9.0,16.0
6,IL_OAK PARK,2020-08-28,25.0,10.0,35.0
7,IL_OAK PARK,2020-09-04,18.0,9.0,27.0
8,IL_OAK PARK,2020-09-11,0.0,12.0,12.0
9,IL_OAK PARK,2020-09-18,15.0,16.0,31.0
10,IL_OAK PARK,2020-09-25,10.0,14.0,24.0
137,IL_OAK PARK,2020-10-02,0.0,12.0,12.0
11,IL_OAK PARK,2020-10-09,8.0,32.0,40.0
12,IL_OAK PARK,2020-10-16,8.0,40.0,48.0
13,IL_OAK PARK,2020-10-23,10.0,94.0,104.0
14,IL_OAK PARK,2020-10-30,35.0,93.0,128.0
15,IL_OAK PARK,2020-11-06,96.0,158.0,254.0
16,IL_OAK PARK,2020-11-13,184.0,233.0,417.0
17,IL_OAK PARK,2020-11-20,172.0,254.0,426.0
18,IL_OAK PARK,2020-11-27,220.0,216.0,436.0
19,IL_OAK PARK,2020-12-04,163.0,201.0,364.0
20,IL_OAK PARK,2020-12-11,140.0,203.0,343.0
21,IL_OAK PARK,2020-12-18,118.0,124.0,242.0
22,IL_OAK PARK,2020-12-25,107.0,125.0,232.0
23,IL_OAK PARK,2021-01-01,132.0,123.0,255.0
24,IL_OAK PARK,2021-01-08,142.0,109.0,251.0
25,IL_OAK PARK,2021-01-15,122.0,104.0,226.0
26,IL_OAK PARK,2021-01-22,94.0,80.0,174.0
27,IL_OAK PARK,2021-01-29,80.0,55.0,135.0
28,IL_OAK PARK,2021-02-05,62.0,46.0,108.0
29,IL_OAK PARK,2021-02-12,70.0,15.0,85.0
30,IL_OAK PARK,2021-02-19,85.0,14.0,99.0
31,IL_OAK PARK,2021-02-26,89.0,5.0,94.0
32,IL_OAK PARK,2021-03-05,67.0,29.0,96.0
33,IL_OAK PARK,2021-03-12,61.0,38.0,99.0
34,IL_OAK PARK,2021-03-19,60.0,43.0,103.0
35,IL_OAK PARK,2021-03-26,52.0,48.0,100.0
36,IL_OAK PARK,2021-04-02,82.0,82.0,164.0
37,IL_OAK PARK,2021-04-09,95.0,88.0,183.0
38,IL_OAK PARK,2021-04-16,96.0,87.0,183.0
39,IL_OAK PARK,2021-04-23,69.0,71.0,140.0
40,IL_OAK PARK,2021-04-30,62.0,52.0,114.0
41,IL_OAK PARK,2021-05-07,55.0,50.0,105.0
42,IL_OAK PARK,2021-05-14,54.0,21.0,75.0
43,IL_OAK PARK,2021-05-21,48.0,43.0,91.0
44,IL_OAK PARK,2021-05-28,16.0,36.0,52.0
45,IL_OAK PARK,2021-06-04,34.0,36.0,70.0
