,loc,datetime,140053,140148,total_cnts
138,IL_SPRINGFIELD,2020-07-10,0.0,4.0,4.0
0,IL_SPRINGFIELD,2020-07-17,9.0,41.0,50.0
1,IL_SPRINGFIELD,2020-07-24,38.0,72.0,110.0
2,IL_SPRINGFIELD,2020-07-31,89.0,92.0,181.0
3,IL_SPRINGFIELD,2020-08-07,126.0,73.0,199.0
4,IL_SPRINGFIELD,2020-08-14,111.0,70.0,181.0
5,IL_SPRINGFIELD,2020-08-21,138.0,136.0,274.0
6,IL_SPRINGFIELD,2020-08-28,122.0,162.0,284.0
7,IL_SPRINGFIELD,2020-09-04,185.0,123.0,308.0
8,IL_SPRINGFIELD,2020-09-11,149.0,127.0,276.0
9,IL_SPRINGFIELD,2020-09-18,117.0,126.0,243.0
10,IL_SPRINGFIELD,2020-09-25,140.0,145.0,285.0
11,IL_SPRINGFIELD,2020-10-02,159.0,168.0,327.0
12,IL_SPRINGFIELD,2020-10-09,205.0,206.0,411.0
13,IL_SPRINGFIELD,2020-10-16,276.0,219.0,495.0
14,IL_SPRINGFIELD,2020-10-23,242.0,254.0,496.0
15,IL_SPRINGFIELD,2020-10-30,258.0,335.0,593.0
16,IL_SPRINGFIELD,2020-11-06,265.0,466.0,731.0
17,IL_SPRINGFIELD,2020-11-13,147.0,585.0,732.0
18,IL_SPRINGFIELD,2020-11-20,513.0,734.0,1247.0
19,IL_SPRINGFIELD,2020-11-27,497.0,664.0,1161.0
20,IL_SPRINGFIELD,2020-12-04,393.0,548.0,941.0
21,IL_SPRINGFIELD,2020-12-11,364.0,469.0,833.0
22,IL_SPRINGFIELD,2020-12-18,241.0,425.0,666.0
23,IL_SPRINGFIELD,2020-12-25,267.0,475.0,742.0
24,IL_SPRINGFIELD,2021-01-01,256.0,400.0,656.0
25,IL_SPRINGFIELD,2021-01-08,229.0,334.0,563.0
26,IL_SPRINGFIELD,2021-01-15,240.0,301.0,541.0
27,IL_SPRINGFIELD,2021-01-22,246.0,293.0,539.0
28,IL_SPRINGFIELD,2021-01-29,173.0,231.0,404.0
29,IL_SPRINGFIELD,2021-02-05,106.0,184.0,290.0
30,IL_SPRINGFIELD,2021-02-12,96.0,128.0,224.0
31,IL_SPRINGFIELD,2021-02-19,97.0,137.0,234.0
32,IL_SPRINGFIELD,2021-02-26,91.0,63.0,154.0
33,IL_SPRINGFIELD,2021-03-05,51.0,84.0,135.0
34,IL_SPRINGFIELD,2021-03-12,47.0,94.0,141.0
35,IL_SPRINGFIELD,2021-03-19,63.0,107.0,170.0
36,IL_SPRINGFIELD,2021-03-26,62.0,124.0,186.0
37,IL_SPRINGFIELD,2021-04-02,52.0,144.0,196.0
38,IL_SPRINGFIELD,2021-04-09,86.0,140.0,226.0
39,IL_SPRINGFIELD,2021-04-16,95.0,126.0,221.0
40,IL_SPRINGFIELD,2021-04-23,91.0,123.0,214.0
41,IL_SPRINGFIELD,2021-04-30,113.0,129.0,242.0
42,IL_SPRINGFIELD,2021-05-07,116.0,87.0,203.0
43,IL_SPRINGFIELD,2021-05-14,91.0,120.0,211.0
44,IL_SPRINGFIELD,2021-05-21,59.0,130.0,189.0
45,IL_SPRINGFIELD,2021-05-28,78.0,90.0,168.0
46,IL_SPRINGFIELD,2021-06-04,66.0,50.0,116.0
47,IL_SPRINGFIELD,2021-06-11,36.0,26.0,62.0
48,IL_SPRINGFIELD,2021-06-18,26.0,20.0,46.0
49,IL_SPRINGFIELD,2021-06-25,25.0,30.0,55.0
50,IL_SPRINGFIELD,2021-07-02,26.0,49.0,75.0
51,IL_SPRINGFIELD,2021-07-09,14.0,58.0,72.0
52,IL_SPRINGFIELD,2021-07-16,27.0,53.0,80.0
53,IL_SPRINGFIELD,2021-07-23,45.0,82.0,127.0
54,IL_SPRINGFIELD,2021-07-30,88.0,151.0,239.0
55,IL_SPRINGFIELD,2021-08-06,148.0,239.0,387.0
56,IL_SPRINGFIELD,2021-08-13,204.0,270.0,474.0
57,IL_SPRINGFIELD,2021-08-20,250.0,288.0,538.0
58,IL_SPRINGFIELD,2021-08-27,252.0,243.0,495.0
59,IL_SPRINGFIELD,2021-09-03,193.0,266.0,459.0
60,IL_SPRINGFIELD,2021-09-10,212.0,223.0,435.0
61,IL_SPRINGFIELD,2021-09-17,206.0,246.0,452.0
62,IL_SPRINGFIELD,2021-09-24,163.0,240.0,403.0
63,IL_SPRINGFIELD,2021-10-01,104.0,205.0,309.0
64,IL_SPRINGFIELD,2021-10-08,91.0,168.0,259.0
65,IL_SPRINGFIELD,2021-10-15,123.0,97.0,220.0
66,IL_SPRINGFIELD,2021-10-22,118.0,87.0,205.0
67,IL_SPRINGFIELD,2021-10-29,89.0,91.0,180.0
68,IL_SPRINGFIELD,2021-11-05,98.0,89.0,187.0
69,IL_SPRINGFIELD,2021-11-12,74.0,113.0,187.0
70,IL_SPRINGFIELD,2021-11-19,89.0,109.0,198.0
71,IL_SPRINGFIELD,2021-11-26,116.0,180.0,296.0
72,IL_SPRINGFIELD,2021-12-03,141.0,257.0,398.0
73,IL_SPRINGFIELD,2021-12-10,188.0,339.0,527.0
74,IL_SPRINGFIELD,2021-12-17,247.0,378.0,625.0
75,IL_SPRINGFIELD,2021-12-24,283.0,467.0,750.0
76,IL_SPRINGFIELD,2021-12-31,286.0,590.0,876.0
77,IL_SPRINGFIELD,2022-01-07,410.0,633.0,1043.0
78,IL_SPRINGFIELD,2022-01-14,371.0,654.0,1025.0
79,IL_SPRINGFIELD,2022-01-21,350.0,664.0,1014.0
80,IL_SPRINGFIELD,2022-01-28,279.0,401.0,680.0
81,IL_SPRINGFIELD,2022-02-04,202.0,250.0,452.0
82,IL_SPRINGFIELD,2022-02-11,130.0,164.0,294.0
83,IL_SPRINGFIELD,2022-02-18,60.0,140.0,200.0
84,IL_SPRINGFIELD,2022-02-25,49.0,96.0,145.0
85,IL_SPRINGFIELD,2022-03-04,28.0,70.0,98.0
86,IL_SPRINGFIELD,2022-03-11,20.0,37.0,57.0
87,IL_SPRINGFIELD,2022-03-18,34.0,40.0,74.0
88,IL_SPRINGFIELD,2022-03-25,33.0,24.0,57.0
89,IL_SPRINGFIELD,2022-04-01,20.0,30.0,50.0
90,IL_SPRINGFIELD,2022-04-08,27.0,23.0,50.0
91,IL_SPRINGFIELD,2022-04-15,37.0,38.0,75.0
92,IL_SPRINGFIELD,2022-04-22,11.0,53.0,64.0
93,IL_SPRINGFIELD,2022-04-29,26.0,66.0,92.0
94,IL_SPRINGFIELD,2022-05-06,23.0,61.0,84.0
95,IL_SPRINGFIELD,2022-05-13,31.0,85.0,116.0
96,IL_SPRINGFIELD,2022-05-20,50.0,87.0,137.0
97,IL_SPRINGFIELD,2022-05-27,72.0,117.0,189.0
98,IL_SPRINGFIELD,2022-06-03,84.0,160.0,244.0
99,IL_SPRINGFIELD,2022-06-10,85.0,146.0,231.0
100,IL_SPRINGFIELD,2022-06-17,80.0,142.0,222.0
101,IL_SPRINGFIELD,2022-06-24,90.0,147.0,237.0
102,IL_SPRINGFIELD,2022-07-01,30.0,101.0,131.0
103,IL_SPRINGFIELD,2022-07-08,55.0,87.0,142.0
104,IL_SPRINGFIELD,2022-07-15,67.0,82.0,149.0
105,IL_SPRINGFIELD,2022-07-22,79.0,93.0,172.0
