,loc,datetime,150024,150056,150074,150084,150128,150162,150169,total_cnts
138,IN_INDIANAPOLIS,2020-07-10,0.0,0.0,5.0,19.0,0.0,0.0,224.0,248.0
0,IN_INDIANAPOLIS,2020-07-17,24.0,38.0,8.0,75.0,20.0,48.0,250.0,477.0
1,IN_INDIANAPOLIS,2020-07-24,121.0,139.0,21.0,10.0,39.0,137.0,23.0,497.0
2,IN_INDIANAPOLIS,2020-07-31,131.0,151.0,48.0,56.0,45.0,181.0,48.0,660.0
3,IN_INDIANAPOLIS,2020-08-07,104.0,145.0,74.0,123.0,41.0,161.0,50.0,698.0
4,IN_INDIANAPOLIS,2020-08-14,125.0,101.0,57.0,132.0,15.0,119.0,58.0,612.0
5,IN_INDIANAPOLIS,2020-08-21,93.0,125.0,69.0,114.0,0.0,82.0,50.0,537.0
6,IN_INDIANAPOLIS,2020-08-28,48.0,169.0,48.0,108.0,10.0,77.0,62.0,522.0
7,IN_INDIANAPOLIS,2020-09-04,14.0,167.0,19.0,105.0,16.0,100.0,33.0,454.0
8,IN_INDIANAPOLIS,2020-09-11,46.0,200.0,19.0,41.0,25.0,80.0,27.0,438.0
9,IN_INDIANAPOLIS,2020-09-18,43.0,200.0,34.0,38.0,22.0,109.0,38.0,484.0
10,IN_INDIANAPOLIS,2020-09-25,68.0,167.0,34.0,79.0,21.0,102.0,37.0,508.0
11,IN_INDIANAPOLIS,2020-10-02,95.0,176.0,39.0,101.0,34.0,69.0,64.0,583.0
12,IN_INDIANAPOLIS,2020-10-09,93.0,188.0,39.0,111.0,45.0,132.0,102.0,710.0
13,IN_INDIANAPOLIS,2020-10-16,130.0,199.0,73.0,130.0,37.0,152.0,90.0,811.0
14,IN_INDIANAPOLIS,2020-10-23,171.0,220.0,95.0,177.0,66.0,204.0,67.0,1000.0
15,IN_INDIANAPOLIS,2020-10-30,209.0,314.0,69.0,202.0,79.0,219.0,116.0,1208.0
16,IN_INDIANAPOLIS,2020-11-06,285.0,427.0,127.0,189.0,133.0,292.0,128.0,1581.0
17,IN_INDIANAPOLIS,2020-11-13,376.0,553.0,168.0,379.0,178.0,362.0,195.0,2211.0
18,IN_INDIANAPOLIS,2020-11-20,416.0,774.0,149.0,486.0,216.0,395.0,296.0,2732.0
19,IN_INDIANAPOLIS,2020-11-27,355.0,939.0,185.0,559.0,228.0,503.0,280.0,3063.0
20,IN_INDIANAPOLIS,2020-12-04,391.0,1118.0,213.0,608.0,249.0,630.0,287.0,3510.0
21,IN_INDIANAPOLIS,2020-12-11,381.0,1174.0,230.0,725.0,254.0,631.0,305.0,3713.0
22,IN_INDIANAPOLIS,2020-12-18,398.0,1307.0,181.0,693.0,176.0,595.0,368.0,3733.0
23,IN_INDIANAPOLIS,2020-12-25,416.0,1193.0,188.0,681.0,213.0,556.0,393.0,3660.0
24,IN_INDIANAPOLIS,2021-01-01,339.0,1253.0,229.0,634.0,199.0,569.0,324.0,3568.0
25,IN_INDIANAPOLIS,2021-01-08,266.0,1161.0,215.0,585.0,208.0,510.0,334.0,3315.0
26,IN_INDIANAPOLIS,2021-01-15,181.0,1063.0,203.0,558.0,162.0,377.0,235.0,2808.0
27,IN_INDIANAPOLIS,2021-01-22,185.0,874.0,167.0,428.0,127.0,335.0,222.0,2357.0
28,IN_INDIANAPOLIS,2021-01-29,134.0,720.0,139.0,323.0,70.0,283.0,181.0,1869.0
