,loc,datetime,150109,150173,total_cnts
0,IN_LAFAYETTE,2020-07-10,5.0,0.0,5.0
1,IN_LAFAYETTE,2020-07-17,27.0,11.0,38.0
2,IN_LAFAYETTE,2020-07-24,57.0,41.0,98.0
3,IN_LAFAYETTE,2020-07-31,29.0,54.0,83.0
4,IN_LAFAYETTE,2020-08-07,43.0,52.0,95.0
5,IN_LAFAYETTE,2020-08-14,46.0,59.0,105.0
6,IN_LAFAYETTE,2020-08-21,52.0,71.0,123.0
7,IN_LAFAYETTE,2020-08-28,60.0,51.0,111.0
8,IN_LAFAYETTE,2020-09-04,49.0,34.0,83.0
9,IN_LAFAYETTE,2020-09-11,35.0,44.0,79.0
10,IN_LAFAYETTE,2020-09-18,32.0,39.0,71.0
11,IN_LAFAYETTE,2020-09-25,44.0,47.0,91.0
12,IN_LAFAYETTE,2020-10-02,111.0,29.0,140.0
13,IN_LAFAYETTE,2020-10-09,105.0,38.0,143.0
14,IN_LAFAYETTE,2020-10-16,75.0,59.0,134.0
15,IN_LAFAYETTE,2020-10-23,144.0,95.0,239.0
16,IN_LAFAYETTE,2020-10-30,171.0,133.0,304.0
17,IN_LAFAYETTE,2020-11-06,172.0,248.0,420.0
18,IN_LAFAYETTE,2020-11-13,249.0,341.0,590.0
19,IN_LAFAYETTE,2020-11-20,299.0,357.0,656.0
20,IN_LAFAYETTE,2020-11-27,330.0,440.0,770.0
21,IN_LAFAYETTE,2020-12-04,338.0,420.0,758.0
22,IN_LAFAYETTE,2020-12-11,357.0,348.0,705.0
23,IN_LAFAYETTE,2020-12-18,389.0,342.0,731.0
24,IN_LAFAYETTE,2020-12-25,337.0,301.0,638.0
25,IN_LAFAYETTE,2021-01-01,299.0,337.0,636.0
26,IN_LAFAYETTE,2021-01-08,313.0,279.0,592.0
27,IN_LAFAYETTE,2021-01-15,257.0,279.0,536.0
28,IN_LAFAYETTE,2021-01-22,201.0,278.0,479.0
29,IN_LAFAYETTE,2021-01-29,140.0,234.0,374.0
30,IN_LAFAYETTE,2021-02-05,86.0,110.0,196.0
31,IN_LAFAYETTE,2021-02-12,82.0,117.0,199.0
32,IN_LAFAYETTE,2021-02-19,72.0,83.0,155.0
33,IN_LAFAYETTE,2021-02-26,47.0,43.0,90.0
34,IN_LAFAYETTE,2021-03-05,31.0,54.0,85.0
35,IN_LAFAYETTE,2021-03-12,42.0,60.0,102.0
36,IN_LAFAYETTE,2021-03-19,22.0,54.0,76.0
37,IN_LAFAYETTE,2021-03-26,32.0,77.0,109.0
38,IN_LAFAYETTE,2021-04-02,42.0,51.0,93.0
39,IN_LAFAYETTE,2021-04-09,48.0,103.0,151.0
40,IN_LAFAYETTE,2021-04-16,22.0,115.0,137.0
41,IN_LAFAYETTE,2021-04-23,21.0,59.0,80.0
42,IN_LAFAYETTE,2021-04-30,48.0,62.0,110.0
43,IN_LAFAYETTE,2021-05-07,52.0,70.0,122.0
44,IN_LAFAYETTE,2021-05-14,41.0,64.0,105.0
45,IN_LAFAYETTE,2021-05-21,27.0,49.0,76.0
46,IN_LAFAYETTE,2021-05-28,45.0,54.0,99.0
47,IN_LAFAYETTE,2021-06-04,78.0,65.0,143.0
48,IN_LAFAYETTE,2021-06-11,60.0,64.0,124.0
49,IN_LAFAYETTE,2021-06-18,42.0,90.0,132.0
50,IN_LAFAYETTE,2021-06-25,63.0,75.0,138.0
51,IN_LAFAYETTE,2021-07-02,60.0,86.0,146.0
52,IN_LAFAYETTE,2021-07-09,48.0,65.0,113.0
53,IN_LAFAYETTE,2021-07-16,36.0,73.0,109.0
54,IN_LAFAYETTE,2021-07-23,98.0,120.0,218.0
55,IN_LAFAYETTE,2021-07-30,107.0,142.0,249.0
56,IN_LAFAYETTE,2021-08-06,156.0,128.0,284.0
57,IN_LAFAYETTE,2021-08-13,180.0,149.0,329.0
58,IN_LAFAYETTE,2021-08-20,160.0,175.0,335.0
59,IN_LAFAYETTE,2021-08-27,206.0,189.0,395.0
60,IN_LAFAYETTE,2021-09-03,198.0,198.0,396.0
61,IN_LAFAYETTE,2021-09-10,201.0,216.0,417.0
62,IN_LAFAYETTE,2021-09-17,161.0,219.0,380.0
63,IN_LAFAYETTE,2021-09-24,146.0,184.0,330.0
64,IN_LAFAYETTE,2021-10-01,135.0,155.0,290.0
65,IN_LAFAYETTE,2021-10-08,148.0,147.0,295.0
66,IN_LAFAYETTE,2021-10-15,145.0,171.0,316.0
67,IN_LAFAYETTE,2021-10-22,120.0,223.0,343.0
68,IN_LAFAYETTE,2021-10-29,99.0,179.0,278.0
69,IN_LAFAYETTE,2021-11-05,71.0,157.0,228.0
70,IN_LAFAYETTE,2021-11-12,124.0,148.0,272.0
71,IN_LAFAYETTE,2021-11-19,127.0,227.0,354.0
72,IN_LAFAYETTE,2021-11-26,229.0,292.0,521.0
73,IN_LAFAYETTE,2021-12-03,292.0,318.0,610.0
74,IN_LAFAYETTE,2021-12-10,296.0,385.0,681.0
75,IN_LAFAYETTE,2021-12-17,310.0,416.0,726.0
76,IN_LAFAYETTE,2021-12-24,323.0,424.0,747.0
77,IN_LAFAYETTE,2021-12-31,355.0,417.0,772.0
78,IN_LAFAYETTE,2022-01-07,348.0,522.0,870.0
79,IN_LAFAYETTE,2022-01-14,282.0,457.0,739.0
80,IN_LAFAYETTE,2022-01-21,261.0,363.0,624.0
81,IN_LAFAYETTE,2022-01-28,225.0,313.0,538.0
82,IN_LAFAYETTE,2022-02-04,185.0,327.0,512.0
83,IN_LAFAYETTE,2022-02-11,148.0,231.0,379.0
84,IN_LAFAYETTE,2022-02-18,72.0,185.0,257.0
85,IN_LAFAYETTE,2022-02-25,45.0,146.0,191.0
86,IN_LAFAYETTE,2022-03-04,23.0,92.0,115.0
87,IN_LAFAYETTE,2022-03-11,19.0,79.0,98.0
88,IN_LAFAYETTE,2022-03-18,16.0,60.0,76.0
89,IN_LAFAYETTE,2022-03-25,5.0,44.0,49.0
138,IN_LAFAYETTE,2022-04-01,0.0,12.0,12.0
90,IN_LAFAYETTE,2022-04-08,7.0,18.0,25.0
91,IN_LAFAYETTE,2022-04-15,14.0,35.0,49.0
92,IN_LAFAYETTE,2022-04-22,14.0,52.0,66.0
93,IN_LAFAYETTE,2022-04-29,10.0,49.0,59.0
