,loc,datetime,180010,180067,180103,180143,total_cnts
0,KY_LEXINGTON,2020-07-17,5.0,0.0,0.0,4.0,9.0
1,KY_LEXINGTON,2020-07-24,74.0,124.0,0.0,25.0,223.0
2,KY_LEXINGTON,2020-07-31,70.0,162.0,36.0,48.0,316.0
3,KY_LEXINGTON,2020-08-07,100.0,158.0,116.0,39.0,413.0
4,KY_LEXINGTON,2020-08-14,87.0,193.0,99.0,33.0,412.0
5,KY_LEXINGTON,2020-08-21,65.0,182.0,112.0,48.0,407.0
6,KY_LEXINGTON,2020-08-28,74.0,200.0,141.0,52.0,467.0
7,KY_LEXINGTON,2020-09-04,68.0,223.0,89.0,57.0,437.0
8,KY_LEXINGTON,2020-09-11,79.0,194.0,61.0,41.0,375.0
9,KY_LEXINGTON,2020-09-18,59.0,221.0,89.0,27.0,396.0
10,KY_LEXINGTON,2020-09-25,55.0,215.0,82.0,34.0,386.0
11,KY_LEXINGTON,2020-10-02,81.0,218.0,126.0,25.0,450.0
12,KY_LEXINGTON,2020-10-09,115.0,199.0,103.0,35.0,452.0
13,KY_LEXINGTON,2020-10-16,105.0,257.0,100.0,42.0,504.0
14,KY_LEXINGTON,2020-10-23,127.0,314.0,139.0,59.0,639.0
15,KY_LEXINGTON,2020-10-30,146.0,326.0,168.0,59.0,699.0
16,KY_LEXINGTON,2020-11-06,168.0,356.0,299.0,79.0,902.0
17,KY_LEXINGTON,2020-11-13,148.0,433.0,358.0,92.0,1039.0
18,KY_LEXINGTON,2020-11-20,213.0,510.0,357.0,119.0,1224.0
19,KY_LEXINGTON,2020-11-27,244.0,607.0,414.0,130.0,1415.0
20,KY_LEXINGTON,2020-12-04,262.0,595.0,469.0,127.0,1470.0
21,KY_LEXINGTON,2020-12-11,340.0,543.0,432.0,109.0,1438.0
22,KY_LEXINGTON,2020-12-18,283.0,498.0,392.0,94.0,1278.0
23,KY_LEXINGTON,2020-12-25,243.0,496.0,352.0,118.0,1209.0
24,KY_LEXINGTON,2021-01-01,306.0,550.0,391.0,152.0,1399.0
25,KY_LEXINGTON,2021-01-08,281.0,497.0,377.0,119.0,1274.0
