,loc,datetime,180102,180104,total_cnts
138,KY_PADUCAH,2020-07-10,0.0,0.0,0.0
0,KY_PADUCAH,2020-07-17,6.0,0.0,6.0
1,KY_PADUCAH,2020-07-24,40.0,0.0,40.0
2,KY_PADUCAH,2020-07-31,57.0,35.0,92.0
3,KY_PADUCAH,2020-08-07,53.0,44.0,97.0
4,KY_PADUCAH,2020-08-14,39.0,59.0,98.0
5,KY_PADUCAH,2020-08-21,43.0,55.0,98.0
6,KY_PADUCAH,2020-08-28,43.0,26.0,69.0
7,KY_PADUCAH,2020-09-04,32.0,36.0,68.0
8,KY_PADUCAH,2020-09-11,17.0,69.0,86.0
9,KY_PADUCAH,2020-09-18,41.0,71.0,112.0
10,KY_PADUCAH,2020-09-25,53.0,97.0,150.0
11,KY_PADUCAH,2020-10-02,62.0,119.0,181.0
12,KY_PADUCAH,2020-10-09,55.0,89.0,156.0
13,KY_PADUCAH,2020-10-16,54.0,81.0,167.0
14,KY_PADUCAH,2020-10-23,70.0,137.0,244.0
15,KY_PADUCAH,2020-10-30,115.0,154.0,319.0
16,KY_PADUCAH,2020-11-06,193.0,153.0,394.0
17,KY_PADUCAH,2020-11-13,240.0,252.0,537.0
18,KY_PADUCAH,2020-11-20,278.0,291.0,617.0
19,KY_PADUCAH,2020-11-27,277.0,222.0,548.0
20,KY_PADUCAH,2020-12-04,266.0,205.0,517.0
21,KY_PADUCAH,2020-12-11,221.0,209.0,477.0
22,KY_PADUCAH,2020-12-18,207.0,219.0,464.0
23,KY_PADUCAH,2020-12-25,203.0,168.0,410.0
24,KY_PADUCAH,2021-01-01,224.0,158.0,438.0
25,KY_PADUCAH,2021-01-08,198.0,148.0,402.0
26,KY_PADUCAH,2021-01-15,159.0,158.0,370.0
27,KY_PADUCAH,2021-01-22,158.0,224.0,414.0
28,KY_PADUCAH,2021-01-29,120.0,149.0,291.0
29,KY_PADUCAH,2021-02-05,129.0,130.0,296.0
30,KY_PADUCAH,2021-02-12,112.0,113.0,274.0
31,KY_PADUCAH,2021-02-19,96.0,84.0,212.0
32,KY_PADUCAH,2021-02-26,84.0,84.0,184.0
33,KY_PADUCAH,2021-03-05,47.0,75.0,159.0
