,loc,datetime,220031,220071,220086,220110,220116,220119,total_cnts
0,MA_BOSTON,2020-07-10,21.0,37.0,93.0,38.0,16.0,7.0,220.0
1,MA_BOSTON,2020-07-17,50.0,102.0,174.0,31.0,19.0,23.0,425.0
2,MA_BOSTON,2020-07-24,19.0,73.0,166.0,54.0,20.0,18.0,363.0
3,MA_BOSTON,2020-07-31,43.0,78.0,146.0,50.0,6.0,25.0,367.0
4,MA_BOSTON,2020-08-07,62.0,90.0,97.0,47.0,15.0,27.0,367.0
5,MA_BOSTON,2020-08-14,87.0,56.0,55.0,82.0,14.0,43.0,361.0
6,MA_BOSTON,2020-08-21,32.0,62.0,60.0,58.0,0.0,19.0,248.0
7,MA_BOSTON,2020-08-28,53.0,101.0,50.0,68.0,13.0,19.0,324.0
8,MA_BOSTON,2020-09-04,41.0,126.0,63.0,56.0,7.0,28.0,335.0
9,MA_BOSTON,2020-09-11,51.0,104.0,65.0,42.0,0.0,19.0,290.0
10,MA_BOSTON,2020-09-18,28.0,65.0,65.0,65.0,10.0,47.0,301.0
11,MA_BOSTON,2020-09-25,29.0,129.0,76.0,69.0,18.0,46.0,414.0
12,MA_BOSTON,2020-10-02,45.0,175.0,79.0,91.0,27.0,83.0,545.0
13,MA_BOSTON,2020-10-09,88.0,184.0,76.0,97.0,21.0,96.0,606.0
14,MA_BOSTON,2020-10-16,139.0,157.0,103.0,88.0,24.0,81.0,627.0
15,MA_BOSTON,2020-10-23,107.0,126.0,82.0,67.0,49.0,82.0,540.0
16,MA_BOSTON,2020-10-30,91.0,179.0,89.0,109.0,57.0,66.0,645.0
17,MA_BOSTON,2020-11-06,167.0,196.0,107.0,107.0,34.0,95.0,744.0
18,MA_BOSTON,2020-11-13,195.0,248.0,163.0,107.0,39.0,81.0,899.0
19,MA_BOSTON,2020-11-20,225.0,354.0,151.0,114.0,59.0,103.0,1071.0
20,MA_BOSTON,2020-11-27,265.0,412.0,246.0,194.0,112.0,118.0,1447.0
21,MA_BOSTON,2020-12-04,291.0,430.0,261.0,312.0,114.0,136.0,1668.0
22,MA_BOSTON,2020-12-11,349.0,523.0,256.0,400.0,110.0,144.0,1911.0
23,MA_BOSTON,2020-12-18,414.0,522.0,408.0,461.0,109.0,171.0,2246.0
24,MA_BOSTON,2020-12-25,426.0,604.0,474.0,522.0,138.0,223.0,2589.0
25,MA_BOSTON,2021-01-01,468.0,635.0,484.0,499.0,183.0,189.0,2677.0
26,MA_BOSTON,2021-01-08,410.0,580.0,443.0,442.0,225.0,176.0,2523.0
27,MA_BOSTON,2021-01-15,348.0,621.0,382.0,355.0,232.0,218.0,2454.0
28,MA_BOSTON,2021-01-22,311.0,578.0,368.0,371.0,167.0,183.0,2289.0
29,MA_BOSTON,2021-01-29,286.0,543.0,227.0,289.0,134.0,152.0,1782.0
30,MA_BOSTON,2021-02-05,287.0,400.0,169.0,269.0,114.0,140.0,1593.0
31,MA_BOSTON,2021-02-12,201.0,301.0,184.0,214.0,98.0,80.0,1267.0
32,MA_BOSTON,2021-02-19,166.0,250.0,188.0,158.0,63.0,79.0,1081.0
33,MA_BOSTON,2021-02-26,152.0,219.0,135.0,108.0,50.0,73.0,829.0
34,MA_BOSTON,2021-03-05,123.0,191.0,127.0,125.0,94.0,65.0,743.0
35,MA_BOSTON,2021-03-12,145.0,167.0,92.0,103.0,102.0,103.0,727.0
36,MA_BOSTON,2021-03-19,122.0,147.0,123.0,88.0,88.0,77.0,657.0
37,MA_BOSTON,2021-03-26,134.0,201.0,154.0,98.0,66.0,50.0,708.0
38,MA_BOSTON,2021-04-02,176.0,256.0,138.0,105.0,88.0,76.0,856.0
39,MA_BOSTON,2021-04-09,147.0,204.0,136.0,164.0,66.0,80.0,827.0
40,MA_BOSTON,2021-04-16,115.0,225.0,146.0,162.0,63.0,45.0,780.0
41,MA_BOSTON,2021-04-23,118.0,152.0,94.0,126.0,81.0,69.0,656.0
42,MA_BOSTON,2021-04-30,86.0,121.0,48.0,83.0,54.0,55.0,470.0
43,MA_BOSTON,2021-05-07,90.0,97.0,71.0,41.0,52.0,37.0,405.0
44,MA_BOSTON,2021-05-14,53.0,79.0,49.0,39.0,33.0,30.0,304.0
45,MA_BOSTON,2021-05-21,31.0,35.0,41.0,27.0,51.0,13.0,209.0
46,MA_BOSTON,2021-05-28,45.0,44.0,16.0,21.0,58.0,15.0,204.0
47,MA_BOSTON,2021-06-04,35.0,36.0,12.0,12.0,36.0,30.0,161.0
48,MA_BOSTON,2021-06-11,8.0,25.0,14.0,9.0,14.0,20.0,90.0
49,MA_BOSTON,2021-06-18,14.0,16.0,9.0,10.0,0.0,6.0,55.0
123,MA_BOSTON,2021-06-25,27.0,34.0,13.0,10.0,0.0,0.0,84.0
50,MA_BOSTON,2021-07-02,24.0,13.0,24.0,4.0,5.0,7.0,77.0
51,MA_BOSTON,2021-07-09,42.0,6.0,11.0,11.0,17.0,6.0,93.0
52,MA_BOSTON,2021-07-16,29.0,27.0,20.0,17.0,32.0,5.0,130.0
53,MA_BOSTON,2021-07-23,26.0,52.0,31.0,22.0,16.0,17.0,164.0
124,MA_BOSTON,2021-07-30,31.0,71.0,49.0,31.0,28.0,19.0,229.0
54,MA_BOSTON,2021-08-06,58.0,114.0,43.0,43.0,25.0,13.0,304.0
55,MA_BOSTON,2021-08-13,55.0,129.0,60.0,65.0,34.0,39.0,397.0
56,MA_BOSTON,2021-08-20,58.0,177.0,76.0,82.0,27.0,72.0,529.0
57,MA_BOSTON,2021-08-27,89.0,105.0,94.0,108.0,33.0,50.0,525.0
58,MA_BOSTON,2021-09-03,98.0,77.0,79.0,108.0,38.0,36.0,459.0
59,MA_BOSTON,2021-09-10,107.0,119.0,97.0,81.0,38.0,44.0,505.0
125,MA_BOSTON,2021-09-17,83.0,155.0,67.0,80.0,53.0,39.0,491.0
60,MA_BOSTON,2021-09-24,85.0,154.0,74.0,55.0,55.0,25.0,457.0
61,MA_BOSTON,2021-10-01,74.0,124.0,61.0,70.0,42.0,45.0,423.0
126,MA_BOSTON,2021-10-08,36.0,130.0,89.0,30.0,54.0,55.0,394.0
62,MA_BOSTON,2021-10-15,57.0,138.0,89.0,64.0,37.0,44.0,435.0
63,MA_BOSTON,2021-10-22,75.0,121.0,53.0,68.0,53.0,22.0,392.0
127,MA_BOSTON,2021-10-29,62.0,119.0,70.0,51.0,50.0,26.0,378.0
64,MA_BOSTON,2021-11-05,38.0,99.0,54.0,45.0,52.0,31.0,329.0
65,MA_BOSTON,2021-11-12,81.0,100.0,56.0,68.0,72.0,42.0,442.0
66,MA_BOSTON,2021-11-19,89.0,143.0,102.0,55.0,50.0,42.0,492.0
67,MA_BOSTON,2021-11-26,115.0,183.0,64.0,64.0,70.0,32.0,550.0
68,MA_BOSTON,2021-12-03,112.0,230.0,136.0,126.0,105.0,44.0,809.0
69,MA_BOSTON,2021-12-10,158.0,299.0,161.0,209.0,120.0,82.0,1063.0
70,MA_BOSTON,2021-12-17,189.0,376.0,222.0,209.0,153.0,101.0,1276.0
71,MA_BOSTON,2021-12-24,236.0,449.0,277.0,248.0,163.0,160.0,1590.0
72,MA_BOSTON,2021-12-31,411.0,775.0,511.0,460.0,237.0,202.0,2708.0
73,MA_BOSTON,2022-01-07,630.0,996.0,832.0,718.0,316.0,251.0,3881.0
74,MA_BOSTON,2022-01-14,768.0,1048.0,816.0,763.0,325.0,286.0,4212.0
75,MA_BOSTON,2022-01-21,489.0,869.0,750.0,579.0,316.0,228.0,3337.0
76,MA_BOSTON,2022-01-28,268.0,530.0,477.0,395.0,248.0,148.0,2161.0
77,MA_BOSTON,2022-02-04,182.0,429.0,365.0,285.0,150.0,121.0,1571.0
78,MA_BOSTON,2022-02-11,87.0,251.0,202.0,199.0,145.0,57.0,954.0
128,MA_BOSTON,2022-02-18,83.0,176.0,134.0,131.0,110.0,39.0,677.0
79,MA_BOSTON,2022-02-25,39.0,93.0,94.0,121.0,72.0,48.0,478.0
80,MA_BOSTON,2022-03-04,50.0,75.0,84.0,61.0,66.0,43.0,400.0
81,MA_BOSTON,2022-03-11,34.0,71.0,53.0,44.0,50.0,41.0,299.0
82,MA_BOSTON,2022-03-18,45.0,79.0,43.0,45.0,45.0,21.0,278.0
83,MA_BOSTON,2022-03-25,26.0,103.0,71.0,68.0,45.0,10.0,323.0
84,MA_BOSTON,2022-04-01,43.0,111.0,80.0,72.0,38.0,13.0,361.0
85,MA_BOSTON,2022-04-08,68.0,88.0,97.0,85.0,54.0,23.0,423.0
129,MA_BOSTON,2022-04-15,74.0,97.0,122.0,120.0,47.0,22.0,486.0
86,MA_BOSTON,2022-04-22,110.0,107.0,173.0,126.0,50.0,51.0,629.0
87,MA_BOSTON,2022-04-29,116.0,247.0,151.0,126.0,40.0,68.0,772.0
88,MA_BOSTON,2022-05-06,109.0,394.0,206.0,180.0,59.0,114.0,1132.0
130,MA_BOSTON,2022-05-13,133.0,403.0,219.0,237.0,60.0,75.0,1258.0
89,MA_BOSTON,2022-05-20,163.0,361.0,301.0,244.0,80.0,75.0,1343.0
90,MA_BOSTON,2022-05-27,119.0,262.0,237.0,203.0,49.0,50.0,985.0
91,MA_BOSTON,2022-06-03,64.0,193.0,210.0,190.0,42.0,39.0,766.0
92,MA_BOSTON,2022-06-10,64.0,207.0,168.0,194.0,51.0,16.0,758.0
93,MA_BOSTON,2022-06-17,74.0,178.0,169.0,165.0,50.0,33.0,704.0
131,MA_BOSTON,2022-06-24,72.0,178.0,151.0,187.0,84.0,31.0,722.0
132,MA_BOSTON,2022-07-01,91.0,177.0,149.0,209.0,85.0,24.0,755.0
94,MA_BOSTON,2022-07-08,129.0,197.0,154.0,182.0,72.0,46.0,791.0
95,MA_BOSTON,2022-07-15,104.0,213.0,176.0,165.0,69.0,52.0,801.0
96,MA_BOSTON,2022-07-22,100.0,181.0,199.0,173.0,46.0,19.0,729.0
97,MA_BOSTON,2022-07-29,60.0,182.0,155.0,192.0,54.0,35.0,692.0
98,MA_BOSTON,2022-08-05,98.0,153.0,168.0,190.0,70.0,27.0,730.0
133,MA_BOSTON,2022-08-12,99.0,193.0,137.0,147.0,73.0,40.0,710.0
134,MA_BOSTON,2022-08-19,103.0,178.0,136.0,149.0,55.0,69.0,698.0
99,MA_BOSTON,2022-08-26,121.0,153.0,139.0,166.0,79.0,52.0,716.0
135,MA_BOSTON,2022-09-02,84.0,201.0,133.0,145.0,94.0,32.0,707.0
100,MA_BOSTON,2022-09-09,90.0,209.0,103.0,126.0,80.0,34.0,646.0
101,MA_BOSTON,2022-09-16,115.0,199.0,92.0,155.0,79.0,29.0,714.0
102,MA_BOSTON,2022-09-23,130.0,206.0,193.0,123.0,50.0,56.0,863.0
103,MA_BOSTON,2022-09-30,76.0,194.0,202.0,171.0,73.0,50.0,820.0
104,MA_BOSTON,2022-10-07,56.0,215.0,274.0,203.0,60.0,38.0,864.0
105,MA_BOSTON,2022-10-14,72.0,259.0,278.0,211.0,104.0,41.0,979.0
