,loc,datetime,340017,340023,total_cnts
0,NC_HENDERSONVILLE,2020-07-10,7.0,0.0,7.0
1,NC_HENDERSONVILLE,2020-07-17,18.0,4.0,22.0
2,NC_HENDERSONVILLE,2020-07-24,13.0,30.0,43.0
3,NC_HENDERSONVILLE,2020-07-31,26.0,23.0,49.0
4,NC_HENDERSONVILLE,2020-08-07,26.0,13.0,39.0
5,NC_HENDERSONVILLE,2020-08-14,38.0,8.0,46.0
6,NC_HENDERSONVILLE,2020-08-21,35.0,23.0,58.0
7,NC_HENDERSONVILLE,2020-08-28,24.0,28.0,52.0
8,NC_HENDERSONVILLE,2020-09-04,28.0,8.0,36.0
9,NC_HENDERSONVILLE,2020-09-11,31.0,11.0,42.0
10,NC_HENDERSONVILLE,2020-09-18,37.0,17.0,54.0
11,NC_HENDERSONVILLE,2020-09-25,57.0,18.0,75.0
12,NC_HENDERSONVILLE,2020-10-02,20.0,30.0,50.0
13,NC_HENDERSONVILLE,2020-10-09,26.0,33.0,59.0
14,NC_HENDERSONVILLE,2020-10-16,20.0,26.0,46.0
15,NC_HENDERSONVILLE,2020-10-23,15.0,49.0,64.0
16,NC_HENDERSONVILLE,2020-10-30,30.0,32.0,62.0
17,NC_HENDERSONVILLE,2020-11-06,35.0,25.0,60.0
18,NC_HENDERSONVILLE,2020-11-13,42.0,19.0,61.0
19,NC_HENDERSONVILLE,2020-11-20,44.0,5.0,49.0
20,NC_HENDERSONVILLE,2020-11-27,38.0,19.0,57.0
21,NC_HENDERSONVILLE,2020-12-04,65.0,33.0,98.0
22,NC_HENDERSONVILLE,2020-12-11,96.0,28.0,124.0
23,NC_HENDERSONVILLE,2020-12-18,197.0,69.0,266.0
24,NC_HENDERSONVILLE,2020-12-25,219.0,78.0,297.0
25,NC_HENDERSONVILLE,2021-01-01,209.0,100.0,309.0
26,NC_HENDERSONVILLE,2021-01-08,184.0,113.0,297.0
27,NC_HENDERSONVILLE,2021-01-15,178.0,66.0,244.0
28,NC_HENDERSONVILLE,2021-01-22,145.0,87.0,232.0
29,NC_HENDERSONVILLE,2021-01-29,110.0,60.0,170.0
30,NC_HENDERSONVILLE,2021-02-05,84.0,28.0,112.0
31,NC_HENDERSONVILLE,2021-02-12,58.0,30.0,88.0
32,NC_HENDERSONVILLE,2021-02-19,42.0,21.0,63.0
33,NC_HENDERSONVILLE,2021-02-26,40.0,33.0,73.0
34,NC_HENDERSONVILLE,2021-03-05,39.0,34.0,73.0
35,NC_HENDERSONVILLE,2021-03-12,19.0,20.0,39.0
36,NC_HENDERSONVILLE,2021-03-19,15.0,13.0,28.0
37,NC_HENDERSONVILLE,2021-03-26,38.0,19.0,57.0
38,NC_HENDERSONVILLE,2021-04-02,41.0,17.0,58.0
39,NC_HENDERSONVILLE,2021-04-09,52.0,22.0,74.0
40,NC_HENDERSONVILLE,2021-04-16,69.0,13.0,82.0
41,NC_HENDERSONVILLE,2021-04-23,47.0,11.0,58.0
42,NC_HENDERSONVILLE,2021-04-30,40.0,9.0,49.0
43,NC_HENDERSONVILLE,2021-05-07,16.0,14.0,30.0
44,NC_HENDERSONVILLE,2021-05-14,13.0,24.0,37.0
45,NC_HENDERSONVILLE,2021-05-21,15.0,16.0,31.0
46,NC_HENDERSONVILLE,2021-05-28,9.0,13.0,22.0
47,NC_HENDERSONVILLE,2021-06-04,12.0,6.0,18.0
48,NC_HENDERSONVILLE,2021-06-11,8.0,11.0,19.0
49,NC_HENDERSONVILLE,2021-06-18,0.0,8.0,8.0
50,NC_HENDERSONVILLE,2021-06-25,5.0,7.0,12.0
51,NC_HENDERSONVILLE,2021-07-02,12.0,8.0,20.0
52,NC_HENDERSONVILLE,2021-07-09,17.0,14.0,31.0
53,NC_HENDERSONVILLE,2021-07-16,24.0,34.0,58.0
54,NC_HENDERSONVILLE,2021-07-23,45.0,68.0,113.0
55,NC_HENDERSONVILLE,2021-07-30,44.0,85.0,129.0
56,NC_HENDERSONVILLE,2021-08-06,68.0,76.0,144.0
57,NC_HENDERSONVILLE,2021-08-13,117.0,108.0,225.0
58,NC_HENDERSONVILLE,2021-08-20,168.0,135.0,303.0
59,NC_HENDERSONVILLE,2021-08-27,195.0,143.0,338.0
60,NC_HENDERSONVILLE,2021-09-03,169.0,141.0,310.0
61,NC_HENDERSONVILLE,2021-09-10,177.0,126.0,303.0
62,NC_HENDERSONVILLE,2021-09-17,165.0,157.0,322.0
63,NC_HENDERSONVILLE,2021-09-24,159.0,112.0,271.0
64,NC_HENDERSONVILLE,2021-10-01,151.0,103.0,254.0
65,NC_HENDERSONVILLE,2021-10-08,104.0,107.0,211.0
66,NC_HENDERSONVILLE,2021-10-15,82.0,79.0,161.0
67,NC_HENDERSONVILLE,2021-10-22,49.0,68.0,117.0
68,NC_HENDERSONVILLE,2021-10-29,76.0,89.0,165.0
69,NC_HENDERSONVILLE,2021-11-05,76.0,87.0,163.0
70,NC_HENDERSONVILLE,2021-11-12,61.0,55.0,116.0
71,NC_HENDERSONVILLE,2021-11-19,43.0,62.0,105.0
72,NC_HENDERSONVILLE,2021-11-26,76.0,62.0,138.0
