,loc,datetime,340014,340047,total_cnts
0,NC_WINSTON-SALEM,2020-07-10,63.0,58.0,121.0
1,NC_WINSTON-SALEM,2020-07-17,444.0,213.0,657.0
2,NC_WINSTON-SALEM,2020-07-24,71.0,189.0,260.0
3,NC_WINSTON-SALEM,2020-07-31,0.0,175.0,175.0
4,NC_WINSTON-SALEM,2020-08-07,0.0,183.0,183.0
5,NC_WINSTON-SALEM,2020-08-14,224.0,128.0,352.0
6,NC_WINSTON-SALEM,2020-08-21,434.0,133.0,567.0
7,NC_WINSTON-SALEM,2020-08-28,225.0,61.0,286.0
8,NC_WINSTON-SALEM,2020-09-04,261.0,116.0,377.0
9,NC_WINSTON-SALEM,2020-09-11,339.0,98.0,437.0
10,NC_WINSTON-SALEM,2020-09-18,306.0,131.0,437.0
11,NC_WINSTON-SALEM,2020-09-25,321.0,103.0,424.0
12,NC_WINSTON-SALEM,2020-10-02,372.0,192.0,564.0
13,NC_WINSTON-SALEM,2020-10-09,323.0,91.0,414.0
14,NC_WINSTON-SALEM,2020-10-16,384.0,190.0,574.0
15,NC_WINSTON-SALEM,2020-10-23,463.0,265.0,728.0
16,NC_WINSTON-SALEM,2020-10-30,526.0,229.0,755.0
17,NC_WINSTON-SALEM,2020-11-06,572.0,197.0,769.0
18,NC_WINSTON-SALEM,2020-11-13,571.0,263.0,834.0
19,NC_WINSTON-SALEM,2020-11-20,634.0,307.0,941.0
20,NC_WINSTON-SALEM,2020-11-27,780.0,328.0,1108.0
21,NC_WINSTON-SALEM,2020-12-04,944.0,368.0,1312.0
22,NC_WINSTON-SALEM,2020-12-11,1276.0,398.0,1674.0
23,NC_WINSTON-SALEM,2020-12-18,1336.0,488.0,1824.0
24,NC_WINSTON-SALEM,2020-12-25,1338.0,567.0,1905.0
25,NC_WINSTON-SALEM,2021-01-01,1335.0,564.0,1899.0
26,NC_WINSTON-SALEM,2021-01-08,1454.0,565.0,2019.0
27,NC_WINSTON-SALEM,2021-01-15,1508.0,598.0,2106.0
28,NC_WINSTON-SALEM,2021-01-22,1304.0,543.0,1847.0
29,NC_WINSTON-SALEM,2021-01-29,989.0,413.0,1402.0
30,NC_WINSTON-SALEM,2021-02-05,698.0,329.0,1027.0
31,NC_WINSTON-SALEM,2021-02-12,573.0,258.0,831.0
32,NC_WINSTON-SALEM,2021-02-19,392.0,203.0,595.0
33,NC_WINSTON-SALEM,2021-02-26,352.0,127.0,479.0
34,NC_WINSTON-SALEM,2021-03-05,301.0,102.0,403.0
35,NC_WINSTON-SALEM,2021-03-12,309.0,82.0,391.0
36,NC_WINSTON-SALEM,2021-03-19,249.0,122.0,371.0
37,NC_WINSTON-SALEM,2021-03-26,209.0,125.0,334.0
38,NC_WINSTON-SALEM,2021-04-02,198.0,55.0,253.0
39,NC_WINSTON-SALEM,2021-04-09,233.0,102.0,335.0
40,NC_WINSTON-SALEM,2021-04-16,330.0,105.0,435.0
41,NC_WINSTON-SALEM,2021-04-23,294.0,152.0,446.0
42,NC_WINSTON-SALEM,2021-04-30,273.0,161.0,434.0
43,NC_WINSTON-SALEM,2021-05-07,265.0,116.0,381.0
44,NC_WINSTON-SALEM,2021-05-14,237.0,142.0,379.0
45,NC_WINSTON-SALEM,2021-05-21,278.0,80.0,358.0
46,NC_WINSTON-SALEM,2021-05-28,212.0,78.0,290.0
47,NC_WINSTON-SALEM,2021-06-04,203.0,66.0,269.0
48,NC_WINSTON-SALEM,2021-06-11,144.0,35.0,179.0
49,NC_WINSTON-SALEM,2021-06-18,98.0,42.0,140.0
50,NC_WINSTON-SALEM,2021-06-25,71.0,36.0,107.0
51,NC_WINSTON-SALEM,2021-07-02,65.0,20.0,85.0
52,NC_WINSTON-SALEM,2021-07-09,73.0,20.0,93.0
53,NC_WINSTON-SALEM,2021-07-16,113.0,45.0,158.0
54,NC_WINSTON-SALEM,2021-07-23,202.0,86.0,288.0
55,NC_WINSTON-SALEM,2021-07-30,443.0,157.0,600.0
56,NC_WINSTON-SALEM,2021-08-06,553.0,274.0,827.0
57,NC_WINSTON-SALEM,2021-08-13,773.0,323.0,1096.0
58,NC_WINSTON-SALEM,2021-08-20,1024.0,423.0,1447.0
59,NC_WINSTON-SALEM,2021-08-27,1061.0,488.0,1549.0
60,NC_WINSTON-SALEM,2021-09-03,1066.0,550.0,1616.0
61,NC_WINSTON-SALEM,2021-09-10,953.0,532.0,1485.0
62,NC_WINSTON-SALEM,2021-09-17,849.0,490.0,1339.0
63,NC_WINSTON-SALEM,2021-09-24,798.0,434.0,1232.0
64,NC_WINSTON-SALEM,2021-10-01,624.0,392.0,1016.0
65,NC_WINSTON-SALEM,2021-10-08,536.0,340.0,876.0
66,NC_WINSTON-SALEM,2021-10-15,360.0,219.0,579.0
67,NC_WINSTON-SALEM,2021-10-22,338.0,189.0,527.0
68,NC_WINSTON-SALEM,2021-10-29,272.0,119.0,391.0
69,NC_WINSTON-SALEM,2021-11-05,223.0,130.0,353.0
70,NC_WINSTON-SALEM,2021-11-12,238.0,112.0,350.0
71,NC_WINSTON-SALEM,2021-11-19,354.0,170.0,524.0
72,NC_WINSTON-SALEM,2021-11-26,483.0,261.0,744.0
73,NC_WINSTON-SALEM,2021-12-03,597.0,275.0,872.0
74,NC_WINSTON-SALEM,2021-12-10,660.0,256.0,916.0
75,NC_WINSTON-SALEM,2021-12-17,656.0,264.0,920.0
76,NC_WINSTON-SALEM,2021-12-24,717.0,310.0,1027.0
77,NC_WINSTON-SALEM,2021-12-31,985.0,456.0,1441.0
78,NC_WINSTON-SALEM,2022-01-07,1285.0,735.0,2020.0
79,NC_WINSTON-SALEM,2022-01-14,1361.0,807.0,2168.0
80,NC_WINSTON-SALEM,2022-01-21,1362.0,786.0,2148.0
81,NC_WINSTON-SALEM,2022-01-28,1245.0,714.0,1959.0
82,NC_WINSTON-SALEM,2022-02-04,988.0,707.0,1695.0
83,NC_WINSTON-SALEM,2022-02-11,602.0,466.0,1068.0
