,loc,datetime,310038,310070,total_cnts
0,NJ_NEW BRUNSWICK,2020-07-17,19.0,0.0,19.0
1,NJ_NEW BRUNSWICK,2020-07-24,132.0,0.0,132.0
2,NJ_NEW BRUNSWICK,2020-07-31,110.0,16.0,126.0
3,NJ_NEW BRUNSWICK,2020-08-07,58.0,27.0,85.0
4,NJ_NEW BRUNSWICK,2020-08-14,30.0,28.0,58.0
5,NJ_NEW BRUNSWICK,2020-08-21,11.0,11.0,22.0
6,NJ_NEW BRUNSWICK,2020-08-28,42.0,23.0,65.0
7,NJ_NEW BRUNSWICK,2020-09-04,36.0,6.0,42.0
8,NJ_NEW BRUNSWICK,2020-09-11,61.0,23.0,84.0
9,NJ_NEW BRUNSWICK,2020-09-18,39.0,44.0,83.0
10,NJ_NEW BRUNSWICK,2020-09-25,63.0,34.0,97.0
11,NJ_NEW BRUNSWICK,2020-10-02,95.0,56.0,151.0
12,NJ_NEW BRUNSWICK,2020-10-09,62.0,97.0,159.0
13,NJ_NEW BRUNSWICK,2020-10-16,98.0,100.0,198.0
14,NJ_NEW BRUNSWICK,2020-10-23,109.0,120.0,229.0
15,NJ_NEW BRUNSWICK,2020-10-30,163.0,139.0,302.0
16,NJ_NEW BRUNSWICK,2020-11-06,271.0,153.0,424.0
17,NJ_NEW BRUNSWICK,2020-11-13,304.0,200.0,504.0
18,NJ_NEW BRUNSWICK,2020-11-20,387.0,267.0,654.0
19,NJ_NEW BRUNSWICK,2020-11-27,402.0,351.0,753.0
20,NJ_NEW BRUNSWICK,2020-12-04,455.0,399.0,854.0
21,NJ_NEW BRUNSWICK,2020-12-11,748.0,371.0,1119.0
22,NJ_NEW BRUNSWICK,2020-12-18,719.0,321.0,1040.0
23,NJ_NEW BRUNSWICK,2020-12-25,786.0,395.0,1181.0
24,NJ_NEW BRUNSWICK,2021-01-01,888.0,401.0,1289.0
25,NJ_NEW BRUNSWICK,2021-01-08,933.0,331.0,1264.0
26,NJ_NEW BRUNSWICK,2021-01-15,839.0,372.0,1211.0
27,NJ_NEW BRUNSWICK,2021-01-22,709.0,403.0,1112.0
28,NJ_NEW BRUNSWICK,2021-01-29,612.0,325.0,937.0
