,loc,datetime,330005,330078,330219,330354,total_cnts
0,NY_BUFFALO,2020-07-10,44.0,0.0,7.0,0.0,51.0
1,NY_BUFFALO,2020-07-17,131.0,22.0,20.0,6.0,179.0
2,NY_BUFFALO,2020-07-24,96.0,87.0,4.0,8.0,195.0
3,NY_BUFFALO,2020-07-31,71.0,90.0,26.0,7.0,198.0
4,NY_BUFFALO,2020-08-07,58.0,68.0,17.0,6.0,149.0
5,NY_BUFFALO,2020-08-14,78.0,56.0,18.0,7.0,159.0
6,NY_BUFFALO,2020-08-21,60.0,63.0,25.0,7.0,155.0
7,NY_BUFFALO,2020-08-28,77.0,67.0,26.0,5.0,175.0
8,NY_BUFFALO,2020-09-04,69.0,86.0,44.0,0.0,199.0
9,NY_BUFFALO,2020-09-11,62.0,85.0,33.0,0.0,180.0
10,NY_BUFFALO,2020-09-18,32.0,99.0,59.0,0.0,195.0
11,NY_BUFFALO,2020-09-25,86.0,124.0,52.0,0.0,262.0
12,NY_BUFFALO,2020-10-02,110.0,99.0,66.0,0.0,279.0
13,NY_BUFFALO,2020-10-09,150.0,75.0,65.0,0.0,290.0
14,NY_BUFFALO,2020-10-16,169.0,91.0,42.0,0.0,302.0
15,NY_BUFFALO,2020-10-23,150.0,95.0,33.0,0.0,278.0
16,NY_BUFFALO,2020-10-30,121.0,130.0,22.0,6.0,279.0
17,NY_BUFFALO,2020-11-06,224.0,225.0,64.0,11.0,534.0
18,NY_BUFFALO,2020-11-13,412.0,409.0,105.0,18.0,1020.0
19,NY_BUFFALO,2020-11-20,827.0,463.0,179.0,28.0,1648.0
20,NY_BUFFALO,2020-11-27,1187.0,479.0,274.0,47.0,2320.0
21,NY_BUFFALO,2020-12-04,1354.0,584.0,390.0,27.0,2723.0
22,NY_BUFFALO,2020-12-11,1291.0,617.0,448.0,40.0,2773.0
23,NY_BUFFALO,2020-12-18,1266.0,590.0,413.0,63.0,2638.0
24,NY_BUFFALO,2020-12-25,1293.0,633.0,428.0,78.0,2711.0
25,NY_BUFFALO,2021-01-01,1186.0,660.0,474.0,88.0,2663.0
26,NY_BUFFALO,2021-01-08,1122.0,648.0,437.0,107.0,2520.0
27,NY_BUFFALO,2021-01-15,1079.0,655.0,422.0,85.0,2436.0
28,NY_BUFFALO,2021-01-22,998.0,554.0,364.0,71.0,2132.0
29,NY_BUFFALO,2021-01-29,851.0,542.0,420.0,80.0,2039.0
30,NY_BUFFALO,2021-02-05,708.0,557.0,430.0,52.0,1871.0
31,NY_BUFFALO,2021-02-12,605.0,392.0,376.0,36.0,1528.0
32,NY_BUFFALO,2021-02-19,512.0,398.0,296.0,46.0,1322.0
33,NY_BUFFALO,2021-02-26,402.0,295.0,275.0,39.0,1029.0
34,NY_BUFFALO,2021-03-05,359.0,259.0,168.0,13.0,833.0
35,NY_BUFFALO,2021-03-12,321.0,297.0,165.0,23.0,859.0
36,NY_BUFFALO,2021-03-19,300.0,306.0,195.0,11.0,901.0
37,NY_BUFFALO,2021-03-26,438.0,342.0,190.0,7.0,1152.0
38,NY_BUFFALO,2021-04-02,645.0,337.0,302.0,10.0,1463.0
39,NY_BUFFALO,2021-04-09,808.0,411.0,349.0,28.0,1774.0
40,NY_BUFFALO,2021-04-16,906.0,453.0,389.0,26.0,1912.0
41,NY_BUFFALO,2021-04-23,674.0,389.0,363.0,26.0,1554.0
42,NY_BUFFALO,2021-04-30,547.0,303.0,367.0,18.0,1299.0
43,NY_BUFFALO,2021-05-07,473.0,208.0,299.0,11.0,1023.0
44,NY_BUFFALO,2021-05-14,344.0,131.0,241.0,9.0,768.0
45,NY_BUFFALO,2021-05-21,237.0,83.0,192.0,7.0,566.0
46,NY_BUFFALO,2021-05-28,132.0,89.0,159.0,6.0,437.0
47,NY_BUFFALO,2021-06-04,75.0,66.0,144.0,7.0,324.0
48,NY_BUFFALO,2021-06-11,40.0,50.0,113.0,12.0,233.0
49,NY_BUFFALO,2021-06-18,16.0,14.0,85.0,12.0,138.0
50,NY_BUFFALO,2021-06-25,7.0,21.0,42.0,18.0,101.0
51,NY_BUFFALO,2021-07-02,10.0,8.0,40.0,21.0,91.0
52,NY_BUFFALO,2021-07-09,16.0,5.0,23.0,14.0,66.0
53,NY_BUFFALO,2021-07-16,35.0,10.0,27.0,7.0,109.0
54,NY_BUFFALO,2021-07-23,82.0,14.0,28.0,0.0,165.0
55,NY_BUFFALO,2021-07-30,96.0,48.0,66.0,0.0,266.0
56,NY_BUFFALO,2021-08-06,185.0,32.0,143.0,0.0,428.0
57,NY_BUFFALO,2021-08-13,240.0,58.0,178.0,0.0,578.0
58,NY_BUFFALO,2021-08-20,276.0,68.0,152.0,7.0,626.0
59,NY_BUFFALO,2021-08-27,298.0,90.0,116.0,9.0,641.0
60,NY_BUFFALO,2021-09-03,280.0,112.0,92.0,17.0,693.0
61,NY_BUFFALO,2021-09-10,268.0,136.0,128.0,7.0,719.0
62,NY_BUFFALO,2021-09-17,317.0,127.0,150.0,14.0,745.0
63,NY_BUFFALO,2021-09-24,339.0,140.0,159.0,15.0,815.0
64,NY_BUFFALO,2021-10-01,426.0,150.0,155.0,18.0,838.0
65,NY_BUFFALO,2021-10-08,391.0,166.0,167.0,34.0,830.0
66,NY_BUFFALO,2021-10-15,368.0,146.0,129.0,20.0,758.0
67,NY_BUFFALO,2021-10-22,379.0,142.0,92.0,15.0,684.0
68,NY_BUFFALO,2021-10-29,459.0,151.0,138.0,4.0,811.0
69,NY_BUFFALO,2021-11-05,502.0,217.0,205.0,21.0,1024.0
70,NY_BUFFALO,2021-11-12,540.0,237.0,217.0,28.0,1229.0
71,NY_BUFFALO,2021-11-19,671.0,272.0,358.0,26.0,1722.0
72,NY_BUFFALO,2021-11-26,823.0,399.0,477.0,24.0,2160.0
73,NY_BUFFALO,2021-12-03,1049.0,387.0,514.0,17.0,2400.0
74,NY_BUFFALO,2021-12-10,1057.0,410.0,481.0,17.0,2399.0
75,NY_BUFFALO,2021-12-17,971.0,363.0,406.0,31.0,2138.0
76,NY_BUFFALO,2021-12-24,831.0,196.0,397.0,31.0,1739.0
77,NY_BUFFALO,2021-12-31,1028.0,338.0,647.0,42.0,2388.0
78,NY_BUFFALO,2022-01-07,1453.0,387.0,812.0,66.0,3185.0
79,NY_BUFFALO,2022-01-14,1481.0,460.0,957.0,78.0,3507.0
80,NY_BUFFALO,2022-01-21,1235.0,377.0,875.0,89.0,2997.0
81,NY_BUFFALO,2022-01-28,1197.0,279.0,736.0,75.0,2581.0
82,NY_BUFFALO,2022-02-04,1040.0,111.0,582.0,47.0,1971.0
83,NY_BUFFALO,2022-02-11,797.0,98.0,440.0,63.0,1569.0
84,NY_BUFFALO,2022-02-18,514.0,71.0,250.0,38.0,1010.0
85,NY_BUFFALO,2022-02-25,385.0,36.0,172.0,47.0,733.0
86,NY_BUFFALO,2022-03-04,268.0,0.0,128.0,45.0,526.0
87,NY_BUFFALO,2022-03-11,222.0,8.0,94.0,36.0,396.0
88,NY_BUFFALO,2022-03-18,165.0,27.0,62.0,12.0,326.0
89,NY_BUFFALO,2022-03-25,110.0,14.0,42.0,4.0,188.0
90,NY_BUFFALO,2022-04-01,128.0,28.0,61.0,4.0,246.0
91,NY_BUFFALO,2022-04-08,162.0,18.0,96.0,4.0,311.0
92,NY_BUFFALO,2022-04-15,210.0,36.0,117.0,12.0,460.0
93,NY_BUFFALO,2022-04-22,335.0,70.0,171.0,21.0,776.0
94,NY_BUFFALO,2022-04-29,429.0,80.0,253.0,26.0,958.0
95,NY_BUFFALO,2022-05-06,506.0,70.0,285.0,41.0,1094.0
96,NY_BUFFALO,2022-05-13,592.0,64.0,310.0,49.0,1213.0
97,NY_BUFFALO,2022-05-20,591.0,56.0,325.0,15.0,1172.0
98,NY_BUFFALO,2022-05-27,419.0,36.0,364.0,50.0,998.0
99,NY_BUFFALO,2022-06-03,363.0,38.0,317.0,48.0,841.0
100,NY_BUFFALO,2022-06-10,256.0,15.0,241.0,36.0,595.0
101,NY_BUFFALO,2022-06-17,189.0,27.0,134.0,34.0,419.0
102,NY_BUFFALO,2022-06-24,206.0,12.0,84.0,32.0,372.0
103,NY_BUFFALO,2022-07-01,235.0,12.0,74.0,38.0,416.0
104,NY_BUFFALO,2022-07-08,224.0,0.0,72.0,27.0,427.0
105,NY_BUFFALO,2022-07-15,171.0,19.0,96.0,31.0,380.0
106,NY_BUFFALO,2022-07-22,268.0,18.0,92.0,27.0,477.0
107,NY_BUFFALO,2022-07-29,246.0,26.0,153.0,25.0,514.0
108,NY_BUFFALO,2022-08-05,224.0,18.0,132.0,25.0,454.0
