,loc,datetime,360070,360084,total_cnts
0,OH_CANTON,2020-07-10,15.0,21.0,36.0
1,OH_CANTON,2020-07-17,56.0,68.0,124.0
2,OH_CANTON,2020-07-24,55.0,66.0,121.0
3,OH_CANTON,2020-07-31,51.0,58.0,125.0
4,OH_CANTON,2020-08-07,69.0,108.0,177.0
5,OH_CANTON,2020-08-14,56.0,126.0,182.0
6,OH_CANTON,2020-08-21,30.0,89.0,119.0
7,OH_CANTON,2020-08-28,42.0,71.0,113.0
8,OH_CANTON,2020-09-04,27.0,53.0,80.0
9,OH_CANTON,2020-09-11,28.0,70.0,98.0
10,OH_CANTON,2020-09-18,34.0,89.0,123.0
11,OH_CANTON,2020-09-25,45.0,65.0,110.0
12,OH_CANTON,2020-10-02,70.0,130.0,200.0
13,OH_CANTON,2020-10-09,105.0,95.0,200.0
14,OH_CANTON,2020-10-16,116.0,160.0,276.0
15,OH_CANTON,2020-10-23,155.0,248.0,403.0
16,OH_CANTON,2020-10-30,222.0,255.0,496.0
17,OH_CANTON,2020-11-06,336.0,294.0,650.0
18,OH_CANTON,2020-11-13,450.0,345.0,815.0
19,OH_CANTON,2020-11-20,543.0,487.0,1051.0
20,OH_CANTON,2020-11-27,676.0,615.0,1291.0
21,OH_CANTON,2020-12-04,608.0,769.0,1377.0
22,OH_CANTON,2020-12-11,650.0,861.0,1525.0
23,OH_CANTON,2020-12-18,576.0,787.0,1363.0
24,OH_CANTON,2020-12-25,455.0,639.0,1094.0
25,OH_CANTON,2021-01-01,452.0,620.0,1072.0
26,OH_CANTON,2021-01-08,479.0,694.0,1173.0
27,OH_CANTON,2021-01-15,451.0,615.0,1066.0
28,OH_CANTON,2021-01-22,357.0,450.0,807.0
29,OH_CANTON,2021-01-29,238.0,382.0,620.0
30,OH_CANTON,2021-02-05,134.0,273.0,407.0
31,OH_CANTON,2021-02-12,145.0,187.0,332.0
32,OH_CANTON,2021-02-19,105.0,165.0,270.0
33,OH_CANTON,2021-02-26,80.0,153.0,233.0
34,OH_CANTON,2021-03-05,91.0,90.0,181.0
35,OH_CANTON,2021-03-12,76.0,79.0,155.0
36,OH_CANTON,2021-03-19,71.0,75.0,146.0
37,OH_CANTON,2021-03-26,72.0,77.0,149.0
38,OH_CANTON,2021-04-02,97.0,63.0,160.0
39,OH_CANTON,2021-04-09,151.0,112.0,263.0
40,OH_CANTON,2021-04-16,94.0,131.0,225.0
41,OH_CANTON,2021-04-23,149.0,120.0,269.0
42,OH_CANTON,2021-04-30,189.0,102.0,291.0
43,OH_CANTON,2021-05-07,129.0,118.0,247.0
44,OH_CANTON,2021-05-14,78.0,90.0,168.0
45,OH_CANTON,2021-05-21,122.0,72.0,194.0
46,OH_CANTON,2021-05-28,90.0,110.0,200.0
47,OH_CANTON,2021-06-04,89.0,75.0,164.0
48,OH_CANTON,2021-06-11,47.0,41.0,88.0
49,OH_CANTON,2021-06-18,66.0,30.0,96.0
50,OH_CANTON,2021-06-25,77.0,21.0,98.0
51,OH_CANTON,2021-07-02,71.0,15.0,86.0
52,OH_CANTON,2021-07-09,50.0,20.0,70.0
53,OH_CANTON,2021-07-16,36.0,23.0,59.0
54,OH_CANTON,2021-07-23,70.0,44.0,114.0
55,OH_CANTON,2021-07-30,102.0,81.0,183.0
56,OH_CANTON,2021-08-06,111.0,122.0,233.0
57,OH_CANTON,2021-08-13,169.0,192.0,361.0
58,OH_CANTON,2021-08-20,208.0,322.0,530.0
59,OH_CANTON,2021-08-27,232.0,368.0,600.0
60,OH_CANTON,2021-09-03,236.0,459.0,695.0
61,OH_CANTON,2021-09-10,385.0,446.0,831.0
62,OH_CANTON,2021-09-17,491.0,453.0,944.0
63,OH_CANTON,2021-09-24,472.0,445.0,917.0
64,OH_CANTON,2021-10-01,384.0,502.0,886.0
65,OH_CANTON,2021-10-08,322.0,529.0,851.0
66,OH_CANTON,2021-10-15,349.0,505.0,854.0
67,OH_CANTON,2021-10-22,267.0,442.0,709.0
68,OH_CANTON,2021-10-29,256.0,414.0,670.0
69,OH_CANTON,2021-11-05,264.0,427.0,691.0
70,OH_CANTON,2021-11-12,342.0,415.0,757.0
71,OH_CANTON,2021-11-19,433.0,423.0,856.0
72,OH_CANTON,2021-11-26,543.0,478.0,1021.0
73,OH_CANTON,2021-12-03,684.0,498.0,1182.0
74,OH_CANTON,2021-12-10,661.0,562.0,1223.0
75,OH_CANTON,2021-12-17,568.0,638.0,1206.0
76,OH_CANTON,2021-12-24,586.0,663.0,1249.0
77,OH_CANTON,2021-12-31,740.0,695.0,1435.0
78,OH_CANTON,2022-01-07,827.0,763.0,1590.0
79,OH_CANTON,2022-01-14,794.0,588.0,1382.0
80,OH_CANTON,2022-01-21,673.0,444.0,1117.0
81,OH_CANTON,2022-01-28,438.0,275.0,713.0
82,OH_CANTON,2022-02-04,298.0,222.0,520.0
83,OH_CANTON,2022-02-11,175.0,151.0,326.0
84,OH_CANTON,2022-02-18,107.0,120.0,227.0
85,OH_CANTON,2022-02-25,99.0,74.0,173.0
86,OH_CANTON,2022-03-04,59.0,46.0,105.0
87,OH_CANTON,2022-03-11,30.0,27.0,57.0
88,OH_CANTON,2022-03-18,35.0,29.0,64.0
89,OH_CANTON,2022-03-25,51.0,30.0,81.0
90,OH_CANTON,2022-04-01,31.0,27.0,58.0
91,OH_CANTON,2022-04-08,19.0,22.0,41.0
92,OH_CANTON,2022-04-15,37.0,11.0,48.0
