,loc,datetime,360001,360003,360016,360134,360163,360179,360234,362004,total_cnts
0,OH_CINCINNATI,2020-07-10,14.0,70.0,22.0,0.0,15.0,0.0,42.0,6.0,169.0
1,OH_CINCINNATI,2020-07-17,43.0,199.0,67.0,0.0,110.0,0.0,120.0,18.0,557.0
2,OH_CINCINNATI,2020-07-24,24.0,198.0,50.0,21.0,83.0,12.0,157.0,13.0,558.0
3,OH_CINCINNATI,2020-07-31,32.0,141.0,38.0,93.0,121.0,93.0,106.0,13.0,637.0
4,OH_CINCINNATI,2020-08-07,31.0,192.0,56.0,103.0,131.0,159.0,77.0,34.0,783.0
5,OH_CINCINNATI,2020-08-14,51.0,193.0,39.0,89.0,130.0,145.0,98.0,34.0,779.0
6,OH_CINCINNATI,2020-08-21,25.0,129.0,31.0,81.0,123.0,115.0,53.0,36.0,593.0
7,OH_CINCINNATI,2020-08-28,29.0,130.0,19.0,52.0,95.0,125.0,30.0,38.0,518.0
8,OH_CINCINNATI,2020-09-04,52.0,116.0,30.0,24.0,106.0,123.0,41.0,21.0,513.0
9,OH_CINCINNATI,2020-09-11,57.0,112.0,40.0,21.0,66.0,148.0,63.0,20.0,531.0
10,OH_CINCINNATI,2020-09-18,40.0,65.0,31.0,34.0,51.0,92.0,59.0,28.0,400.0
11,OH_CINCINNATI,2020-09-25,62.0,62.0,28.0,65.0,37.0,70.0,60.0,35.0,419.0
12,OH_CINCINNATI,2020-10-02,89.0,83.0,46.0,95.0,42.0,53.0,73.0,29.0,510.0
13,OH_CINCINNATI,2020-10-09,120.0,149.0,66.0,96.0,65.0,88.0,151.0,28.0,763.0
14,OH_CINCINNATI,2020-10-16,98.0,196.0,37.0,141.0,144.0,178.0,175.0,26.0,995.0
15,OH_CINCINNATI,2020-10-23,124.0,212.0,75.0,155.0,173.0,190.0,187.0,21.0,1137.0
16,OH_CINCINNATI,2020-10-30,122.0,224.0,95.0,195.0,152.0,267.0,220.0,7.0,1282.0
17,OH_CINCINNATI,2020-11-06,137.0,197.0,191.0,192.0,251.0,389.0,292.0,16.0,1670.0
18,OH_CINCINNATI,2020-11-13,187.0,308.0,220.0,256.0,329.0,470.0,330.0,17.0,2124.0
