,loc,datetime,380020,380102,total_cnts
135,OR_SPRINGFIELD,2020-07-10,0.0,5.0,5.0
136,OR_SPRINGFIELD,2020-07-17,0.0,35.0,35.0
0,OR_SPRINGFIELD,2020-07-24,5.0,24.0,29.0
1,OR_SPRINGFIELD,2020-07-31,14.0,18.0,32.0
2,OR_SPRINGFIELD,2020-08-07,7.0,14.0,21.0
3,OR_SPRINGFIELD,2020-08-14,4.0,19.0,23.0
4,OR_SPRINGFIELD,2020-08-21,6.0,16.0,22.0
5,OR_SPRINGFIELD,2020-08-28,0.0,17.0,17.0
6,OR_SPRINGFIELD,2020-09-04,0.0,7.0,7.0
7,OR_SPRINGFIELD,2020-09-11,5.0,7.0,12.0
8,OR_SPRINGFIELD,2020-09-18,23.0,31.0,54.0
9,OR_SPRINGFIELD,2020-09-25,39.0,30.0,69.0
10,OR_SPRINGFIELD,2020-10-02,38.0,33.0,71.0
11,OR_SPRINGFIELD,2020-10-09,21.0,76.0,97.0
12,OR_SPRINGFIELD,2020-10-16,9.0,100.0,109.0
13,OR_SPRINGFIELD,2020-10-23,9.0,99.0,108.0
14,OR_SPRINGFIELD,2020-10-30,7.0,94.0,101.0
15,OR_SPRINGFIELD,2020-11-06,23.0,127.0,150.0
16,OR_SPRINGFIELD,2020-11-13,19.0,126.0,145.0
17,OR_SPRINGFIELD,2020-11-20,21.0,178.0,199.0
18,OR_SPRINGFIELD,2020-11-27,70.0,177.0,247.0
19,OR_SPRINGFIELD,2020-12-04,98.0,158.0,256.0
20,OR_SPRINGFIELD,2020-12-11,139.0,184.0,323.0
21,OR_SPRINGFIELD,2020-12-18,102.0,130.0,232.0
22,OR_SPRINGFIELD,2020-12-25,75.0,118.0,193.0
23,OR_SPRINGFIELD,2021-01-01,26.0,142.0,168.0
24,OR_SPRINGFIELD,2021-01-08,33.0,111.0,144.0
25,OR_SPRINGFIELD,2021-01-15,24.0,116.0,140.0
26,OR_SPRINGFIELD,2021-01-22,20.0,120.0,140.0
27,OR_SPRINGFIELD,2021-01-29,21.0,96.0,117.0
28,OR_SPRINGFIELD,2021-02-05,18.0,101.0,119.0
29,OR_SPRINGFIELD,2021-02-12,27.0,100.0,127.0
30,OR_SPRINGFIELD,2021-02-19,27.0,95.0,122.0
31,OR_SPRINGFIELD,2021-02-26,22.0,72.0,94.0
32,OR_SPRINGFIELD,2021-03-05,11.0,53.0,64.0
