,loc,datetime,390009,390063,total_cnts
136,PA_ERIE,2020-07-10,0.0,6.0,6.0
137,PA_ERIE,2020-07-17,0.0,18.0,23.0
0,PA_ERIE,2020-07-24,27.0,28.0,55.0
1,PA_ERIE,2020-07-31,24.0,40.0,64.0
2,PA_ERIE,2020-08-07,24.0,50.0,83.0
3,PA_ERIE,2020-08-14,32.0,51.0,83.0
4,PA_ERIE,2020-08-21,43.0,44.0,87.0
5,PA_ERIE,2020-08-28,42.0,37.0,79.0
6,PA_ERIE,2020-09-04,15.0,33.0,48.0
7,PA_ERIE,2020-09-11,11.0,20.0,35.0
8,PA_ERIE,2020-09-18,29.0,15.0,44.0
9,PA_ERIE,2020-09-25,23.0,20.0,43.0
10,PA_ERIE,2020-10-02,16.0,27.0,43.0
11,PA_ERIE,2020-10-09,5.0,18.0,23.0
12,PA_ERIE,2020-10-16,53.0,17.0,70.0
13,PA_ERIE,2020-10-23,89.0,23.0,112.0
14,PA_ERIE,2020-10-30,97.0,50.0,147.0
15,PA_ERIE,2020-11-06,112.0,97.0,209.0
16,PA_ERIE,2020-11-13,178.0,114.0,320.0
17,PA_ERIE,2020-11-20,241.0,255.0,547.0
18,PA_ERIE,2020-11-27,282.0,408.0,722.0
19,PA_ERIE,2020-12-04,331.0,481.0,854.0
20,PA_ERIE,2020-12-11,367.0,466.0,892.0
21,PA_ERIE,2020-12-18,374.0,385.0,787.0
22,PA_ERIE,2020-12-25,369.0,334.0,744.0
23,PA_ERIE,2021-01-01,306.0,305.0,657.0
24,PA_ERIE,2021-01-08,248.0,209.0,479.0
25,PA_ERIE,2021-01-15,207.0,174.0,398.0
26,PA_ERIE,2021-01-22,163.0,162.0,342.0
27,PA_ERIE,2021-01-29,123.0,141.0,274.0
28,PA_ERIE,2021-02-05,89.0,116.0,205.0
29,PA_ERIE,2021-02-12,109.0,106.0,215.0
30,PA_ERIE,2021-02-19,76.0,109.0,198.0
31,PA_ERIE,2021-02-26,86.0,95.0,199.0
32,PA_ERIE,2021-03-05,83.0,56.0,149.0
33,PA_ERIE,2021-03-12,58.0,62.0,128.0
34,PA_ERIE,2021-03-19,46.0,66.0,116.0
35,PA_ERIE,2021-03-26,46.0,63.0,109.0
36,PA_ERIE,2021-04-02,21.0,55.0,84.0
37,PA_ERIE,2021-04-09,42.0,77.0,129.0
38,PA_ERIE,2021-04-16,61.0,78.0,143.0
39,PA_ERIE,2021-04-23,32.0,75.0,113.0
40,PA_ERIE,2021-04-30,54.0,55.0,109.0
41,PA_ERIE,2021-05-07,70.0,58.0,128.0
42,PA_ERIE,2021-05-14,41.0,88.0,129.0
43,PA_ERIE,2021-05-21,54.0,77.0,135.0
44,PA_ERIE,2021-05-28,65.0,33.0,98.0
45,PA_ERIE,2021-06-04,46.0,31.0,81.0
46,PA_ERIE,2021-06-11,23.0,26.0,49.0
47,PA_ERIE,2021-06-18,5.0,11.0,16.0
138,PA_ERIE,2021-06-25,0.0,17.0,17.0
48,PA_ERIE,2021-07-02,5.0,14.0,19.0
49,PA_ERIE,2021-07-09,18.0,6.0,24.0
50,PA_ERIE,2021-07-16,11.0,14.0,25.0
51,PA_ERIE,2021-07-23,10.0,17.0,27.0
52,PA_ERIE,2021-07-30,13.0,42.0,61.0
53,PA_ERIE,2021-08-06,43.0,29.0,72.0
54,PA_ERIE,2021-08-13,78.0,72.0,163.0
55,PA_ERIE,2021-08-20,127.0,128.0,265.0
56,PA_ERIE,2021-08-27,169.0,154.0,336.0
57,PA_ERIE,2021-09-03,162.0,146.0,320.0
58,PA_ERIE,2021-09-10,150.0,182.0,339.0
59,PA_ERIE,2021-09-17,159.0,142.0,308.0
60,PA_ERIE,2021-09-24,155.0,205.0,364.0
61,PA_ERIE,2021-10-01,158.0,198.0,383.0
62,PA_ERIE,2021-10-08,209.0,251.0,487.0
63,PA_ERIE,2021-10-15,219.0,241.0,507.0
64,PA_ERIE,2021-10-22,248.0,283.0,562.0
65,PA_ERIE,2021-10-29,195.0,279.0,480.0
66,PA_ERIE,2021-11-05,231.0,228.0,470.0
67,PA_ERIE,2021-11-12,249.0,326.0,590.0
68,PA_ERIE,2021-11-19,349.0,425.0,798.0
69,PA_ERIE,2021-11-26,376.0,434.0,839.0
70,PA_ERIE,2021-12-03,378.0,348.0,779.0
71,PA_ERIE,2021-12-10,380.0,348.0,767.0
72,PA_ERIE,2021-12-17,312.0,206.0,565.0
73,PA_ERIE,2021-12-24,343.0,181.0,541.0
74,PA_ERIE,2021-12-31,323.0,278.0,653.0
75,PA_ERIE,2022-01-07,328.0,370.0,815.0
76,PA_ERIE,2022-01-14,374.0,426.0,944.0
77,PA_ERIE,2022-01-21,299.0,375.0,714.0
78,PA_ERIE,2022-01-28,229.0,304.0,575.0
79,PA_ERIE,2022-02-04,163.0,195.0,403.0
80,PA_ERIE,2022-02-11,122.0,168.0,414.0
81,PA_ERIE,2022-02-18,87.0,146.0,355.0
82,PA_ERIE,2022-02-25,88.0,134.0,334.0
83,PA_ERIE,2022-03-04,64.0,96.0,258.0
84,PA_ERIE,2022-03-11,52.0,77.0,199.0
85,PA_ERIE,2022-03-18,49.0,42.0,194.0
86,PA_ERIE,2022-03-25,32.0,16.0,118.0
87,PA_ERIE,2022-04-01,34.0,25.0,143.0
88,PA_ERIE,2022-04-08,34.0,21.0,145.0
89,PA_ERIE,2022-04-15,33.0,15.0,134.0
90,PA_ERIE,2022-04-22,28.0,40.0,158.0
91,PA_ERIE,2022-04-29,36.0,45.0,172.0
92,PA_ERIE,2022-05-06,56.0,56.0,129.0
93,PA_ERIE,2022-05-13,86.0,91.0,194.0
94,PA_ERIE,2022-05-20,90.0,116.0,229.0
95,PA_ERIE,2022-05-27,69.0,93.0,177.0
96,PA_ERIE,2022-06-03,92.0,91.0,202.0
97,PA_ERIE,2022-06-10,114.0,59.0,187.0
98,PA_ERIE,2022-06-17,81.0,51.0,146.0
99,PA_ERIE,2022-06-24,57.0,78.0,156.0
100,PA_ERIE,2022-07-01,34.0,83.0,131.0
101,PA_ERIE,2022-07-08,60.0,66.0,131.0
102,PA_ERIE,2022-07-15,68.0,64.0,139.0
103,PA_ERIE,2022-07-22,74.0,101.0,186.0
104,PA_ERIE,2022-07-29,69.0,71.0,146.0
105,PA_ERIE,2022-08-05,65.0,72.0,149.0
106,PA_ERIE,2022-08-12,82.0,81.0,178.0
107,PA_ERIE,2022-08-19,101.0,122.0,227.0
108,PA_ERIE,2022-08-26,108.0,130.0,242.0
109,PA_ERIE,2022-09-02,77.0,129.0,218.0
110,PA_ERIE,2022-09-09,48.0,140.0,200.0
111,PA_ERIE,2022-09-16,37.0,77.0,127.0
112,PA_ERIE,2022-09-23,74.0,112.0,190.0
113,PA_ERIE,2022-09-30,63.0,171.0,238.0
114,PA_ERIE,2022-10-07,88.0,129.0,221.0
115,PA_ERIE,2022-10-14,62.0,133.0,207.0
116,PA_ERIE,2022-10-21,72.0,114.0,240.0
117,PA_ERIE,2022-10-28,87.0,118.0,245.0
118,PA_ERIE,2022-11-04,49.0,119.0,186.0
119,PA_ERIE,2022-11-11,76.0,97.0,173.0
120,PA_ERIE,2022-11-18,62.0,57.0,123.0
121,PA_ERIE,2022-11-25,62.0,61.0,123.0
122,PA_ERIE,2022-12-02,78.0,118.0,211.0
123,PA_ERIE,2022-12-09,91.0,104.0,199.0
124,PA_ERIE,2022-12-16,61.0,107.0,172.0
125,PA_ERIE,2022-12-23,33.0,93.0,130.0
126,PA_ERIE,2022-12-30,64.0,77.0,152.0
127,PA_ERIE,2023-01-06,107.0,55.0,167.0
128,PA_ERIE,2023-01-13,103.0,60.0,163.0
129,PA_ERIE,2023-01-20,80.0,66.0,152.0
130,PA_ERIE,2023-01-27,51.0,79.0,130.0
131,PA_ERIE,2023-02-03,35.0,36.0,71.0
132,PA_ERIE,2023-02-10,44.0,57.0,107.0
133,PA_ERIE,2023-02-17,34.0,73.0,132.0
134,PA_ERIE,2023-02-24,56.0,135.0,209.0
135,PA_ERIE,2023-03-03,35.0,41.0,80.0
