,loc,datetime,390046,390101,total_cnts
0,PA_YORK,2020-07-10,42.0,6.0,48.0
1,PA_YORK,2020-07-17,113.0,0.0,113.0
2,PA_YORK,2020-07-24,135.0,27.0,162.0
3,PA_YORK,2020-07-31,173.0,39.0,212.0
4,PA_YORK,2020-08-07,189.0,43.0,232.0
5,PA_YORK,2020-08-14,157.0,34.0,191.0
6,PA_YORK,2020-08-21,247.0,10.0,257.0
7,PA_YORK,2020-08-28,248.0,25.0,273.0
8,PA_YORK,2020-09-04,168.0,43.0,211.0
9,PA_YORK,2020-09-11,194.0,56.0,250.0
10,PA_YORK,2020-09-18,232.0,41.0,273.0
11,PA_YORK,2020-09-25,247.0,43.0,290.0
12,PA_YORK,2020-10-02,293.0,67.0,367.0
13,PA_YORK,2020-10-09,315.0,62.0,384.0
14,PA_YORK,2020-10-16,364.0,25.0,389.0
15,PA_YORK,2020-10-23,346.0,30.0,376.0
16,PA_YORK,2020-10-30,406.0,32.0,438.0
17,PA_YORK,2020-11-06,418.0,32.0,450.0
18,PA_YORK,2020-11-13,538.0,91.0,629.0
19,PA_YORK,2020-11-20,763.0,105.0,868.0
20,PA_YORK,2020-11-27,951.0,144.0,1095.0
21,PA_YORK,2020-12-04,1126.0,208.0,1334.0
22,PA_YORK,2020-12-11,1186.0,218.0,1551.0
23,PA_YORK,2020-12-18,1195.0,232.0,1535.0
24,PA_YORK,2020-12-25,1127.0,229.0,1447.0
25,PA_YORK,2021-01-01,1064.0,223.0,1387.0
26,PA_YORK,2021-01-08,997.0,191.0,1217.0
27,PA_YORK,2021-01-15,965.0,210.0,1190.0
28,PA_YORK,2021-01-22,721.0,133.0,854.0
29,PA_YORK,2021-01-29,494.0,65.0,559.0
30,PA_YORK,2021-02-05,487.0,53.0,540.0
31,PA_YORK,2021-02-12,383.0,56.0,439.0
32,PA_YORK,2021-02-19,318.0,29.0,347.0
33,PA_YORK,2021-02-26,271.0,13.0,284.0
34,PA_YORK,2021-03-05,244.0,33.0,277.0
35,PA_YORK,2021-03-12,209.0,27.0,236.0
36,PA_YORK,2021-03-19,274.0,52.0,326.0
37,PA_YORK,2021-03-26,346.0,88.0,434.0
38,PA_YORK,2021-04-02,468.0,85.0,553.0
39,PA_YORK,2021-04-09,531.0,68.0,599.0
40,PA_YORK,2021-04-16,633.0,76.0,709.0
41,PA_YORK,2021-04-23,494.0,46.0,540.0
42,PA_YORK,2021-04-30,420.0,64.0,484.0
43,PA_YORK,2021-05-07,358.0,35.0,393.0
44,PA_YORK,2021-05-14,287.0,46.0,333.0
45,PA_YORK,2021-05-21,225.0,54.0,279.0
46,PA_YORK,2021-05-28,223.0,51.0,274.0
47,PA_YORK,2021-06-04,194.0,17.0,211.0
48,PA_YORK,2021-06-11,118.0,8.0,126.0
49,PA_YORK,2021-06-18,82.0,11.0,93.0
50,PA_YORK,2021-06-25,77.0,0.0,77.0
51,PA_YORK,2021-07-02,75.0,0.0,75.0
52,PA_YORK,2021-07-09,90.0,6.0,96.0
53,PA_YORK,2021-07-16,86.0,11.0,97.0
54,PA_YORK,2021-07-23,99.0,13.0,112.0
55,PA_YORK,2021-07-30,115.0,15.0,130.0
56,PA_YORK,2021-08-06,185.0,39.0,224.0
57,PA_YORK,2021-08-13,240.0,81.0,321.0
58,PA_YORK,2021-08-20,318.0,84.0,402.0
59,PA_YORK,2021-08-27,378.0,96.0,474.0
60,PA_YORK,2021-09-03,385.0,99.0,484.0
61,PA_YORK,2021-09-10,411.0,86.0,497.0
62,PA_YORK,2021-09-17,501.0,111.0,612.0
63,PA_YORK,2021-09-24,648.0,100.0,748.0
64,PA_YORK,2021-10-01,633.0,126.0,759.0
65,PA_YORK,2021-10-08,619.0,184.0,807.0
66,PA_YORK,2021-10-15,742.0,162.0,904.0
67,PA_YORK,2021-10-22,728.0,178.0,906.0
68,PA_YORK,2021-10-29,729.0,151.0,880.0
69,PA_YORK,2021-11-05,671.0,95.0,770.0
70,PA_YORK,2021-11-12,642.0,89.0,731.0
71,PA_YORK,2021-11-19,632.0,128.0,760.0
72,PA_YORK,2021-11-26,720.0,156.0,876.0
73,PA_YORK,2021-12-03,832.0,162.0,994.0
74,PA_YORK,2021-12-10,992.0,180.0,1172.0
75,PA_YORK,2021-12-17,1117.0,264.0,1381.0
76,PA_YORK,2021-12-24,1111.0,294.0,1405.0
77,PA_YORK,2021-12-31,1251.0,331.0,1582.0
78,PA_YORK,2022-01-07,1288.0,253.0,1541.0
79,PA_YORK,2022-01-14,1352.0,187.0,1553.0
80,PA_YORK,2022-01-21,1087.0,139.0,1261.0
81,PA_YORK,2022-01-28,780.0,96.0,907.0
82,PA_YORK,2022-02-04,537.0,68.0,622.0
83,PA_YORK,2022-02-11,430.0,78.0,508.0
84,PA_YORK,2022-02-18,314.0,53.0,367.0
85,PA_YORK,2022-02-25,183.0,23.0,206.0
86,PA_YORK,2022-03-04,146.0,23.0,169.0
87,PA_YORK,2022-03-11,146.0,14.0,160.0
88,PA_YORK,2022-03-18,113.0,10.0,123.0
89,PA_YORK,2022-03-25,51.0,0.0,51.0
90,PA_YORK,2022-04-01,47.0,0.0,47.0
91,PA_YORK,2022-04-08,38.0,9.0,47.0
92,PA_YORK,2022-04-15,34.0,7.0,41.0
93,PA_YORK,2022-04-22,67.0,5.0,72.0
94,PA_YORK,2022-04-29,111.0,5.0,116.0
95,PA_YORK,2022-05-06,151.0,13.0,164.0
96,PA_YORK,2022-05-13,147.0,27.0,174.0
97,PA_YORK,2022-05-20,160.0,27.0,187.0
