,loc,datetime,400032,400109,total_cnts
136,PR_BAYAMON,2020-04-10,0.0,20.0,20.0
137,PR_BAYAMON,2020-07-10,0.0,18.0,22.0
0,PR_BAYAMON,2020-07-24,13.0,0.0,13.0
1,PR_BAYAMON,2020-07-31,69.0,98.0,220.0
2,PR_BAYAMON,2020-08-07,93.0,193.0,312.0
3,PR_BAYAMON,2020-08-14,74.0,200.0,317.0
4,PR_BAYAMON,2020-08-21,80.0,236.0,410.0
5,PR_BAYAMON,2020-08-28,84.0,210.0,412.0
6,PR_BAYAMON,2020-09-04,88.0,165.0,386.0
7,PR_BAYAMON,2020-09-11,70.0,184.0,363.0
8,PR_BAYAMON,2020-09-18,92.0,183.0,399.0
9,PR_BAYAMON,2020-09-25,97.0,188.0,374.0
10,PR_BAYAMON,2020-10-02,96.0,102.0,216.0
11,PR_BAYAMON,2020-10-09,122.0,130.0,296.0
12,PR_BAYAMON,2020-10-16,68.0,124.0,254.0
13,PR_BAYAMON,2020-10-23,59.0,177.0,309.0
14,PR_BAYAMON,2020-10-30,95.0,145.0,313.0
15,PR_BAYAMON,2020-11-06,106.0,179.0,420.0
16,PR_BAYAMON,2020-11-13,106.0,231.0,532.0
17,PR_BAYAMON,2020-11-20,150.0,324.0,698.0
18,PR_BAYAMON,2020-11-27,137.0,323.0,633.0
19,PR_BAYAMON,2020-12-04,139.0,303.0,577.0
20,PR_BAYAMON,2020-12-11,131.0,287.0,516.0
21,PR_BAYAMON,2020-12-18,122.0,229.0,429.0
22,PR_BAYAMON,2020-12-25,82.0,221.0,406.0
23,PR_BAYAMON,2021-01-01,62.0,195.0,411.0
24,PR_BAYAMON,2021-01-08,103.0,176.0,409.0
25,PR_BAYAMON,2021-01-15,120.0,134.0,371.0
26,PR_BAYAMON,2021-01-22,91.0,114.0,290.0
27,PR_BAYAMON,2021-01-29,87.0,114.0,259.0
28,PR_BAYAMON,2021-02-05,86.0,92.0,217.0
29,PR_BAYAMON,2021-02-12,63.0,68.0,172.0
30,PR_BAYAMON,2021-02-19,28.0,66.0,129.0
31,PR_BAYAMON,2021-02-26,49.0,70.0,134.0
32,PR_BAYAMON,2021-03-05,73.0,63.0,158.0
33,PR_BAYAMON,2021-03-12,63.0,66.0,147.0
