,loc,datetime,440015,440125,440173,total_cnts
0,TN_KNOXVILLE,2020-07-10,181.0,25.0,28.0,234.0
1,TN_KNOXVILLE,2020-07-17,249.0,134.0,82.0,469.0
2,TN_KNOXVILLE,2020-07-24,301.0,122.0,81.0,504.0
3,TN_KNOXVILLE,2020-07-31,256.0,149.0,81.0,486.0
4,TN_KNOXVILLE,2020-08-07,204.0,141.0,83.0,428.0
5,TN_KNOXVILLE,2020-08-14,193.0,142.0,100.0,435.0
6,TN_KNOXVILLE,2020-08-21,157.0,107.0,86.0,350.0
7,TN_KNOXVILLE,2020-08-28,156.0,102.0,136.0,394.0
8,TN_KNOXVILLE,2020-09-04,209.0,97.0,103.0,409.0
9,TN_KNOXVILLE,2020-09-11,135.0,92.0,107.0,334.0
10,TN_KNOXVILLE,2020-09-18,156.0,67.0,122.0,345.0
11,TN_KNOXVILLE,2020-09-25,245.0,79.0,102.0,426.0
12,TN_KNOXVILLE,2020-10-02,253.0,120.0,128.0,501.0
13,TN_KNOXVILLE,2020-10-09,325.0,186.0,162.0,680.0
14,TN_KNOXVILLE,2020-10-16,378.0,151.0,210.0,746.0
15,TN_KNOXVILLE,2020-10-23,339.0,209.0,178.0,733.0
16,TN_KNOXVILLE,2020-10-30,337.0,212.0,188.0,741.0
17,TN_KNOXVILLE,2020-11-06,414.0,165.0,255.0,834.0
18,TN_KNOXVILLE,2020-11-13,473.0,211.0,246.0,930.0
19,TN_KNOXVILLE,2020-11-20,524.0,267.0,295.0,1086.0
20,TN_KNOXVILLE,2020-11-27,648.0,317.0,351.0,1316.0
21,TN_KNOXVILLE,2020-12-04,804.0,327.0,372.0,1503.0
22,TN_KNOXVILLE,2020-12-11,805.0,344.0,465.0,1614.0
23,TN_KNOXVILLE,2020-12-18,808.0,376.0,414.0,1598.0
24,TN_KNOXVILLE,2020-12-25,921.0,365.0,396.0,1682.0
25,TN_KNOXVILLE,2021-01-01,943.0,413.0,420.0,1776.0
26,TN_KNOXVILLE,2021-01-08,807.0,467.0,461.0,1735.0
27,TN_KNOXVILLE,2021-01-15,629.0,439.0,454.0,1522.0
28,TN_KNOXVILLE,2021-01-22,564.0,312.0,377.0,1253.0
29,TN_KNOXVILLE,2021-01-29,536.0,209.0,284.0,1035.0
30,TN_KNOXVILLE,2021-02-05,424.0,185.0,202.0,820.0
31,TN_KNOXVILLE,2021-02-12,333.0,181.0,146.0,666.0
32,TN_KNOXVILLE,2021-02-19,236.0,234.0,128.0,598.0
33,TN_KNOXVILLE,2021-02-26,195.0,212.0,139.0,546.0
34,TN_KNOXVILLE,2021-03-05,174.0,164.0,114.0,452.0
35,TN_KNOXVILLE,2021-03-12,177.0,100.0,89.0,366.0
36,TN_KNOXVILLE,2021-03-19,148.0,119.0,69.0,336.0
37,TN_KNOXVILLE,2021-03-26,208.0,108.0,115.0,431.0
38,TN_KNOXVILLE,2021-04-02,159.0,80.0,131.0,370.0
39,TN_KNOXVILLE,2021-04-09,153.0,70.0,146.0,369.0
