,loc,datetime,450885,670260,total_cnts
138,TX_FRISCO,2020-07-10,0.0,7.0,7.0
123,TX_FRISCO,2020-07-17,6.0,47.0,53.0
124,TX_FRISCO,2020-07-24,27.0,19.0,46.0
125,TX_FRISCO,2020-07-31,40.0,16.0,56.0
0,TX_FRISCO,2020-08-07,45.0,15.0,60.0
126,TX_FRISCO,2020-08-14,58.0,15.0,73.0
1,TX_FRISCO,2020-08-21,35.0,0.0,42.0
2,TX_FRISCO,2020-08-28,19.0,0.0,23.0
127,TX_FRISCO,2020-09-04,18.0,7.0,25.0
128,TX_FRISCO,2020-09-11,15.0,4.0,19.0
129,TX_FRISCO,2020-09-18,24.0,13.0,37.0
130,TX_FRISCO,2020-09-25,15.0,23.0,38.0
3,TX_FRISCO,2020-10-02,15.0,33.0,48.0
131,TX_FRISCO,2020-10-09,51.0,43.0,94.0
132,TX_FRISCO,2020-10-16,76.0,66.0,142.0
133,TX_FRISCO,2020-10-23,35.0,68.0,103.0
4,TX_FRISCO,2020-10-30,35.0,72.0,107.0
5,TX_FRISCO,2020-11-06,54.0,94.0,148.0
6,TX_FRISCO,2020-11-13,85.0,88.0,181.0
7,TX_FRISCO,2020-11-20,67.0,57.0,128.0
8,TX_FRISCO,2020-11-27,91.0,67.0,164.0
9,TX_FRISCO,2020-12-04,95.0,140.0,235.0
10,TX_FRISCO,2020-12-11,92.0,108.0,211.0
11,TX_FRISCO,2020-12-18,130.0,126.0,275.0
12,TX_FRISCO,2020-12-25,164.0,144.0,329.0
13,TX_FRISCO,2021-01-01,206.0,172.0,392.0
14,TX_FRISCO,2021-01-08,253.0,207.0,497.0
15,TX_FRISCO,2021-01-15,196.0,142.0,386.0
16,TX_FRISCO,2021-01-22,151.0,146.0,319.0
17,TX_FRISCO,2021-01-29,131.0,152.0,293.0
18,TX_FRISCO,2021-02-05,116.0,148.0,271.0
19,TX_FRISCO,2021-02-12,102.0,100.0,202.0
20,TX_FRISCO,2021-02-19,89.0,110.0,199.0
21,TX_FRISCO,2021-02-26,76.0,89.0,165.0
22,TX_FRISCO,2021-03-05,50.0,47.0,97.0
23,TX_FRISCO,2021-03-12,34.0,35.0,69.0
24,TX_FRISCO,2021-03-19,19.0,22.0,41.0
25,TX_FRISCO,2021-03-26,14.0,23.0,37.0
26,TX_FRISCO,2021-04-02,24.0,34.0,58.0
27,TX_FRISCO,2021-04-09,17.0,25.0,42.0
28,TX_FRISCO,2021-04-16,25.0,29.0,54.0
29,TX_FRISCO,2021-04-23,28.0,15.0,43.0
30,TX_FRISCO,2021-04-30,50.0,17.0,67.0
31,TX_FRISCO,2021-05-07,29.0,22.0,51.0
32,TX_FRISCO,2021-05-14,16.0,25.0,41.0
33,TX_FRISCO,2021-05-21,11.0,28.0,39.0
34,TX_FRISCO,2021-05-28,9.0,6.0,15.0
35,TX_FRISCO,2021-06-04,0.0,20.0,20.0
36,TX_FRISCO,2021-06-11,4.0,17.0,21.0
37,TX_FRISCO,2021-06-18,11.0,0.0,11.0
38,TX_FRISCO,2021-06-25,33.0,0.0,33.0
39,TX_FRISCO,2021-07-02,41.0,18.0,59.0
40,TX_FRISCO,2021-07-09,39.0,12.0,51.0
41,TX_FRISCO,2021-07-16,53.0,48.0,101.0
134,TX_FRISCO,2021-07-23,37.0,117.0,154.0
42,TX_FRISCO,2021-07-30,69.0,129.0,205.0
43,TX_FRISCO,2021-08-06,129.0,166.0,319.0
44,TX_FRISCO,2021-08-13,165.0,192.0,404.0
45,TX_FRISCO,2021-08-20,176.0,223.0,430.0
46,TX_FRISCO,2021-08-27,192.0,217.0,458.0
47,TX_FRISCO,2021-09-03,203.0,196.0,438.0
48,TX_FRISCO,2021-09-10,165.0,166.0,356.0
49,TX_FRISCO,2021-09-17,124.0,159.0,329.0
50,TX_FRISCO,2021-09-24,128.0,145.0,299.0
51,TX_FRISCO,2021-10-01,104.0,84.0,199.0
52,TX_FRISCO,2021-10-08,94.0,86.0,187.0
53,TX_FRISCO,2021-10-15,57.0,69.0,133.0
54,TX_FRISCO,2021-10-22,42.0,57.0,106.0
55,TX_FRISCO,2021-10-29,19.0,46.0,71.0
56,TX_FRISCO,2021-11-05,7.0,22.0,29.0
57,TX_FRISCO,2021-11-12,38.0,39.0,77.0
58,TX_FRISCO,2021-11-19,30.0,37.0,67.0
59,TX_FRISCO,2021-11-26,39.0,59.0,98.0
60,TX_FRISCO,2021-12-03,34.0,62.0,96.0
61,TX_FRISCO,2021-12-10,68.0,61.0,129.0
62,TX_FRISCO,2021-12-17,52.0,71.0,123.0
135,TX_FRISCO,2021-12-24,73.0,82.0,155.0
63,TX_FRISCO,2021-12-31,114.0,127.0,245.0
64,TX_FRISCO,2022-01-07,169.0,171.0,368.0
65,TX_FRISCO,2022-01-14,180.0,234.0,442.0
66,TX_FRISCO,2022-01-21,260.0,210.0,498.0
67,TX_FRISCO,2022-01-28,245.0,150.0,423.0
68,TX_FRISCO,2022-02-04,153.0,101.0,278.0
69,TX_FRISCO,2022-02-11,120.0,57.0,205.0
70,TX_FRISCO,2022-02-18,58.0,45.0,107.0
71,TX_FRISCO,2022-02-25,44.0,30.0,74.0
72,TX_FRISCO,2022-03-04,12.0,13.0,25.0
73,TX_FRISCO,2022-03-11,13.0,14.0,27.0
74,TX_FRISCO,2022-03-18,27.0,12.0,39.0
75,TX_FRISCO,2022-03-25,17.0,7.0,24.0
76,TX_FRISCO,2022-04-01,13.0,5.0,18.0
77,TX_FRISCO,2022-04-08,4.0,0.0,4.0
78,TX_FRISCO,2022-04-15,0.0,4.0,4.0
79,TX_FRISCO,2022-04-22,0.0,7.0,7.0
80,TX_FRISCO,2022-04-29,0.0,0.0,0.0
81,TX_FRISCO,2022-05-06,4.0,9.0,13.0
82,TX_FRISCO,2022-05-13,0.0,9.0,9.0
136,TX_FRISCO,2022-05-20,15.0,10.0,25.0
83,TX_FRISCO,2022-05-27,18.0,0.0,22.0
84,TX_FRISCO,2022-06-03,18.0,4.0,22.0
85,TX_FRISCO,2022-06-10,28.0,6.0,34.0
86,TX_FRISCO,2022-06-17,36.0,18.0,54.0
87,TX_FRISCO,2022-06-24,42.0,19.0,61.0
88,TX_FRISCO,2022-07-01,34.0,21.0,55.0
89,TX_FRISCO,2022-07-08,35.0,22.0,64.0
90,TX_FRISCO,2022-07-15,35.0,33.0,75.0
91,TX_FRISCO,2022-07-22,54.0,20.0,102.0
92,TX_FRISCO,2022-07-29,52.0,23.0,106.0
93,TX_FRISCO,2022-08-05,30.0,15.0,57.0
94,TX_FRISCO,2022-08-12,33.0,35.0,68.0
137,TX_FRISCO,2022-08-19,14.0,15.0,29.0
95,TX_FRISCO,2022-08-26,19.0,11.0,34.0
96,TX_FRISCO,2022-09-02,38.0,19.0,57.0
97,TX_FRISCO,2022-09-09,15.0,31.0,46.0
98,TX_FRISCO,2022-09-16,6.0,18.0,24.0
99,TX_FRISCO,2022-09-23,7.0,24.0,31.0
100,TX_FRISCO,2022-09-30,9.0,8.0,17.0
101,TX_FRISCO,2022-10-07,9.0,10.0,19.0
102,TX_FRISCO,2022-10-14,9.0,17.0,26.0
103,TX_FRISCO,2022-10-21,9.0,20.0,29.0
104,TX_FRISCO,2022-10-28,0.0,18.0,18.0
105,TX_FRISCO,2022-11-04,0.0,11.0,11.0
106,TX_FRISCO,2022-11-11,9.0,6.0,15.0
107,TX_FRISCO,2022-11-18,17.0,13.0,30.0
108,TX_FRISCO,2022-11-25,16.0,32.0,48.0
109,TX_FRISCO,2022-12-02,27.0,42.0,69.0
110,TX_FRISCO,2022-12-09,19.0,54.0,73.0
111,TX_FRISCO,2022-12-16,25.0,47.0,72.0
112,TX_FRISCO,2022-12-23,36.0,37.0,73.0
113,TX_FRISCO,2022-12-30,58.0,39.0,101.0
114,TX_FRISCO,2023-01-06,66.0,37.0,110.0
115,TX_FRISCO,2023-01-13,37.0,49.0,90.0
116,TX_FRISCO,2023-01-20,32.0,31.0,63.0
117,TX_FRISCO,2023-01-27,36.0,29.0,65.0
118,TX_FRISCO,2023-02-03,38.0,19.0,57.0
119,TX_FRISCO,2023-02-10,30.0,7.0,37.0
120,TX_FRISCO,2023-02-17,17.0,9.0,26.0
121,TX_FRISCO,2023-02-24,29.0,14.0,43.0
122,TX_FRISCO,2023-03-03,9.0,14.0,23.0
