,loc,datetime,450033,450855,total_cnts
137,TX_HARLINGEN,2020-07-10,0.0,124.0,124.0
0,TX_HARLINGEN,2020-07-17,187.0,417.0,604.0
1,TX_HARLINGEN,2020-07-24,979.0,355.0,1334.0
2,TX_HARLINGEN,2020-07-31,1097.0,362.0,1459.0
3,TX_HARLINGEN,2020-08-07,843.0,255.0,1098.0
4,TX_HARLINGEN,2020-08-14,741.0,106.0,847.0
5,TX_HARLINGEN,2020-08-21,519.0,102.0,621.0
6,TX_HARLINGEN,2020-08-28,378.0,94.0,472.0
7,TX_HARLINGEN,2020-09-04,253.0,120.0,373.0
8,TX_HARLINGEN,2020-09-11,212.0,62.0,274.0
9,TX_HARLINGEN,2020-09-18,195.0,64.0,259.0
10,TX_HARLINGEN,2020-09-25,215.0,61.0,276.0
11,TX_HARLINGEN,2020-10-02,183.0,61.0,244.0
12,TX_HARLINGEN,2020-10-09,151.0,90.0,241.0
13,TX_HARLINGEN,2020-10-16,139.0,86.0,225.0
14,TX_HARLINGEN,2020-10-23,184.0,106.0,290.0
15,TX_HARLINGEN,2020-10-30,163.0,83.0,246.0
16,TX_HARLINGEN,2020-11-06,225.0,66.0,291.0
17,TX_HARLINGEN,2020-11-13,183.0,53.0,236.0
18,TX_HARLINGEN,2020-11-20,230.0,78.0,308.0
19,TX_HARLINGEN,2020-11-27,284.0,82.0,366.0
20,TX_HARLINGEN,2020-12-04,295.0,82.0,377.0
21,TX_HARLINGEN,2020-12-11,324.0,95.0,419.0
22,TX_HARLINGEN,2020-12-18,342.0,117.0,459.0
23,TX_HARLINGEN,2020-12-25,454.0,165.0,619.0
24,TX_HARLINGEN,2021-01-01,541.0,286.0,827.0
25,TX_HARLINGEN,2021-01-08,666.0,243.0,909.0
26,TX_HARLINGEN,2021-01-15,749.0,247.0,996.0
27,TX_HARLINGEN,2021-01-22,782.0,308.0,1090.0
28,TX_HARLINGEN,2021-01-29,723.0,261.0,984.0
29,TX_HARLINGEN,2021-02-05,422.0,234.0,656.0
30,TX_HARLINGEN,2021-02-12,354.0,167.0,521.0
31,TX_HARLINGEN,2021-02-19,385.0,130.0,515.0
32,TX_HARLINGEN,2021-02-26,329.0,89.0,418.0
33,TX_HARLINGEN,2021-03-05,273.0,80.0,353.0
34,TX_HARLINGEN,2021-03-12,168.0,62.0,230.0
35,TX_HARLINGEN,2021-03-19,122.0,61.0,183.0
36,TX_HARLINGEN,2021-03-26,112.0,33.0,145.0
37,TX_HARLINGEN,2021-04-02,187.0,44.0,231.0
38,TX_HARLINGEN,2021-04-09,166.0,67.0,233.0
39,TX_HARLINGEN,2021-04-16,150.0,83.0,233.0
40,TX_HARLINGEN,2021-04-23,114.0,74.0,188.0
41,TX_HARLINGEN,2021-04-30,121.0,71.0,192.0
42,TX_HARLINGEN,2021-05-07,103.0,91.0,194.0
43,TX_HARLINGEN,2021-05-14,133.0,49.0,182.0
44,TX_HARLINGEN,2021-05-21,93.0,35.0,128.0
45,TX_HARLINGEN,2021-05-28,99.0,33.0,132.0
46,TX_HARLINGEN,2021-06-04,85.0,28.0,113.0
47,TX_HARLINGEN,2021-06-11,95.0,22.0,117.0
48,TX_HARLINGEN,2021-06-18,137.0,35.0,172.0
49,TX_HARLINGEN,2021-06-25,132.0,25.0,157.0
50,TX_HARLINGEN,2021-07-02,148.0,20.0,168.0
51,TX_HARLINGEN,2021-07-09,163.0,52.0,215.0
52,TX_HARLINGEN,2021-07-16,223.0,33.0,256.0
53,TX_HARLINGEN,2021-07-23,314.0,56.0,370.0
54,TX_HARLINGEN,2021-07-30,441.0,80.0,521.0
55,TX_HARLINGEN,2021-08-06,593.0,148.0,741.0
56,TX_HARLINGEN,2021-08-13,651.0,208.0,859.0
57,TX_HARLINGEN,2021-08-20,657.0,206.0,863.0
58,TX_HARLINGEN,2021-08-27,688.0,200.0,888.0
59,TX_HARLINGEN,2021-09-03,604.0,183.0,787.0
60,TX_HARLINGEN,2021-09-10,508.0,139.0,647.0
