,loc,datetime,450029,450643,total_cnts
0,TX_LAREDO,2020-07-10,99.0,110.0,209.0
1,TX_LAREDO,2020-07-17,655.0,244.0,909.0
2,TX_LAREDO,2020-07-24,547.0,465.0,1105.0
3,TX_LAREDO,2020-07-31,736.0,562.0,1518.0
4,TX_LAREDO,2020-08-07,598.0,507.0,1309.0
5,TX_LAREDO,2020-08-14,620.0,418.0,1207.0
6,TX_LAREDO,2020-08-21,505.0,307.0,967.0
7,TX_LAREDO,2020-08-28,481.0,261.0,914.0
8,TX_LAREDO,2020-09-04,470.0,212.0,855.0
9,TX_LAREDO,2020-09-11,408.0,186.0,742.0
10,TX_LAREDO,2020-09-18,280.0,154.0,567.0
11,TX_LAREDO,2020-09-25,342.0,151.0,593.0
12,TX_LAREDO,2020-10-02,359.0,97.0,543.0
13,TX_LAREDO,2020-10-09,294.0,70.0,435.0
14,TX_LAREDO,2020-10-16,274.0,78.0,418.0
15,TX_LAREDO,2020-10-23,277.0,73.0,401.0
16,TX_LAREDO,2020-10-30,304.0,84.0,441.0
17,TX_LAREDO,2020-11-06,298.0,115.0,435.0
18,TX_LAREDO,2020-11-13,425.0,160.0,640.0
19,TX_LAREDO,2020-11-20,561.0,227.0,874.0
20,TX_LAREDO,2020-11-27,564.0,277.0,948.0
21,TX_LAREDO,2020-12-04,558.0,348.0,1011.0
22,TX_LAREDO,2020-12-11,554.0,327.0,969.0
23,TX_LAREDO,2020-12-18,673.0,376.0,1133.0
24,TX_LAREDO,2020-12-25,658.0,489.0,1230.0
25,TX_LAREDO,2021-01-01,704.0,569.0,1371.0
26,TX_LAREDO,2021-01-08,834.0,646.0,1589.0
27,TX_LAREDO,2021-01-15,902.0,661.0,1676.0
28,TX_LAREDO,2021-01-22,907.0,572.0,1655.0
29,TX_LAREDO,2021-01-29,813.0,461.0,1440.0
30,TX_LAREDO,2021-02-05,659.0,301.0,1119.0
31,TX_LAREDO,2021-02-12,323.0,1903.0,2358.0
