,loc,datetime,450083,450102,452091,total_cnts
138,TX_TYLER,2020-07-10,0.0,0.0,15.0,34.0
0,TX_TYLER,2020-07-17,206.0,235.0,42.0,585.0
1,TX_TYLER,2020-07-24,242.0,414.0,79.0,858.0
2,TX_TYLER,2020-07-31,273.0,448.0,109.0,967.0
3,TX_TYLER,2020-08-07,265.0,415.0,117.0,918.0
4,TX_TYLER,2020-08-14,267.0,329.0,107.0,819.0
5,TX_TYLER,2020-08-21,224.0,281.0,55.0,648.0
6,TX_TYLER,2020-08-28,281.0,302.0,56.0,756.0
7,TX_TYLER,2020-09-04,240.0,286.0,49.0,695.0
8,TX_TYLER,2020-09-11,227.0,246.0,49.0,623.0
9,TX_TYLER,2020-09-18,232.0,219.0,45.0,601.0
10,TX_TYLER,2020-09-25,242.0,300.0,55.0,723.0
11,TX_TYLER,2020-10-02,284.0,380.0,65.0,848.0
12,TX_TYLER,2020-10-09,252.0,427.0,63.0,841.0
13,TX_TYLER,2020-10-16,248.0,443.0,58.0,849.0
14,TX_TYLER,2020-10-23,298.0,356.0,59.0,854.0
15,TX_TYLER,2020-10-30,332.0,437.0,100.0,1015.0
16,TX_TYLER,2020-11-06,358.0,502.0,68.0,1056.0
17,TX_TYLER,2020-11-13,397.0,557.0,72.0,1179.0
18,TX_TYLER,2020-11-20,436.0,742.0,101.0,1426.0
19,TX_TYLER,2020-11-27,478.0,842.0,129.0,1587.0
20,TX_TYLER,2020-12-04,518.0,777.0,157.0,1627.0
21,TX_TYLER,2020-12-11,516.0,766.0,174.0,1649.0
22,TX_TYLER,2020-12-18,528.0,791.0,184.0,1701.0
23,TX_TYLER,2020-12-25,553.0,879.0,159.0,1802.0
24,TX_TYLER,2021-01-01,594.0,970.0,172.0,1932.0
25,TX_TYLER,2021-01-08,672.0,976.0,155.0,2006.0
26,TX_TYLER,2021-01-15,673.0,916.0,166.0,1942.0
27,TX_TYLER,2021-01-22,598.0,771.0,163.0,1678.0
28,TX_TYLER,2021-01-29,524.0,546.0,167.0,1410.0
29,TX_TYLER,2021-02-05,461.0,390.0,176.0,1166.0
