,loc,datetime,450042,450101,total_cnts
0,TX_WACO,2020-07-10,84.0,0.0,84.0
1,TX_WACO,2020-07-17,300.0,34.0,334.0
2,TX_WACO,2020-07-24,238.0,152.0,390.0
3,TX_WACO,2020-07-31,255.0,203.0,458.0
4,TX_WACO,2020-08-07,223.0,201.0,424.0
5,TX_WACO,2020-08-14,195.0,123.0,318.0
6,TX_WACO,2020-08-21,133.0,166.0,299.0
7,TX_WACO,2020-08-28,129.0,131.0,260.0
8,TX_WACO,2020-09-04,148.0,104.0,252.0
9,TX_WACO,2020-09-11,134.0,92.0,226.0
10,TX_WACO,2020-09-18,171.0,226.0,397.0
11,TX_WACO,2020-09-25,176.0,175.0,351.0
12,TX_WACO,2020-10-02,202.0,105.0,307.0
13,TX_WACO,2020-10-09,228.0,162.0,390.0
14,TX_WACO,2020-10-16,201.0,185.0,386.0
15,TX_WACO,2020-10-23,176.0,124.0,300.0
16,TX_WACO,2020-10-30,202.0,167.0,369.0
17,TX_WACO,2020-11-06,273.0,211.0,484.0
18,TX_WACO,2020-11-13,295.0,202.0,497.0
19,TX_WACO,2020-11-20,375.0,245.0,620.0
20,TX_WACO,2020-11-27,418.0,260.0,678.0
21,TX_WACO,2020-12-04,440.0,288.0,728.0
22,TX_WACO,2020-12-11,480.0,271.0,751.0
23,TX_WACO,2020-12-18,500.0,361.0,861.0
24,TX_WACO,2020-12-25,579.0,358.0,937.0
25,TX_WACO,2021-01-01,648.0,404.0,1052.0
26,TX_WACO,2021-01-08,668.0,456.0,1124.0
27,TX_WACO,2021-01-15,566.0,420.0,986.0
28,TX_WACO,2021-01-22,636.0,270.0,906.0
29,TX_WACO,2021-01-29,395.0,232.0,627.0
30,TX_WACO,2021-02-05,364.0,204.0,568.0
31,TX_WACO,2021-02-12,277.0,134.0,411.0
32,TX_WACO,2021-02-19,262.0,128.0,390.0
33,TX_WACO,2021-02-26,196.0,113.0,309.0
34,TX_WACO,2021-03-05,158.0,103.0,261.0
35,TX_WACO,2021-03-12,105.0,87.0,192.0
36,TX_WACO,2021-03-19,130.0,60.0,190.0
37,TX_WACO,2021-03-26,112.0,52.0,164.0
38,TX_WACO,2021-04-02,58.0,62.0,120.0
39,TX_WACO,2021-04-09,100.0,54.0,154.0
40,TX_WACO,2021-04-16,73.0,45.0,118.0
41,TX_WACO,2021-04-23,48.0,40.0,88.0
42,TX_WACO,2021-04-30,72.0,37.0,109.0
43,TX_WACO,2021-05-07,83.0,34.0,117.0
44,TX_WACO,2021-05-14,88.0,27.0,115.0
45,TX_WACO,2021-05-21,85.0,33.0,118.0
46,TX_WACO,2021-05-28,65.0,45.0,110.0
47,TX_WACO,2021-06-04,62.0,41.0,103.0
48,TX_WACO,2021-06-11,53.0,55.0,108.0
49,TX_WACO,2021-06-18,32.0,41.0,73.0
50,TX_WACO,2021-06-25,27.0,46.0,73.0
51,TX_WACO,2021-07-02,67.0,69.0,136.0
52,TX_WACO,2021-07-09,78.0,48.0,126.0
53,TX_WACO,2021-07-16,98.0,80.0,178.0
54,TX_WACO,2021-07-23,180.0,158.0,338.0
55,TX_WACO,2021-07-30,342.0,230.0,572.0
56,TX_WACO,2021-08-06,458.0,331.0,789.0
57,TX_WACO,2021-08-13,533.0,400.0,933.0
58,TX_WACO,2021-08-20,678.0,470.0,1148.0
59,TX_WACO,2021-08-27,740.0,456.0,1196.0
60,TX_WACO,2021-09-03,766.0,534.0,1300.0
61,TX_WACO,2021-09-10,779.0,595.0,1374.0
62,TX_WACO,2021-09-17,740.0,554.0,1294.0
63,TX_WACO,2021-09-24,566.0,420.0,986.0
64,TX_WACO,2021-10-01,429.0,284.0,713.0
65,TX_WACO,2021-10-08,292.0,241.0,533.0
66,TX_WACO,2021-10-15,256.0,137.0,393.0
67,TX_WACO,2021-10-22,244.0,96.0,340.0
68,TX_WACO,2021-10-29,186.0,58.0,244.0
69,TX_WACO,2021-11-05,140.0,53.0,193.0
70,TX_WACO,2021-11-12,75.0,52.0,127.0
71,TX_WACO,2021-11-19,39.0,40.0,79.0
72,TX_WACO,2021-11-26,48.0,95.0,143.0
73,TX_WACO,2021-12-03,78.0,104.0,182.0
74,TX_WACO,2021-12-10,107.0,98.0,205.0
75,TX_WACO,2021-12-17,120.0,90.0,210.0
76,TX_WACO,2021-12-24,145.0,141.0,286.0
77,TX_WACO,2021-12-31,232.0,242.0,474.0
78,TX_WACO,2022-01-07,430.0,362.0,792.0
79,TX_WACO,2022-01-14,555.0,424.0,979.0
80,TX_WACO,2022-01-21,719.0,542.0,1261.0
81,TX_WACO,2022-01-28,572.0,494.0,1066.0
82,TX_WACO,2022-02-04,420.0,344.0,764.0
83,TX_WACO,2022-02-11,346.0,226.0,572.0
84,TX_WACO,2022-02-18,166.0,121.0,287.0
85,TX_WACO,2022-02-25,129.0,68.0,197.0
86,TX_WACO,2022-03-04,89.0,25.0,114.0
87,TX_WACO,2022-03-11,47.0,14.0,61.0
88,TX_WACO,2022-03-18,26.0,4.0,30.0
89,TX_WACO,2022-03-25,23.0,5.0,28.0
90,TX_WACO,2022-04-01,19.0,0.0,19.0
138,TX_WACO,2022-04-08,0.0,12.0,12.0
91,TX_WACO,2022-04-15,9.0,13.0,22.0
92,TX_WACO,2022-04-22,7.0,19.0,26.0
93,TX_WACO,2022-04-29,16.0,12.0,28.0
94,TX_WACO,2022-05-06,9.0,0.0,9.0
95,TX_WACO,2022-05-13,14.0,12.0,26.0
96,TX_WACO,2022-05-20,31.0,13.0,44.0
97,TX_WACO,2022-05-27,32.0,22.0,54.0
98,TX_WACO,2022-06-03,24.0,16.0,40.0
99,TX_WACO,2022-06-10,19.0,26.0,45.0
100,TX_WACO,2022-06-17,29.0,38.0,67.0
101,TX_WACO,2022-06-24,59.0,64.0,123.0
102,TX_WACO,2022-07-01,85.0,69.0,154.0
103,TX_WACO,2022-07-08,76.0,73.0,149.0
104,TX_WACO,2022-07-15,107.0,91.0,198.0
105,TX_WACO,2022-07-22,116.0,96.0,212.0
106,TX_WACO,2022-07-29,105.0,102.0,207.0
107,TX_WACO,2022-08-05,126.0,133.0,259.0
108,TX_WACO,2022-08-12,109.0,81.0,190.0
109,TX_WACO,2022-08-19,76.0,94.0,170.0
110,TX_WACO,2022-08-26,69.0,56.0,125.0
111,TX_WACO,2022-09-02,60.0,54.0,114.0
112,TX_WACO,2022-09-09,49.0,41.0,90.0
113,TX_WACO,2022-09-16,47.0,47.0,94.0
114,TX_WACO,2022-09-23,50.0,43.0,93.0
115,TX_WACO,2022-09-30,8.0,29.0,37.0
116,TX_WACO,2022-10-07,9.0,32.0,41.0
117,TX_WACO,2022-10-14,14.0,13.0,27.0
118,TX_WACO,2022-10-21,30.0,13.0,43.0
119,TX_WACO,2022-10-28,37.0,6.0,43.0
120,TX_WACO,2022-11-04,29.0,11.0,40.0
121,TX_WACO,2022-11-11,20.0,14.0,34.0
122,TX_WACO,2022-11-18,32.0,21.0,53.0
123,TX_WACO,2022-11-25,65.0,34.0,99.0
124,TX_WACO,2022-12-02,105.0,60.0,165.0
125,TX_WACO,2022-12-09,75.0,56.0,131.0
126,TX_WACO,2022-12-16,57.0,76.0,133.0
127,TX_WACO,2022-12-23,89.0,67.0,156.0
128,TX_WACO,2022-12-30,137.0,95.0,232.0
129,TX_WACO,2023-01-06,128.0,92.0,220.0
130,TX_WACO,2023-01-13,96.0,68.0,164.0
131,TX_WACO,2023-01-20,75.0,82.0,157.0
132,TX_WACO,2023-01-27,50.0,61.0,111.0
133,TX_WACO,2023-02-03,45.0,28.0,73.0
134,TX_WACO,2023-02-10,39.0,44.0,83.0
135,TX_WACO,2023-02-17,26.0,42.0,68.0
136,TX_WACO,2023-02-24,18.0,40.0,58.0
137,TX_WACO,2023-03-03,9.0,19.0,28.0
