,loc,datetime,490040,490122,total_cnts
0,VA_ALEXANDRIA,2020-09-18,8.0,8.0,16.0
1,VA_ALEXANDRIA,2020-09-25,70.0,52.0,122.0
2,VA_ALEXANDRIA,2020-10-02,80.0,56.0,136.0
3,VA_ALEXANDRIA,2020-10-09,93.0,41.0,134.0
4,VA_ALEXANDRIA,2020-10-16,101.0,46.0,147.0
5,VA_ALEXANDRIA,2020-10-23,47.0,30.0,77.0
6,VA_ALEXANDRIA,2020-10-30,81.0,37.0,118.0
7,VA_ALEXANDRIA,2020-11-06,121.0,69.0,190.0
8,VA_ALEXANDRIA,2020-11-13,210.0,117.0,327.0
9,VA_ALEXANDRIA,2020-11-20,265.0,113.0,378.0
10,VA_ALEXANDRIA,2020-11-27,274.0,179.0,453.0
11,VA_ALEXANDRIA,2020-12-04,285.0,157.0,442.0
12,VA_ALEXANDRIA,2020-12-11,306.0,178.0,484.0
13,VA_ALEXANDRIA,2020-12-18,323.0,234.0,557.0
14,VA_ALEXANDRIA,2020-12-25,341.0,242.0,583.0
15,VA_ALEXANDRIA,2021-01-01,360.0,232.0,592.0
16,VA_ALEXANDRIA,2021-01-08,379.0,252.0,631.0
17,VA_ALEXANDRIA,2021-01-15,332.0,253.0,585.0
18,VA_ALEXANDRIA,2021-01-22,310.0,155.0,465.0
19,VA_ALEXANDRIA,2021-01-29,218.0,139.0,357.0
20,VA_ALEXANDRIA,2021-02-05,248.0,96.0,344.0
21,VA_ALEXANDRIA,2021-02-12,191.0,67.0,258.0
22,VA_ALEXANDRIA,2021-02-19,148.0,53.0,201.0
23,VA_ALEXANDRIA,2021-02-26,111.0,80.0,191.0
24,VA_ALEXANDRIA,2021-03-05,72.0,45.0,117.0
25,VA_ALEXANDRIA,2021-03-12,89.0,54.0,143.0
26,VA_ALEXANDRIA,2021-03-19,116.0,42.0,158.0
27,VA_ALEXANDRIA,2021-03-26,116.0,44.0,160.0
28,VA_ALEXANDRIA,2021-04-02,97.0,40.0,137.0
29,VA_ALEXANDRIA,2021-04-09,124.0,37.0,161.0
30,VA_ALEXANDRIA,2021-04-16,189.0,33.0,222.0
31,VA_ALEXANDRIA,2021-04-23,126.0,51.0,177.0
32,VA_ALEXANDRIA,2021-04-30,108.0,56.0,164.0
33,VA_ALEXANDRIA,2021-05-07,90.0,26.0,116.0
34,VA_ALEXANDRIA,2021-05-14,61.0,25.0,86.0
35,VA_ALEXANDRIA,2021-05-21,46.0,36.0,82.0
36,VA_ALEXANDRIA,2021-05-28,58.0,46.0,104.0
37,VA_ALEXANDRIA,2021-06-04,34.0,17.0,51.0
38,VA_ALEXANDRIA,2021-06-11,30.0,5.0,35.0
39,VA_ALEXANDRIA,2021-06-18,27.0,9.0,36.0
40,VA_ALEXANDRIA,2021-06-25,15.0,6.0,21.0
128,VA_ALEXANDRIA,2021-07-02,0.0,0.0,0.0
41,VA_ALEXANDRIA,2021-07-09,12.0,0.0,12.0
42,VA_ALEXANDRIA,2021-07-16,27.0,0.0,27.0
43,VA_ALEXANDRIA,2021-07-23,25.0,0.0,25.0
44,VA_ALEXANDRIA,2021-07-30,50.0,20.0,70.0
45,VA_ALEXANDRIA,2021-08-06,86.0,34.0,120.0
46,VA_ALEXANDRIA,2021-08-13,73.0,26.0,99.0
47,VA_ALEXANDRIA,2021-08-20,64.0,38.0,102.0
48,VA_ALEXANDRIA,2021-08-27,89.0,43.0,132.0
49,VA_ALEXANDRIA,2021-09-03,70.0,64.0,134.0
50,VA_ALEXANDRIA,2021-09-10,83.0,68.0,151.0
51,VA_ALEXANDRIA,2021-09-17,79.0,99.0,178.0
52,VA_ALEXANDRIA,2021-09-24,104.0,89.0,193.0
53,VA_ALEXANDRIA,2021-10-01,79.0,85.0,164.0
54,VA_ALEXANDRIA,2021-10-08,82.0,86.0,168.0
55,VA_ALEXANDRIA,2021-10-15,89.0,81.0,170.0
56,VA_ALEXANDRIA,2021-10-22,86.0,55.0,141.0
57,VA_ALEXANDRIA,2021-10-29,94.0,21.0,115.0
58,VA_ALEXANDRIA,2021-11-05,53.0,24.0,77.0
59,VA_ALEXANDRIA,2021-11-12,28.0,22.0,50.0
60,VA_ALEXANDRIA,2021-11-19,33.0,29.0,62.0
61,VA_ALEXANDRIA,2021-11-26,40.0,42.0,82.0
62,VA_ALEXANDRIA,2021-12-03,76.0,75.0,151.0
63,VA_ALEXANDRIA,2021-12-10,97.0,100.0,197.0
64,VA_ALEXANDRIA,2021-12-17,134.0,121.0,255.0
65,VA_ALEXANDRIA,2021-12-24,278.0,144.0,422.0
66,VA_ALEXANDRIA,2021-12-31,334.0,266.0,600.0
67,VA_ALEXANDRIA,2022-01-07,574.0,323.0,897.0
68,VA_ALEXANDRIA,2022-01-14,486.0,273.0,759.0
69,VA_ALEXANDRIA,2022-01-21,357.0,210.0,567.0
70,VA_ALEXANDRIA,2022-01-28,191.0,182.0,373.0
71,VA_ALEXANDRIA,2022-02-04,162.0,144.0,306.0
72,VA_ALEXANDRIA,2022-02-11,104.0,61.0,165.0
73,VA_ALEXANDRIA,2022-02-18,94.0,49.0,143.0
74,VA_ALEXANDRIA,2022-02-25,60.0,22.0,82.0
75,VA_ALEXANDRIA,2022-03-04,56.0,48.0,104.0
76,VA_ALEXANDRIA,2022-03-11,60.0,44.0,104.0
77,VA_ALEXANDRIA,2022-03-18,39.0,27.0,66.0
78,VA_ALEXANDRIA,2022-03-25,17.0,16.0,33.0
79,VA_ALEXANDRIA,2022-04-01,28.0,13.0,41.0
80,VA_ALEXANDRIA,2022-04-08,31.0,13.0,44.0
81,VA_ALEXANDRIA,2022-04-15,28.0,5.0,33.0
82,VA_ALEXANDRIA,2022-04-22,30.0,27.0,57.0
83,VA_ALEXANDRIA,2022-04-29,56.0,29.0,85.0
84,VA_ALEXANDRIA,2022-05-06,53.0,25.0,78.0
