,loc,datetime,490032,490059,490112,490118,total_cnts
0,VA_RICHMOND,2020-07-10,63.0,34.0,45.0,18.0,204.0
1,VA_RICHMOND,2020-07-17,206.0,126.0,156.0,72.0,693.0
2,VA_RICHMOND,2020-07-24,189.0,83.0,155.0,63.0,718.0
3,VA_RICHMOND,2020-07-31,145.0,107.0,136.0,81.0,793.0
4,VA_RICHMOND,2020-08-07,171.0,135.0,140.0,95.0,820.0
5,VA_RICHMOND,2020-08-14,145.0,146.0,159.0,92.0,816.0
6,VA_RICHMOND,2020-08-21,185.0,161.0,167.0,71.0,847.0
7,VA_RICHMOND,2020-08-28,187.0,163.0,139.0,57.0,730.0
8,VA_RICHMOND,2020-09-04,190.0,134.0,156.0,62.0,857.0
9,VA_RICHMOND,2020-09-11,252.0,127.0,126.0,92.0,868.0
10,VA_RICHMOND,2020-09-18,265.0,141.0,131.0,158.0,929.0
11,VA_RICHMOND,2020-09-25,251.0,116.0,111.0,154.0,768.0
12,VA_RICHMOND,2020-10-02,193.0,156.0,91.0,128.0,577.0
13,VA_RICHMOND,2020-10-09,175.0,152.0,137.0,103.0,574.0
14,VA_RICHMOND,2020-10-16,213.0,87.0,169.0,102.0,585.0
15,VA_RICHMOND,2020-10-23,143.0,68.0,173.0,52.0,445.0
16,VA_RICHMOND,2020-10-30,136.0,111.0,135.0,71.0,468.0
17,VA_RICHMOND,2020-11-06,164.0,163.0,176.0,103.0,623.0
18,VA_RICHMOND,2020-11-13,222.0,126.0,254.0,96.0,716.0
19,VA_RICHMOND,2020-11-20,265.0,170.0,240.0,90.0,786.0
20,VA_RICHMOND,2020-11-27,249.0,222.0,293.0,106.0,890.0
21,VA_RICHMOND,2020-12-04,238.0,206.0,295.0,136.0,896.0
22,VA_RICHMOND,2020-12-11,336.0,211.0,405.0,236.0,1201.0
23,VA_RICHMOND,2020-12-18,464.0,261.0,409.0,297.0,1448.0
24,VA_RICHMOND,2020-12-25,638.0,323.0,508.0,325.0,1835.0
25,VA_RICHMOND,2021-01-01,714.0,416.0,600.0,447.0,2220.0
26,VA_RICHMOND,2021-01-08,736.0,457.0,504.0,467.0,2206.0
27,VA_RICHMOND,2021-01-15,653.0,506.0,545.0,501.0,2244.0
28,VA_RICHMOND,2021-01-22,689.0,427.0,487.0,469.0,2103.0
29,VA_RICHMOND,2021-01-29,614.0,350.0,486.0,443.0,1945.0
30,VA_RICHMOND,2021-02-05,479.0,295.0,571.0,380.0,1752.0
31,VA_RICHMOND,2021-02-12,459.0,314.0,437.0,357.0,1593.0
32,VA_RICHMOND,2021-02-19,406.0,287.0,373.0,263.0,1351.0
33,VA_RICHMOND,2021-02-26,389.0,307.0,305.0,249.0,1276.0
34,VA_RICHMOND,2021-03-05,354.0,248.0,263.0,219.0,1103.0
35,VA_RICHMOND,2021-03-12,311.0,182.0,204.0,193.0,908.0
36,VA_RICHMOND,2021-03-19,291.0,181.0,163.0,135.0,789.0
37,VA_RICHMOND,2021-03-26,267.0,190.0,193.0,138.0,811.0
38,VA_RICHMOND,2021-04-02,286.0,189.0,229.0,124.0,861.0
39,VA_RICHMOND,2021-04-09,270.0,129.0,234.0,160.0,835.0
40,VA_RICHMOND,2021-04-16,236.0,128.0,223.0,211.0,813.0
41,VA_RICHMOND,2021-04-23,224.0,111.0,206.0,198.0,746.0
42,VA_RICHMOND,2021-04-30,197.0,112.0,169.0,110.0,595.0
43,VA_RICHMOND,2021-05-07,198.0,79.0,106.0,84.0,471.0
44,VA_RICHMOND,2021-05-14,136.0,48.0,110.0,105.0,408.0
45,VA_RICHMOND,2021-05-21,90.0,47.0,138.0,79.0,358.0
46,VA_RICHMOND,2021-05-28,99.0,56.0,118.0,54.0,327.0
47,VA_RICHMOND,2021-06-04,77.0,50.0,81.0,39.0,247.0
48,VA_RICHMOND,2021-06-11,66.0,49.0,39.0,21.0,175.0
49,VA_RICHMOND,2021-06-18,43.0,50.0,32.0,12.0,137.0
50,VA_RICHMOND,2021-06-25,69.0,47.0,21.0,19.0,156.0
51,VA_RICHMOND,2021-07-02,75.0,29.0,24.0,20.0,148.0
52,VA_RICHMOND,2021-07-09,73.0,30.0,24.0,22.0,149.0
53,VA_RICHMOND,2021-07-16,95.0,45.0,64.0,32.0,236.0
54,VA_RICHMOND,2021-07-23,125.0,58.0,88.0,53.0,324.0
55,VA_RICHMOND,2021-07-30,159.0,100.0,119.0,111.0,493.0
56,VA_RICHMOND,2021-08-06,181.0,137.0,188.0,178.0,698.0
57,VA_RICHMOND,2021-08-13,298.0,215.0,248.0,211.0,986.0
58,VA_RICHMOND,2021-08-20,288.0,237.0,319.0,281.0,1156.0
59,VA_RICHMOND,2021-08-27,396.0,289.0,400.0,274.0,1385.0
60,VA_RICHMOND,2021-09-03,419.0,263.0,506.0,258.0,1489.0
61,VA_RICHMOND,2021-09-10,399.0,251.0,458.0,299.0,1416.0
62,VA_RICHMOND,2021-09-17,428.0,249.0,517.0,302.0,1505.0
63,VA_RICHMOND,2021-09-24,421.0,257.0,466.0,269.0,1418.0
64,VA_RICHMOND,2021-10-01,320.0,222.0,432.0,187.0,1169.0
65,VA_RICHMOND,2021-10-08,289.0,219.0,338.0,202.0,1059.0
