,loc,datetime,520049,520075,520097,520193,total_cnts
0,WI_GREEN BAY,2020-07-10,6.0,0.0,30.0,0.0,36.0
1,WI_GREEN BAY,2020-07-17,35.0,0.0,101.0,33.0,169.0
2,WI_GREEN BAY,2020-07-24,49.0,0.0,71.0,28.0,148.0
3,WI_GREEN BAY,2020-07-31,51.0,8.0,82.0,37.0,178.0
4,WI_GREEN BAY,2020-08-07,56.0,15.0,97.0,18.0,186.0
5,WI_GREEN BAY,2020-08-14,43.0,0.0,88.0,22.0,153.0
6,WI_GREEN BAY,2020-08-21,41.0,0.0,83.0,35.0,159.0
7,WI_GREEN BAY,2020-08-28,49.0,4.0,79.0,41.0,173.0
8,WI_GREEN BAY,2020-09-04,59.0,9.0,109.0,21.0,198.0
9,WI_GREEN BAY,2020-09-11,75.0,24.0,102.0,52.0,253.0
10,WI_GREEN BAY,2020-09-18,128.0,26.0,153.0,102.0,409.0
11,WI_GREEN BAY,2020-09-25,197.0,44.0,208.0,108.0,557.0
12,WI_GREEN BAY,2020-10-02,204.0,123.0,234.0,190.0,751.0
13,WI_GREEN BAY,2020-10-09,192.0,193.0,254.0,193.0,832.0
14,WI_GREEN BAY,2020-10-16,265.0,204.0,264.0,248.0,981.0
15,WI_GREEN BAY,2020-10-23,223.0,191.0,185.0,234.0,833.0
16,WI_GREEN BAY,2020-10-30,295.0,192.0,174.0,228.0,889.0
17,WI_GREEN BAY,2020-11-06,300.0,166.0,185.0,227.0,878.0
18,WI_GREEN BAY,2020-11-13,244.0,217.0,198.0,228.0,887.0
19,WI_GREEN BAY,2020-11-20,252.0,178.0,179.0,267.0,876.0
20,WI_GREEN BAY,2020-11-27,248.0,170.0,207.0,282.0,907.0
21,WI_GREEN BAY,2020-12-04,162.0,142.0,167.0,176.0,647.0
22,WI_GREEN BAY,2020-12-11,117.0,131.0,174.0,136.0,558.0
23,WI_GREEN BAY,2020-12-18,140.0,140.0,167.0,114.0,561.0
24,WI_GREEN BAY,2020-12-25,132.0,130.0,190.0,100.0,552.0
25,WI_GREEN BAY,2021-01-01,138.0,106.0,147.0,125.0,516.0
26,WI_GREEN BAY,2021-01-08,131.0,108.0,149.0,158.0,546.0
27,WI_GREEN BAY,2021-01-15,140.0,126.0,116.0,116.0,498.0
28,WI_GREEN BAY,2021-01-22,87.0,109.0,122.0,120.0,438.0
29,WI_GREEN BAY,2021-01-29,50.0,84.0,157.0,110.0,401.0
30,WI_GREEN BAY,2021-02-05,58.0,64.0,113.0,57.0,292.0
31,WI_GREEN BAY,2021-02-12,47.0,68.0,75.0,20.0,210.0
32,WI_GREEN BAY,2021-02-19,65.0,59.0,69.0,27.0,220.0
33,WI_GREEN BAY,2021-02-26,52.0,65.0,74.0,31.0,222.0
34,WI_GREEN BAY,2021-03-05,58.0,47.0,99.0,27.0,231.0
35,WI_GREEN BAY,2021-03-12,48.0,23.0,88.0,4.0,163.0
36,WI_GREEN BAY,2021-03-19,54.0,25.0,65.0,7.0,151.0
37,WI_GREEN BAY,2021-03-26,67.0,32.0,45.0,14.0,158.0
38,WI_GREEN BAY,2021-04-02,61.0,32.0,41.0,10.0,144.0
39,WI_GREEN BAY,2021-04-09,58.0,33.0,26.0,36.0,153.0
40,WI_GREEN BAY,2021-04-16,57.0,30.0,17.0,33.0,137.0
41,WI_GREEN BAY,2021-04-23,22.0,50.0,20.0,45.0,137.0
42,WI_GREEN BAY,2021-04-30,16.0,54.0,15.0,65.0,150.0
43,WI_GREEN BAY,2021-05-07,24.0,59.0,18.0,55.0,156.0
44,WI_GREEN BAY,2021-05-14,33.0,56.0,25.0,45.0,159.0
45,WI_GREEN BAY,2021-05-21,21.0,46.0,35.0,35.0,137.0
46,WI_GREEN BAY,2021-05-28,28.0,44.0,22.0,21.0,115.0
47,WI_GREEN BAY,2021-06-04,26.0,46.0,12.0,18.0,102.0
48,WI_GREEN BAY,2021-06-11,35.0,29.0,0.0,29.0,93.0
49,WI_GREEN BAY,2021-06-18,35.0,33.0,0.0,30.0,98.0
50,WI_GREEN BAY,2021-06-25,9.0,32.0,0.0,18.0,59.0
51,WI_GREEN BAY,2021-07-02,14.0,15.0,0.0,7.0,36.0
52,WI_GREEN BAY,2021-07-09,19.0,7.0,0.0,9.0,35.0
53,WI_GREEN BAY,2021-07-16,16.0,14.0,9.0,12.0,51.0
54,WI_GREEN BAY,2021-07-23,23.0,13.0,15.0,23.0,74.0
55,WI_GREEN BAY,2021-07-30,28.0,37.0,14.0,17.0,96.0
56,WI_GREEN BAY,2021-08-06,64.0,101.0,23.0,33.0,221.0
57,WI_GREEN BAY,2021-08-13,113.0,92.0,38.0,68.0,311.0
58,WI_GREEN BAY,2021-08-20,120.0,105.0,53.0,42.0,320.0
59,WI_GREEN BAY,2021-08-27,151.0,118.0,73.0,83.0,425.0
60,WI_GREEN BAY,2021-09-03,147.0,131.0,82.0,148.0,508.0
61,WI_GREEN BAY,2021-09-10,160.0,141.0,83.0,186.0,570.0
62,WI_GREEN BAY,2021-09-17,145.0,156.0,80.0,161.0,542.0
63,WI_GREEN BAY,2021-09-24,194.0,176.0,84.0,133.0,587.0
64,WI_GREEN BAY,2021-10-01,217.0,279.0,106.0,151.0,753.0
65,WI_GREEN BAY,2021-10-08,254.0,305.0,158.0,207.0,924.0
66,WI_GREEN BAY,2021-10-15,225.0,271.0,144.0,237.0,877.0
67,WI_GREEN BAY,2021-10-22,251.0,215.0,78.0,249.0,793.0
68,WI_GREEN BAY,2021-10-29,203.0,220.0,92.0,215.0,730.0
69,WI_GREEN BAY,2021-11-05,251.0,159.0,120.0,144.0,674.0
70,WI_GREEN BAY,2021-11-12,265.0,196.0,137.0,218.0,816.0
71,WI_GREEN BAY,2021-11-19,306.0,173.0,89.0,183.0,751.0
72,WI_GREEN BAY,2021-11-26,297.0,189.0,103.0,198.0,787.0
73,WI_GREEN BAY,2021-12-03,295.0,237.0,116.0,189.0,837.0
74,WI_GREEN BAY,2021-12-10,307.0,212.0,140.0,196.0,855.0
75,WI_GREEN BAY,2021-12-17,319.0,249.0,151.0,167.0,886.0
76,WI_GREEN BAY,2021-12-24,238.0,258.0,133.0,190.0,819.0
77,WI_GREEN BAY,2021-12-31,309.0,241.0,116.0,222.0,888.0
78,WI_GREEN BAY,2022-01-07,349.0,260.0,120.0,261.0,990.0
79,WI_GREEN BAY,2022-01-14,365.0,282.0,156.0,266.0,1069.0
80,WI_GREEN BAY,2022-01-21,359.0,286.0,136.0,245.0,1026.0
81,WI_GREEN BAY,2022-01-28,264.0,308.0,144.0,191.0,907.0
82,WI_GREEN BAY,2022-02-04,208.0,283.0,169.0,150.0,810.0
83,WI_GREEN BAY,2022-02-11,155.0,213.0,120.0,108.0,596.0
84,WI_GREEN BAY,2022-02-18,143.0,162.0,71.0,82.0,458.0
85,WI_GREEN BAY,2022-02-25,86.0,156.0,69.0,51.0,362.0
86,WI_GREEN BAY,2022-03-04,45.0,132.0,30.0,56.0,263.0
87,WI_GREEN BAY,2022-03-11,42.0,90.0,13.0,33.0,178.0
88,WI_GREEN BAY,2022-03-18,32.0,60.0,15.0,29.0,136.0
89,WI_GREEN BAY,2022-03-25,26.0,39.0,9.0,23.0,97.0
90,WI_GREEN BAY,2022-04-01,27.0,27.0,8.0,24.0,86.0
91,WI_GREEN BAY,2022-04-08,25.0,28.0,5.0,14.0,72.0
92,WI_GREEN BAY,2022-04-15,19.0,22.0,0.0,10.0,51.0
93,WI_GREEN BAY,2022-04-22,31.0,36.0,4.0,38.0,109.0
94,WI_GREEN BAY,2022-04-29,24.0,27.0,4.0,28.0,83.0
95,WI_GREEN BAY,2022-05-06,40.0,48.0,6.0,40.0,134.0
96,WI_GREEN BAY,2022-05-13,63.0,52.0,14.0,43.0,172.0
97,WI_GREEN BAY,2022-05-20,50.0,25.0,20.0,33.0,128.0
98,WI_GREEN BAY,2022-05-27,48.0,15.0,20.0,45.0,128.0
99,WI_GREEN BAY,2022-06-03,38.0,68.0,22.0,66.0,194.0
100,WI_GREEN BAY,2022-06-10,37.0,71.0,25.0,44.0,177.0
101,WI_GREEN BAY,2022-06-17,43.0,64.0,17.0,30.0,154.0
102,WI_GREEN BAY,2022-06-24,57.0,99.0,21.0,40.0,217.0
103,WI_GREEN BAY,2022-07-01,30.0,139.0,12.0,40.0,221.0
104,WI_GREEN BAY,2022-07-08,61.0,123.0,22.0,56.0,262.0
105,WI_GREEN BAY,2022-07-15,42.0,105.0,37.0,91.0,275.0
106,WI_GREEN BAY,2022-07-22,45.0,67.0,41.0,76.0,229.0
107,WI_GREEN BAY,2022-07-29,84.0,83.0,61.0,73.0,301.0
108,WI_GREEN BAY,2022-08-05,70.0,105.0,51.0,66.0,292.0
109,WI_GREEN BAY,2022-08-12,80.0,122.0,32.0,62.0,296.0
110,WI_GREEN BAY,2022-08-19,61.0,108.0,21.0,57.0,247.0
111,WI_GREEN BAY,2022-08-26,84.0,126.0,29.0,80.0,319.0
112,WI_GREEN BAY,2022-09-02,85.0,133.0,11.0,89.0,318.0
113,WI_GREEN BAY,2022-09-09,61.0,110.0,30.0,79.0,280.0
114,WI_GREEN BAY,2022-09-16,68.0,67.0,20.0,79.0,234.0
115,WI_GREEN BAY,2022-09-23,50.0,62.0,32.0,80.0,224.0
116,WI_GREEN BAY,2022-09-30,49.0,68.0,31.0,66.0,214.0
117,WI_GREEN BAY,2022-10-07,57.0,67.0,28.0,73.0,225.0
118,WI_GREEN BAY,2022-10-14,67.0,44.0,19.0,62.0,192.0
119,WI_GREEN BAY,2022-10-21,64.0,58.0,27.0,70.0,219.0
120,WI_GREEN BAY,2022-10-28,66.0,49.0,32.0,50.0,197.0
121,WI_GREEN BAY,2022-11-04,91.0,37.0,31.0,58.0,217.0
122,WI_GREEN BAY,2022-11-11,55.0,77.0,33.0,39.0,204.0
123,WI_GREEN BAY,2022-11-18,49.0,53.0,14.0,26.0,142.0
124,WI_GREEN BAY,2022-11-25,53.0,79.0,36.0,36.0,204.0
125,WI_GREEN BAY,2022-12-02,75.0,114.0,36.0,39.0,264.0
126,WI_GREEN BAY,2022-12-09,73.0,95.0,37.0,43.0,248.0
127,WI_GREEN BAY,2022-12-16,75.0,76.0,52.0,58.0,261.0
128,WI_GREEN BAY,2022-12-23,44.0,72.0,39.0,63.0,218.0
129,WI_GREEN BAY,2022-12-30,49.0,85.0,35.0,87.0,256.0
130,WI_GREEN BAY,2023-01-06,26.0,100.0,24.0,78.0,228.0
131,WI_GREEN BAY,2023-01-13,35.0,96.0,39.0,63.0,233.0
132,WI_GREEN BAY,2023-01-20,38.0,76.0,32.0,75.0,221.0
133,WI_GREEN BAY,2023-01-27,40.0,55.0,36.0,41.0,172.0
134,WI_GREEN BAY,2023-02-03,51.0,57.0,44.0,37.0,189.0
135,WI_GREEN BAY,2023-02-10,42.0,78.0,28.0,41.0,189.0
136,WI_GREEN BAY,2023-02-17,46.0,69.0,7.0,38.0,160.0
137,WI_GREEN BAY,2023-02-24,76.0,55.0,17.0,46.0,194.0
138,WI_GREEN BAY,2023-03-03,40.0,24.0,11.0,19.0,94.0
